改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,B26B 29/06,,・手持ち切断工具を案内するための装置（特定の切断工具案内用具または装置，個々の箇所参照，例．髪仕上げ装置のためのものはＡ４５Ｄ２４／３６，鋸歯のためのものはＢ２７Ｂ１１／０２，Ｂ２７Ｂ１３／１０）［５］
uploaded,新設,,B62M 9/12 120,,・・・・・リヤディレーラ［このサブグループでは，ファーストプレイス優先ルールを適用する］
uploaded,新設,,B62M 9/12 120 A,,電動又は流体駆動のもの；その制御
uploaded,新設,,B62M 9/12 120 B,,自動変速
uploaded,新設,,B62M 9/12 120 C,,横方向への移動機構
uploaded,新設,,B62M 9/12 120 D,,・リンク機構に特徴のあるもの
uploaded,新設,,B62M 9/12 120 E,,・移動の制限又は位置決め（リンク機構を用いるもの９／１２，１２０＠Ｄ）
uploaded,新設,,B62M 9/12 120 F,,・・カム又は板を用いるもの
uploaded,新設,,B62M 9/12 120 G,,・付勢手段［例．ばね］の使用に特徴のあるもの；その機構
uploaded,新設,,B62M 9/12 120 H,,フレームへの取付け
uploaded,新設,,B62M 9/12 120 J,,チェーンガイド；その取付け
uploaded,新設,,B62M 9/12 120 K,,ケーブルの取付け又は案内
uploaded,新設,,B62M 9/12 120 L,,付属品［例．プロテクター］
uploaded,新設,,B62M 9/12 120 Z,,その他のもの
uploaded,新設,,B62M 9/12 130,,・・・・・フロントディレーラ［このサブグループでは，ファーストプレイス優先ルールを適用する］
uploaded,新設,,B62M 9/12 130 A,,電動又は流体駆動のもの；その制御
uploaded,新設,,B62M 9/12 130 B,,自動変速
uploaded,新設,,B62M 9/12 130 C,,横方向への移動機構
uploaded,新設,,B62M 9/12 130 D,,・リンク機構に特徴のあるもの
uploaded,新設,,B62M 9/12 130 E,,・移動の制限又は位置決め（リンク機構を用いるもの９／１２，１３０＠Ｄ）
uploaded,新設,,B62M 9/12 130 F,,・・カム又は板を用いるもの
uploaded,新設,,B62M 9/12 130 G,,・付勢手段［例．ばね］の使用に特徴のあるもの；その機構
uploaded,新設,,B62M 9/12 130 H,,フレームへの取付け
uploaded,新設,,B62M 9/12 130 J,,チェーンガイド；その取付け
uploaded,新設,,B62M 9/12 130 K,,ケーブルの取付け又は案内
uploaded,新設,,B62M 9/12 130 L,,付属品［例．プロテクター］
