改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A01K 61/00 301,,・サンゴ
uploaded,新設,,A01K 61/00 302,,・深海水の揚水，湧昇装置
uploaded,新設,,A01K 61/01,,・魚［２０１７．０１］
uploaded,新設,,A01K 61/13,,・・魚病の予防または治療［２０１７．０１］
uploaded,新設,,A01K 61/17,,・・孵化，例．孵卵器［２０１７．０１］
uploaded,新設,,A01K 61/02,,・動物プランクトン，例．ミジンコまたはワムシ［２０１７．０１］
uploaded,新設,,A01K 61/03,,・海綿，ウニまたはナマコ［２０１７．０１］
uploaded,新設,,A01K 61/04,,・環形動物，例．ゴカイまたはイソメ［２０１７．０１］
uploaded,新設,,A01K 61/05,,・貝類（Ａ０１Ｋ６１／３０，Ａ０１Ｋ６１／４０が優先）［２０１７．０１］
uploaded,新設,,A01K 61/51,,・・巻き貝，例．アワビまたはサザエ［２０１７．０１］
uploaded,新設,,A01K 61/53,,・・・そのための篭［２０１７．０１］
uploaded,新設,,A01K 61/54,,・・二枚貝，例．カキまたはイガイ［２０１７．０１］
uploaded,新設,,A01K 61/55,,・・・そのための篭［２０１７．０１］
uploaded,新設,,A01K 61/56,,・・・真珠生産のためのもの［２０１７．０１］
uploaded,新設,,A01K 61/56 311,,・・・・養殖篭
uploaded,新設,,A01K 61/57,,・・・・真珠核［２０１７．０１］
uploaded,新設,,A01K 61/59,,・・甲殻類，例．ロブスターまたはエビ［２０１７．０１］
uploaded,新設,,A01K 61/06,,・浮遊式養殖装置，例．筏または浮遊式養魚場［２０１７．０１］
uploaded,新設,,A01K 61/06 321,,・・生簀
uploaded,新設,,A01K 61/06 322,,・・養魚場，例．入江や内湾を網で仕切ったもの
uploaded,新設,,A01K 61/06 323,,・・養殖装置の筏，フロ－ト
uploaded,新設,,A01K 61/06 324,,・・そのための清掃装置
uploaded,新設,,A01K 61/65,,・・そのための連結または係留装置［２０１７．０１］
uploaded,新設,,A01K 61/07,,・人工魚礁または人工礁［２０１７．０１］
uploaded,新設,,A01K 61/72,,・・タイヤで作られたもの［２０１７．０１］
uploaded,新設,,A01K 61/73,,・・組立型（Ａ０１Ｋ６１／７２が優先）［２０１７．０１］
