改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A01N 65/00 101,,・藻類
uploaded,新設,,A01N 65/00 102,,・シダ植物門（シダ類）
uploaded,新設,,A01N 65/00 103,,・球果植物門（裸子植物門）、例．　イトスギ
uploaded,新設,,A01N 65/00 110,,・モクレン綱（双子葉植物）
uploaded,新設,,A01N 65/00 111,,・・セリ科、例．　パセリ、キャラウェイ、ディル、ラビッジ、ウイキョウまたはスネークベッド
uploaded,新設,,A01N 65/00 112,,・・キク科、例．　ヒナギク、除虫菊、アーティチョーク、レタス、ヒマワリ、ヨモギ、タラゴン
uploaded,新設,,A01N 65/00 113,,・・ニシキギ科（ツルウメモドキ科）、例．　オウシュウニシキギ、ツルナスまたはサンダーゴッドバイン
uploaded,新設,,A01N 65/00 114,,・・ツツジ科、例．　シャクナゲ、アルブッス、アセビ、　クランベリー、ビルベリー
uploaded,新設,,A01N 65/00 115,,・・トウダイグサ科、例．　ヒマ（トウゴマ）
uploaded,新設,,A01N 65/00 116,,・・マメ科、例．　エンドウ、ヒラマメ、大豆、クローバー、アカシア、アメリカサイカチ、デリスまたはナツフジ
uploaded,新設,,A01N 65/00 117,,・・シソ科、例．　タイム、ローズマリー、タツナミソウ、ウツボグサ、ラベンダー、シソ、メグサハッカ、ペパーミントまたはスペアミント
uploaded,新設,,A01N 65/00 118,,・・クスノキ科、例．　ゲッケイジュ、アボカド、サッサフラス、シナモンまたはショウノウ
uploaded,新設,,A01N 65/00 119,,・・センダン科、例．　マホガニー、ランサットまたはニーム
uploaded,新設,,A01N 65/00 120,,・・フトモモ科（ギンバイカ科）、例．　ティーツリーまたはクローブ
uploaded,新設,,A01N 65/00 121,,・・タデ科（ソバ科）、例．　レッドニーズまたはダイオウ
uploaded,新設,,A01N 65/00 122,,・・キンポウゲ科、例．　スハマソウ、ヒドラスチス（ゴールデンシール）
uploaded,新設,,A01N 65/00 123,,・・バラ科、例．　イチゴ、サンザシ、スモモ、サクラ、モモ、アンズまたはアーモンド
uploaded,新設,,A01N 65/00 124,,・・ミカン科、例．　ライム、オレンジ、レモン、キハダまたはサンショウ
uploaded,新設,,A01N 65/00 125,,・・ナス科、例．　イヌホウズキ、トマト、タバコまたはチリペッパー
uploaded,新設,,A01N 65/00 130,,・ユリ綱（単子葉植物）
uploaded,新設,,A01N 65/00 131,,・・アロエ科または　ユリ科、例．　アロエ、シュロソウ、タマネギ、ニンニクまたはチャイブ
uploaded,新設,,A01N 65/00 132,,・・イネ科、例．　タケ、レモングラスまたはシトロネラグラス
uploaded,新設,,A01N 65/00 133,,・・ビャクブ科、例．　ナベワリ
uploaded,新設,,A01N 65/00 134,,・・ショウガ科、例．　ショウガまたはコウリョウキョウ
uploaded,新設,,B60K 6/02,,・電気モータおよび内燃機関からなる原動機，例．ハイブリッド電気自動車（ＨＥＶ）［２００７．１０］
uploaded,新設,,B60K 6/02 300,,・・特にハイブリッド電気自動車（ＨＥＶ）に適用される特定要素の制御に特徴のあるもの
uploaded,新設,,B60K 6/02 310,,・・・燃焼機関の制御
uploaded,新設,,B60K 6/02 320,,・・・電動機または発電機の制御
uploaded,新設,,B60K 6/02 330,,・・・電気エネルギー貯蔵手段の制御，例．バッテリ充電状態（ＳＯＣ）の制御
uploaded,新設,,B60K 6/02 340,,・・・燃料電池の制御
uploaded,新設,,B60K 6/02 350,,・・・伝動装置の制御，例．変速比の制御
uploaded,新設,,B60K 6/02 360,,・・・駆動系のクラッチの制御
uploaded,新設,,B60K 6/02 370,,・・・制動装置の制御，例．回生及び摩擦制動の混合
uploaded,新設,,B60K 6/02 380,,・・・補機に関する制御，例．燃料ポンプ、エアコン圧縮機、オイルポンプに関する制御
uploaded,新設,,B60K 6/02 400,,・・特にハイブリッド電気自動車（ＨＥＶ）に適用される制御方法及び異なる要素の複合制御に特徴のあるもの
uploaded,新設,,B60K 6/22,,・・特にハイブリッド電気自動車（ＨＥＶ）に適用される装置、要素、あるいは手段に特徴のあるもの［２００７．１０］
uploaded,新設,,B60K 6/24,,・・・燃焼機関に特徴のあるもの［２００７．１０］
