改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,B60N 2/005,,・車両における座席の配置または取付け（２／０２が優先）［７］
uploaded,新設,,B60N 2/01,,・・互いに関連する座席の配置［７］
uploaded,新設,,B60N 2/015,,・・車両のシャシに直接取り付けられる座席［７］
uploaded,新設,,B60N 2/07,,・・・・スライド構造［７］
uploaded,新設,,B60N 2/075,,・・・・・ローラーのないもの［７］
uploaded,新設,,B60N 2/225,,・・・サイクロイドまたは遊星運動機構によるもの［７］
uploaded,新設,,B60N 2/23,,・・・直線ねじ機構によるもの［７］
uploaded,新設,,B60N 2/235,,・・・歯車－歯止め型の機構によるもの［７］
uploaded,新設,,B60N 2/39,,・・・車両のロール方向の傾斜を補正するために傾斜可能な座席［７］
uploaded,新設,,B60N 2/427,,・・・衝突の際に取り替えられる座席またはその部品［７］
uploaded,新設,,B60N 2/433,,・・・背もたれのための安全ロック，例．慣性により作動するロッキングバーを備えたもの［７］
uploaded,新設,,B60N 2/56,,・・暖房または換気装置［７］
uploaded,新設,,B60N 2/58,,・・座席カバー［７］
uploaded,新設,,B60N 2/06,,・・・取外し可能な保護用カバー［７］
uploaded,新設,,B60N 2/62,,・・太股を支持する台［７］
uploaded,新設,,B60N 2/64,,・・背もたれ［７］
uploaded,新設,,B60N 2/66,,・・・腰部の支持具［７］
uploaded,新設,,B60N 2/68,,・・シートフレーム，例．背もたれのためのもの［７］
uploaded,新設,,B60N 2/07,,・・座席用ばね［７］
uploaded,新設,,B60N 2/72,,・・・その取付けまたは調節［７］
uploaded,新設,,F23B 10/02,,・分離した二次燃焼室を含むもの［２０１１．０１］
uploaded,新設,,F23B 90/02,,・始動技術［２０１１．０１］
uploaded,新設,,F23B 90/04,,・二次燃焼を含むもの（分離した燃焼室内で行われるものＦ２３Ｂ１０／０２）［２０１１．０１］
uploaded,新設,,F23B 90/06,,・・一次燃焼が還元雰囲気下でのガス化または乾留であるもの［２０１１．０１］
uploaded,新設,,F23B 90/08,,・・触媒を用いるもの［２０１１．０１］
uploaded,新設,,F24F 1/06,,・分離式室外ユニット，例．離れた室内ユニットに接続される圧縮機と熱交換器からなる室外ユニット［２０１１．０１］
uploaded,新設,,F24F 1/08,,・・分離式室外ユニットに特に適合した圧縮機［２０１１．０１］
uploaded,新設,,F24F 1/01,,・・・それらの配置または取り付け［２０１１．０１］
uploaded,新設,,F24F 1/12,,・・・それらのための振動または騒音の防止［２０１１．０１］
uploaded,新設,,F24F 1/14,,・・分離式室外ユニットに特に適合した熱交換器［２０１１．０１］
uploaded,新設,,F24F 1/16,,・・・それらの配置または取り付け［２０１１．０１］
uploaded,新設,,F24F 1/18,,・・・それらの形状に特徴のあるもの［２０１１．０１］
uploaded,新設,,F24F 1/02,,・・分離式室外ユニットのための電気部品［２０１１．０１］
uploaded,新設,,F24F 1/22,,・・・それらの配置または取り付け［２０１１．０１］
uploaded,新設,,F24F 1/24,,・・・電気部品の冷却［２０１１．０１］
uploaded,新設,,F24F 1/26,,・・冷媒用の配管［２０１１．０１］
uploaded,新設,,F24F 1/28,,・・・複数の分離式室外ユニットを連結するためのもの［２０１１．０１］
uploaded,新設,,F24F 1/03,,・・・分離式室外ユニットの内部で使用するもの［２０１１．０１］
uploaded,新設,,F24F 1/32,,・・・分離式室外ユニットを室内ユニットに連結するためのもの［２０１１．０１］
uploaded,新設,,F24F 1/34,,・・・それらの保護手段，例．冷媒管保護部材［２０１１．０１］
uploaded,新設,,F24F 1/36,,・・室外ユニットのための露受皿［２０１１．０１］
uploaded,新設,,F24F 1/38,,・・室外ユニットのファンの細部，例．ベルマウスまたはファンの取り付け［２０１１．０１］
uploaded,新設,,F24F 1/04,,・・室外ユニット自体の振動または騒音の防止（室外ユニットの圧縮機のものＦ２４Ｆ１／１２）［２０１１．０１］
