改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A61M 99/00,,このサブクラスの他のグループに分類されない主題事項［２０１２．０１］
uploaded,新設,,A63C 10/00,,スノーボード用ビンディング［２０１２．０１］
uploaded,新設,,A63C 10/02,,・靴保持具の細部に特徴を有するもの［２０１２．０１］
uploaded,新設,,A63C 10/04,,・・靴の上部を跨ぐように設けられた靴保持具［２０１２．０１］
uploaded,新設,,A63C 10/06,,・・・そのためのストラップ，例．調節可能なストラップ［２０１２．０１］
uploaded,新設,,A63C 10/08,,・・つま先または踵用留め金；クランプ［２０１２．０１］
uploaded,新設,,A63C 10/01,,・・靴に固定する部材を用いるもの，例．ステップインを補助する手段［２０１２．０１］
uploaded,新設,,A63C 10/12,,・事故の際に自動的にはずれるもの，すなわち安全ビンディング［２０１２．０１］
uploaded,新設,,A63C 10/14,,・インターフェース，例．板の形状をしたもの［２０１２．０１］
uploaded,新設,,A63C 10/16,,・ビンディングの方向または位置を調整するシステム［２０１２．０１］
uploaded,新設,,A63C 10/18,,・・ボードに対する垂直回転軸に関するもの［２０１２．０１］
uploaded,新設,,A63C 10/02,,・・ボードに対して縦方向または横方向の調整［２０１２．０１］
uploaded,新設,,A63C 10/22,,・・靴のサイズに合わせるためのもの（Ａ６３Ｃ１０／０６が優先）［２０１２．０１］
uploaded,新設,,A63C 10/24,,・ふくらはぎまたは踵を保護するもの，例．調節可能なハイバックまたはヒールカップ［２０１２．０１］
uploaded,新設,,A63C 10/26,,・衝撃または振動を吸収するもの［２０１２．０１］
uploaded,新設,,A63C 10/28,,・ビンディングに付加的に取り付けられる装置またはビンディング上の配置に特徴があるもの［２０１２．０１］
uploaded,新設,,B21D 26/021,,・・板状体を加工するもの［２０１１．０１］
uploaded,新設,,B21D 26/023,,・・・流体圧力によって遂行される追加的な処理を含むもの，例．穿孔［２０１１．０１］
uploaded,新設,,B21D 26/025,,・・・型締めまたは型開きを制御する手段［２０１１．０１］
uploaded,新設,,B21D 26/027,,・・・流体のパラメータ，例．圧力または温度，を制御する手段［２０１１．０１］
uploaded,新設,,B21D 26/029,,・・・密閉またはシーリングの手段［２０１１．０１］
uploaded,新設,,B21D 26/031,,・・・型構造（Ｂ２１Ｄ２６／０２５～Ｂ２１Ｄ２６／０２９が優先）［２０１１．０１］
uploaded,新設,,B21D 26/033,,・・管状体を加工するもの（流体圧力の適用による管のコルゲート加工Ｂ２１Ｄ１５／０３，Ｂ２１Ｄ１５／１０）［２０１１．０１］
uploaded,新設,,B21D 26/035,,・・・流体圧力によって遂行される追加的な処理を含むもの，例．穿孔［２０１１．０１］
uploaded,新設,,B21D 26/037,,・・・分岐管の成形［２０１１．０１］
uploaded,新設,,B21D 26/039,,・・・型締めまたは型開きを制御する手段［２０１１．０１］
uploaded,新設,,B21D 26/041,,・・・流体のパラメータ，例．圧力または温度，を制御する手段［２０１１．０１］
uploaded,新設,,B21D 26/043,,・・・軸押しを制御する手段［２０１１．０１］
uploaded,新設,,B21D 26/045,,・・・密閉またはシーリングの手段［２０１１．０１］
uploaded,新設,,B21D 26/047,,・・・型構造（Ｂ２１Ｄ２６／０３７～Ｂ２１Ｄ２６／０４５が優先）［２０１１．０１］
uploaded,新設,,B21D 26/049,,・・・有底体を加工するもの［２０１１．０１］
uploaded,新設,,B21D 26/051,,・・・二重管を加工するもの［２０１１．０１］
uploaded,新設,,B21D 26/053,,・・素材に特徴のあるもの［２０１１．０１］
uploaded,新設,,B21D 26/055,,・・・超塑性特性を有するもの［２０１１．０１］
uploaded,新設,,B21D 26/057,,・・・テーラードブランク［２０１１．０１］
uploaded,新設,,B21D 26/059,,・・・積層体［２０１１．０１］
uploaded,新設,,B62K 5/00 A,,四輪以上の車輪を有する車両で、特に病弱者用のもの（例：四輪型個人車両）（車椅子Ａ６１Ｇ５／００）
uploaded,新設,,B62K 5/00 B,,・動力付き車両
uploaded,新設,,B62K 5/00 C,,四輪以上の車輪を有する車両（Ａ，Ｂが優先）
uploaded,新設,,B62K 5/00 D,,旋回時に車体を内側に傾動させるための手段
uploaded,新設,,B62K 5/00 Z,,その他のもの
uploaded,新設,,B62K 5/02 A,,特に病弱者用のもの（例：三輪型個人車両）（車椅子Ａ６１Ｇ５／００）
uploaded,新設,,B62K 5/02 B,,・動力付き車両
uploaded,新設,,B62K 5/02 C,,自動三輪車（Ａ，Ｂが優先）
uploaded,新設,,B62K 5/02 D,,後輪一輪型三輪車
uploaded,新設,,B62K 5/02 E,,三輪車用の車体フレーム（Ａ～Ｄが優先）
uploaded,新設,,B62K 5/02 Z,,その他のもの
uploaded,新設,,B62M 1/00 100,,・無端ベルト上を歩行するもの
uploaded,新設,,B62M 1/00 200,,・その他のもの
uploaded,新設,,B62M 1/02 100,,・・車軸を直接駆動するもの
uploaded,新設,,B62M 1/02 200,,・・その他のもの
uploaded,新設,,B62M 1/04 100,,・・スケータ（Ｂ６２Ｍ１／０４＠Ａ～Ｚにも必ず付与）
uploaded,新設,,C10J 1/207,,・燃料床における固体炭素質物質の熱分解による増熱化（Ｃ１０Ｊ３／６６が優先）［２０１２．０１］
uploaded,新設,,C10J 1/213,,・気化器中における固体炭素質物質の熱分解による増熱化［２０１２．０１］
uploaded,新設,,D04H 1/067,,・・・再生セルロ－ス系［２０１２．０１］
uploaded,新設,,D04H 1/073,,・・・アクリロニトリル系［２０１２．０１］
uploaded,新設,,D04H 1/09,,・・・生糸［２０１２．０１］
uploaded,新設,,D04H 1/26,,・・木材パルプ［２０１２．０１］
uploaded,新設,,D04H 1/28,,・・再生セルロ－ス系［２０１２．０１］
uploaded,新設,,D04H 1/03,,・・コラ－ゲン［２０１２．０１］
uploaded,新設,,D04H 1/32,,・・合成パルプ［２０１２．０１］
uploaded,新設,,D04H 1/407,,・・吸着性物質を含むもの，例．活性炭素［２０１２．０１］
uploaded,新設,,D04H 1/413,,・・吸着性物質以外の粒状物を含むもの［２０１２．０１］
uploaded,新設,,D04H 1/4209,,・・・無機繊維［２０１２．０１］
uploaded,新設,,D04H 1/4218,,・・・・ガラス繊維［２０１２．０１］
uploaded,新設,,D04H 1/4226,,・・・・・ガラスフリースを製造する装置に特徴のあるもの［２０１２．０１］
uploaded,新設,,D04H 1/4234,,・・・・金属繊維［２０１２．０１］
uploaded,新設,,D04H 1/4242,,・・・・炭素繊維［２０１２．０１］
uploaded,新設,,D04H 1/425,,・・・セルロ－ス系［２０１２．０１］
uploaded,新設,,D04H 1/4258,,・・・・再生セルロ－ス系［２０１２．０１］
uploaded,新設,,D04H 1/4266,,・・・グループＤ０４Ｈ１／４２５に分類されない天然繊維［２０１２．０１］
uploaded,新設,,D04H 1/4274,,・・・ボロ，反毛［２０１２．０１］
uploaded,新設,,D04H 1/4282,,・・・付加ポリマー［２０１２．０１］
uploaded,新設,,D04H 1/4291,,・・・・オレフイン系［２０１２．０１］
uploaded,新設,,D04H 1/43,,・・・・アクリロニトリル系［２０１２．０１］
uploaded,新設,,D04H 1/4309,,・・・・ポリビニルアルコール［２０１２．０１］
uploaded,新設,,D04H 1/4318,,・・・・フツ素系［２０１２．０１］
uploaded,新設,,D04H 1/4326,,・・・縮合ポリマー［２０１２．０１］
uploaded,新設,,D04H 1/4334,,・・・・ポリアミド［２０１２．０１］
