改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
2026.04,新設,,G06T 12/00,,投影からのトモグラフィー再構成［２０２６．０１］
2026.04,新設,,G06T 12/01,,・イメージの前処理，例．キャリブレーション，ソースのポジショニング，または散乱補正［２０２６．０１］
2026.04,新設,,G06T 12/02,,・逆問題，すなわち投射空間からオブジェクト空間への変換［２０２６．０１］
2026.04,新設,,G06T 12/03,,・イメージの後処理，例．金属アーチファクトの補正［２０２６．０１］
2026.04,廃止,B60R 99/00 310,B62D 15/02 300,・駐車支援に関するもの,
2026.04,廃止,B60R 99/00 320,B62D 15/02 300,・・周辺環境の認知,
2026.04,廃止,B60R 99/00 321,B62D 15/02 300,・・・白線，マークまたは標識の検出によるもの,
2026.04,廃止,B60R 99/00 322,B62D 15/02 300,・・・物体の検出によるもの，例．他車両，障害物，縁石または輪止め,
2026.04,廃止,B60R 99/00 330,B62D 15/02 300,・・駐車スペースの認知または設定,
2026.04,廃止,B60R 99/00 340,B62D 15/02 300,・・駐車経路の算出または設定,
2026.04,廃止,B60R 99/00 350,B62D 15/02 300,・・ユーザーインターフェース,
2026.04,廃止,B60R 99/00 351,B62D 15/02 300,・・・視覚によるもの,
2026.04,廃止,B60R 99/00 352,B62D 15/02 300,・・・聴覚によるもの,
2026.04,廃止,B60R 99/00 353,B62D 15/02 300,・・・触覚によるもの,
2026.04,廃止,B60R 99/00 360,B62D 15/02 300,・・外部との通信を用いるもの，例．駐車場側設備との通信，車々間通信，歩車間通信またはＧＰＳ座標の利用,
2026.04,廃止,B60R 99/00 370,B62D 15/02 300,・・駐車レイアウト,
2026.04,廃止,B60R 99/00 371,B62D 15/02 300,・・・並列駐車,
2026.04,廃止,B60R 99/00 372,B62D 15/02 300,・・・縦列駐車,
2026.04,廃止,C21D 9/08 101,C21D 9/08,・・誘導加熱,
2026.04,タイトル変更,B62D 6/00,B62D 6/00,走行状態を検出した結果，及び走行状態に感応した結果に応じて自動的に操向装置を制御する装置，例．制御回路（車両の方向変化を起こさせる装置Ｂ６２Ｄ１／００；操向バルブＢ６２Ｄ５／０６；曲線路上で車体または車輪を傾斜させる手段との結合Ｂ６２Ｄ９／００）［４，６］,検出された運転状態に依って操向装置を自動的に制御するための手段，例．制御回路（車両の方向変化を起こさせる装置Ｂ６２Ｄ１／００；操向バルブＢ６２Ｄ５／０６；曲線路上で車体または車輪を傾斜させる手段との結合Ｂ６２Ｄ９／００）［２００６．０１］
2026.04,タイトル変更,C21D 9/08 D,C21D 9/08 D,・誘導加熱〔Ｆ，Ｇ優先〕,・誘導加熱
2026.04,タイトル変更,D06F 53/00 B,D06F 53/00 B,ソ－ル式物干し綱〔５３／００～５３／０４に相当〕,リール式物干し綱〔５３／００～５３／０４に相当〕
