改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A01D 93/00,,このサブクラスの他のグループには分類されない収穫用機器［２００９．０１］
uploaded,新設,,A01M 29/00 100,,・視覚によるもの［例．案山子，動く要素，特定の形状，模様］
uploaded,新設,,A01M 29/00 102,,・・反射，色，特定の透過性又は反射性を有するフィルムによるもの
uploaded,新設,,A01M 29/00 104,,・・光源によるもの［例．レーザー光，閃光］
uploaded,新設,,A01M 29/00 106,,・臭いのある物質によるもの［例．アロマ，フェロモン，化学物質］
uploaded,新設,,A01M 29/00 108,,・温度効果によるもの
uploaded,新設,,A01M 29/00 110,,・振動によるもの（Ａ０１Ｍ２９／０２が優先）
uploaded,新設,,A01M 29/00 112,,・電気，磁気によるもの［例．電気ショック，磁場，マイクロ波］
uploaded,新設,,A01M 29/00 114,,・・特に鳥に適したもの［例．通電した棒，紐，薄板］
uploaded,新設,,A01M 29/00 116,,・・特に虫に適したもの
uploaded,新設,,A01M 29/00 118,,・接近又は通行を阻止又は妨害するもの［例．障壁，棘，紐，障害物，散水］
uploaded,新設,,A01M 29/00 120,,・・特に鳥に適したもの［例．棘］
uploaded,新設,,A01M 29/00 122,,・・特に虫に適したもの
uploaded,新設,,A01M 29/02 100,,・・超音波によるもの
uploaded,新設,,A47H 99/00,,このサブクラスの他のグループには分類されない主題事項［２００９．０１］
uploaded,新設,,A62B 99/00,,このサブクラスの他のグループには分類されない主題事項［２００９．０１］
uploaded,新設,,A62B 99/00 A,,落下防止受具・ネツト
uploaded,新設,,A62B 99/00 B,,消煙装置
uploaded,新設,,A62B 99/00 C,,車両等における避難救助
uploaded,新設,,A62B 99/00 D,,感電防止
uploaded,新設,,A62B 99/00 E,,可膨張装置に用いるガス発生装置
uploaded,新設,,A62B 99/00 Z,,その他のもの
uploaded,新設,,A63C 9/00 101,,・スノーボード用ビンディング
uploaded,新設,,A63C 9/00 101 A,,靴締具の細部に特徴を有するもの
