改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A01F 7/07,,・フレール（ｆｌａｉｌｓ）を有するもの［２０１０．０１］
uploaded,新設,,A01F 29/09,,・細部［２０１０．０１］
uploaded,新設,,A01F 29/09 A,,バランスウエイトまたはその取付
uploaded,新設,,A01F 29/09 B,,結束帯の切断機構
uploaded,新設,,A01F 29/09 Z,,その他のもの
uploaded,新設,,A44B 99/00,,このサブクラスの他のグループに分類されない主題事項［２０１０．０１］
uploaded,新設,,A44B 99/00 601,,・他の締め具又は止め具の用途
uploaded,新設,,A44B 99/00 601 A,,被服
uploaded,新設,,A44B 99/00 601 B,,・襟元止め具
uploaded,新設,,A44B 99/00 601 C,,・・洋服用
uploaded,新設,,A44B 99/00 601 D,,・・和服用
uploaded,新設,,A44B 99/00 601 E,,・ズボン、スカ－ト用
uploaded,新設,,A44B 99/00 601 F,,・サスペンダ－
uploaded,新設,,A44B 99/00 601 G,,・こはぜ
uploaded,新設,,A44B 99/00 601 H,,・・平板型
uploaded,新設,,A44B 99/00 601 J,,・・線輪型
uploaded,新設,,A44B 99/00 601 K,,・・こはぜ掛
uploaded,新設,,A44B 99/00 601 L,,・おむつ
uploaded,新設,,A44B 99/00 601 M,,・・ボタン
uploaded,新設,,A44B 99/00 601 N,,帽子
uploaded,新設,,A44B 99/00 601 P,,ハンカチ
uploaded,新設,,A44B 99/00 601 Q,,装身具
uploaded,新設,,A44B 99/00 601 R,,寝具
uploaded,新設,,A44B 99/00 601 S,,ソフア、椅子
uploaded,新設,,A44B 99/00 601 T,,カ－ペツト
uploaded,新設,,A44B 99/00 601 U,,兼用
uploaded,新設,,A44B 99/00 601 Z,,その他
uploaded,新設,,A44B 99/00 611,,・他の締め具又は止め具のタイプ
uploaded,新設,,A44B 99/00 611 A,,挟持するもの
uploaded,新設,,A44B 99/00 611 B,,・クリツプ型
uploaded,新設,,A44B 99/00 611 C,,・レバ－付きのもの
uploaded,新設,,A44B 99/00 611 D,,・弾性体によるもの
uploaded,新設,,A44B 99/00 611 E,,止め金具
uploaded,新設,,A44B 99/00 611 F,,ハトメ
uploaded,新設,,A44B 99/00 611 G,,ホツク型
uploaded,新設,,A44B 99/00 611 H,,面接合をするもの
uploaded,新設,,A44B 99/00 611 J,,・ベルベツト式フアスナ－
uploaded,新設,,A44B 99/00 611 K,,・接着、粘着するもの
uploaded,新設,,A44B 99/00 611 L,,磁石
uploaded,新設,,A44B 99/00 611 M,,緊締するもの
uploaded,新設,,A44B 99/00 611 N,,紐用のもの
uploaded,新設,,A44B 99/00 611 P,,装飾
uploaded,新設,,A44B 99/00 611 Z,,その他
uploaded,新設,,A62C 99/00,,このサブクラスの他のグループに分類されない主題事項［２０１０．０１］
uploaded,新設,,B01L 7/04,,・保温装置，例．フラスコ用ジャケット［２０１０．０１］
uploaded,新設,,B01L 99/00,,このサブクラスの他のグループに分類されない主題事項［２０１０．０１］
uploaded,新設,,B24B 37/00 X,,ラッピング機械、装置に用いられる制御・付属装置
uploaded,新設,,B24B 37/04 U,,両面研磨用ラッピングキャリア
uploaded,新設,,B24B 37/04 V,,片面研磨用ラッピングキャリア
uploaded,新設,,B24D 99/00,,このサブクラスの他のグループに分類されない主題事項［２０１０．０１］
uploaded,新設,,B24D 99/00 A,,エアバツク研削工具
uploaded,新設,,B24D 99/00 B,,煙突掃除型内面研摩工具
uploaded,新設,,B24D 99/00 C,,帯状切断砥石
uploaded,新設,,B24D 99/00 D,,砥石車の構成要素としての砥石ブロツク
uploaded,新設,,B24D 99/00 E,,非砥粒性研摩工具〔他に分類のない「研摩工具」など〕
uploaded,新設,,B24D 99/00 F,,他の装置や道具と兼用される砥石具
uploaded,新設,,B24D 99/00 Z,,その他
uploaded,新設,,B29D 33/00,,軸受け用のブッシュの製造［２０１０．０１］
uploaded,新設,,B29D 99/00,,このサブクラスの他のグループに分類されない主題事項［２０１０．０１］
uploaded,新設,,B43M 99/00,,このサブクラスの他のグループに分類されない主題事項［２０１０．０１］
uploaded,新設,,B43M 99/00 A,,硯
uploaded,新設,,B43M 99/00 B,,墨すり
uploaded,新設,,B43M 99/00 C,,墨ホルダー
uploaded,新設,,B43M 99/00 D,,水差し
uploaded,新設,,B43M 99/00 E,,机上文具入れ
uploaded,新設,,B43M 99/00 F,,固体湿潤具
uploaded,新設,,B43M 99/00 Z,,その他のもの
uploaded,新設,,B60G 99/00,,このサブクラスの他のグループに分類されない主題事項［２０１０．０１］
uploaded,新設,,B60W 10/00,,異なる種類または異なる機能の車両用サブユニットの関連制御（乗物の内部に動力供給源をもつ単なる電気的推進車両の推進のためのものＢ６０Ｌ１１／００）［８］
uploaded,新設,,B60W 10/00 102,,・推進装置とクラッチに関するもの
uploaded,新設,,B60W 10/00 104,,・推進装置と伝動装置に関するもの
uploaded,新設,,B60W 10/00 106,,・・伝動装置が段階的なもの
uploaded,新設,,B60W 10/00 108,,・・・駆動の中断を伴うもの
uploaded,新設,,B60W 10/00 110,,・・・駆動の中断を伴わないもの
uploaded,新設,,B60W 10/00 112,,・・伝動装置が無段階に変化するもの
uploaded,新設,,B60W 10/00 114,,・・・機械式のもの
