改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A01G 27/02,,・貯水槽があり，その主要部が栽培容器の周囲またはすぐそばに位置するもの（Ａ０１Ｇ２７／０６が優先）［６］
uploaded,新設,,A01G 27/02 B,,栽培容器に設けられた貯水部，水皿，二重鉢（５０２Ｄ優先）
uploaded,新設,,A01G 27/02 F,,栽培容器と別体のタンク
uploaded,新設,,A01G 27/02 G,,・土にさすタンク
uploaded,新設,,A01G 27/02 H,,タンクの材質，構造に特徴
uploaded,新設,,A01G 27/02 Z,,栽培容器以外の自動潅水
uploaded,新設,,A01G 27/04,,・毛細管現象を起こす芯体または同様のものを用いたもの［６］
uploaded,新設,,A01G 27/06,,・・貯水槽があり，その主要部が栽培容器の周囲またはすぐそばに位置するもの［６］
uploaded,新設,,A61B 8/13,,・断層撮影（Ａ６１Ｂ８／１０，Ａ６１Ｂ８／１２が優先；放射線診断用断層撮影Ａ６１Ｂ６／０２）［５］
uploaded,新設,,A61B 8/15,,・・透過法による断層撮影［５］
uploaded,新設,,A61B 10/00 500,,・体内からの液体サンプルの採取，例．胃液の採取
uploaded,新設,,A61B 10/02,,・細胞の標本を取るためのまたは生検のための機器（血液のサンプル採取用装置Ａ６１Ｂ５／１５）［８］
uploaded,新設,,A61B 10/02 110,,・・尖ったまたは鋭い生検器具
uploaded,新設,,A61B 10/02 110 A,,前立腺用
uploaded,新設,,A61B 10/02 110 B,,骨，脊髄または軟骨サンプル採取用
uploaded,新設,,A61B 10/02 110 H,,サンプルを切断するための手段
uploaded,新設,,A61B 10/02 110 J,,・サンプル用ノッチを持つもの，例．インナースタイレットの側面上のもの
uploaded,新設,,A61B 10/02 110 K,,真空吸引するもの，例．格納されたプランジャまたは接続されたシリンジによって引き起こされるもの
uploaded,新設,,A61B 10/02 110 Z,,その他
uploaded,新設,,A61B 10/02 130,,・・擦過細胞採取
uploaded,新設,,A61B 10/02 140,,・・・子宮用
uploaded,新設,,A61B 10/02 150,,・・吸引式（生検針によるものＡ６１Ｂ１０／０２，１１０Ｋ）
uploaded,新設,,A61B 10/02 160,,・・カプセル式
uploaded,新設,,A61B 10/02 300,,・・付属
uploaded,新設,,A61B 10/02 300 A,,器具の位置検出のための部材，例．生検針にマーカを備えるもの
uploaded,新設,,A61B 10/02 300 D,,センサを備えるもの，例．生検針に測定器を付加したもの
uploaded,新設,,A61B 10/02 300 Z,,その他
uploaded,新設,,A61B 10/02 500,,・・他に分類されない細胞採取
uploaded,新設,,A61B 10/04,,・・内視鏡用器具［８］
uploaded,新設,,A61B 10/06,,・・生検鉗子［８］
uploaded,新設,,A61D 19/00,,繁殖または受精のための器具または用法［５］
uploaded,新設,,A61D 19/02,,・人工受精のためのもの［５］
uploaded,新設,,A61D 19/02 A,,精子，卵子の採取器具
uploaded,新設,,A61D 19/02 B,,精子，卵子の保存器具
uploaded,新設,,A61D 19/02 C,,精子の判別装置
uploaded,新設,,A61D 19/02 D,,人工授精装置
uploaded,新設,,A61D 19/02 Z,,その他
uploaded,新設,,A61D 19/04,,・受精卵移植のためのもの［５］
uploaded,新設,,A61D 19/04 A,,受精卵移植装置
uploaded,新設,,A61D 19/04 Z,,その他
uploaded,新設,,A61F 9/00 100,,・コンタクトレンズ装着用具
uploaded,新設,,A61F 9/00 110,,・斜視矯正用具
uploaded,新設,,A61F 9/007,,・眼の手術の方法または装置［６］
uploaded,新設,,A61F 9/007 100,,・・異物除去用具
uploaded,新設,,A61F 9/007 110,,・・目蓋の機能回復
uploaded,新設,,A61F 9/007 120,,・・網膜再付着のための装置
uploaded,新設,,A61F 9/007 130,,・・眼球の切開・切除・穿刺を伴う装置（Ａ６１Ｆ９／００８，Ａ６１Ｆ９／０１３が優先）
uploaded,新設,,A61F 9/007 130 A,,機械的振動を使用するもの，例．超音波
uploaded,新設,,A61F 9/007 130 B,,・水晶体超音波乳化吸引装置
uploaded,新設,,A61F 9/007 130 C,,注入または吸引手段を有するもの（水晶体超音波乳化吸引装置は，Ａ６１Ｆ９／００７，１３０　Ｂ）
uploaded,新設,,A61F 9/007 130 D,,・眼用注射装置
uploaded,新設,,A61F 9/007 130 E,,・眼用カニューレ
uploaded,新設,,A61F 9/007 130 F,,・硝子体吸引切除装置
uploaded,新設,,A61F 9/007 130 G,,・灌流液の供給・吸引装置
uploaded,新設,,A61F 9/007 130 H,,切開器具，例．機械式または電流式嚢切開器具，眼科手術用ナイフ（Ａ６１Ｆ９／００７，１３０　Ａ－Ｇが優先）
uploaded,新設,,A61F 9/007 130 J,,穿刺器具，例．トロカール（Ａ６１Ｆ９／００７，１３０　Ａ－Ｈが優先）
uploaded,新設,,A61F 9/007 130 Z,,その他
uploaded,新設,,A61F 9/007 140,,・・涙道回復装置，例．涙道チューブ
uploaded,新設,,A61F 9/007 150,,・・涙点プラグ（薬剤の送達を伴うものは、Ａ６１Ｆ９／００７，１７０も付与）
uploaded,新設,,A61F 9/007 160,,・・眼圧調整器具，例．シャント
uploaded,新設,,A61F 9/007 170,,・・薬剤の送達装置
uploaded,新設,,A61F 9/007 180,,・・非レーザーの照射装置，例．非コヒーレント光，マイクロ波
uploaded,新設,,A61F 9/007 190,,・・光に基づく刺激を視覚経路に伝えるもの，例．人工網膜
uploaded,新設,,A61F 9/007 190 A,,網膜刺激型
uploaded,新設,,A61F 9/007 190 B,,視神経刺激型
uploaded,新設,,A61F 9/007 190 C,,脳刺激型
uploaded,新設,,A61F 9/007 190 Z,,その他
uploaded,新設,,A61F 9/007 200,,・・眼科手術用補助器具
uploaded,新設,,A61F 9/007 200 A,,開瞼器
uploaded,新設,,A61F 9/007 200 B,,処置具の保持装置
uploaded,新設,,A61F 9/007 200 C,,観察装置
uploaded,新設,,A61F 9/007 200 Z,,その他
uploaded,新設,,A61F 9/008,,・・レーザーを用いるもの［７］
uploaded,新設,,A61F 9/008 100,,・・・照準光
uploaded,新設,,A61F 9/008 110,,・・・照明光
uploaded,新設,,A61F 9/008 120,,・・・治療光
uploaded,新設,,A61F 9/008 120 A,,照射パターン
uploaded,新設,,A61F 9/008 120 B,,スポットサイズ
uploaded,新設,,A61F 9/008 120 C,,ビームプロファイル，強度分布
uploaded,新設,,A61F 9/008 120 D,,出力
uploaded,新設,,A61F 9/008 120 E,,照射位置
uploaded,新設,,A61F 9/008 120 F,,走査機構
uploaded,新設,,A61F 9/008 120 Z,,その他
uploaded,新設,,A61F 9/008 130,,・・・観察装置と連携するもの，例．ＯＣＴ
uploaded,新設,,A61F 9/008 140,,・・・・トラッキング
uploaded,新設,,A61F 9/008 150,,・・・光学的部品に特徴を有するもの
uploaded,新設,,A61F 9/008 151,,・・・・レンズ，フイルタ－
uploaded,新設,,A61F 9/008 152,,・・・・接眼レンズ
uploaded,新設,,A61F 9/008 160,,・・・光源に特徴を有するもの
uploaded,新設,,A61F 9/009,,・・・眼球に接触させ，レーザ光を導入させるための補助器具［７］
uploaded,新設,,A61F 9/01,,・・・角膜の処置［７］
uploaded,新設,,A61F 9/01 100,,・・・・フラップの形成に特徴を有するもの
uploaded,新設,,A61F 9/01 110,,・・・・シート状の角膜切片，レンチクルの形成に特徴を有するもの
uploaded,新設,,A61F 9/011,,・・・侵入型［７］
uploaded,新設,,A61F 9/013,,・・眼の屈折力の補償のためのもの（Ａ６１Ｆ９／００８が優先）［６，７］
uploaded,新設,,A61F 9/013 100,,・・・角膜切開器具
uploaded,新設,,A61F 9/013 110,,・・・角膜矯正コンタクトレンズ，オルソケラトロジー
uploaded,新設,,A61F 11/06,,・耳の保護装置［５］
uploaded,新設,,A61F 11/08,,・・内部のもの，例．耳栓［５］
uploaded,新設,,A61F 11/08 100,,・・・貫通孔を有するもの
uploaded,新設,,A61F 11/01,,・・・膨脹可能または伸脹可能なもの［５］
uploaded,新設,,A61F 11/01 100,,・・・・プラスチツクフオ－ム，繊維等の多孔材料を用いたもの
uploaded,新設,,A61F 11/12,,・・・外部の取付け手段［５］
uploaded,新設,,A61F 11/12 100,,・・・・左右耳栓の連結部材を設けたもの
uploaded,新設,,A61F 11/12 110,,・・・・・補聴器用及びイヤホン用耳栓
uploaded,新設,,A61F 11/14,,・・外部のもの，例．キャップまたはイヤーマフ［５］
uploaded,新設,,A61F 11/14 100,,・・・耳覆い型の弱音器；耳栓
uploaded,新設,,A61G 9/02,,・洗浄装置［５］
uploaded,新設,,A61G 17/007,,・使用される構造材料により特徴づけられるもの，例．生物分解性のある材料；数種の材料の使用［５］
uploaded,新設,,A61G 17/013,,・折りたたむことのできる棺［５］
uploaded,新設,,A61J 17/02,,・歯がため［５］
uploaded,新設,,A61L 2/02 100,,・・ろ過
uploaded,新設,,A61L 2/025,,・・超音波［７］
uploaded,新設,,A61L 2/03,,・・電流，例．電気分解［７］
uploaded,新設,,A61L 2/03 100,,・・・電解
uploaded,新設,,A61L 2/07,,・・・・水蒸気［７］
uploaded,新設,,A61L 2/08 100,,・・・γ線
uploaded,新設,,A61L 2/08 102,,・・・Ｘ線
uploaded,新設,,A61L 2/08 104,,・・・可視光線
uploaded,新設,,A61L 2/08 106,,・・・赤外線
uploaded,新設,,A61L 2/08 108,,・・・粒子線，例．電子線，αまたはβ線
uploaded,新設,,A61L 2/08 110,,・・・光触媒または光増感剤を使用するもの
uploaded,新設,,A61L 2/18 100,,・・・オゾン溶存液
