改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A01K 67/0271,,・・キメラ脊椎動物，例．外因性細胞を含むもの［２０２４．０１］
uploaded,新設,,A01K 67/0273,,・・クローン脊椎動物［２０２４．０１］
uploaded,新設,,A01K 67/0275,,・・遺伝子組換え脊椎動物，例．トランスジェニック動物［２０２４．０１］
uploaded,新設,,A01K 67/0276,,・・・ノックアウト脊椎動物［２０２４．０１］
uploaded,新設,,A01K 67/0278,,・・・ノックイン脊椎動物，例．ヒト化脊椎動物［２０２４．０１］
uploaded,新設,,A61B 6/00 500,,・放射線透視診断用機器
uploaded,新設,,A61B 6/00 501,,・・蛍光板表示型透視診断用機器
uploaded,新設,,A61B 6/00 502,,・・イメージ・インテンシファイア表示型透視診断用機器
uploaded,新設,,A61B 6/00 503,,・・陰極線管表示型透視診断機器
uploaded,新設,,A61B 6/00 503 A,,撮像管出力信号を用いるもの一般
uploaded,新設,,A61B 6/00 503 B,,・撮像管出力信号を用いるもの　Ｘ線フィルムを撮像するもの
uploaded,新設,,A61B 6/00 503 C,,・撮像管出力信号を用いるもの　Ｉ・Ｉ管出力によるもの
uploaded,新設,,A61B 6/00 503 E,,・検出器出力信号を用いるもの
uploaded,新設,,A61B 6/00 503 F,,・固体映像変換器出力信号を用いるもの
uploaded,新設,,A61B 6/00 503 J,,・輝尽性蛍光体フィルムを用いるもの一般
uploaded,新設,,A61B 6/00 503 K,,・・輝尽性蛍光体フィルムからのＸ線画像信号読出装置
uploaded,新設,,A61B 6/00 503 L,,・・輝尽性蛍光体フィルムの読出信号を用いる表示技術
uploaded,新設,,A61B 6/00 503 Z,,その他のもの
uploaded,新設,,A61B 6/00 510,,・回診用放射線診断用機器
uploaded,新設,,A61B 6/00 511,,・・緩衝のための構成
uploaded,新設,,A61B 6/00 520,,・放射線診断用機器の駆動制御（Ｘ線曝射制御Ｈ０５Ｇ）
uploaded,新設,,A61B 6/00 520 A,,Ｘ線ＴＶの同期信号との同期撮影
uploaded,新設,,A61B 6/00 520 M,,放射線照射の為の準備装置
uploaded,新設,,A61B 6/00 520 R,,曝射条件の記録
uploaded,新設,,A61B 6/00 520 Z,,その他のもの
uploaded,新設,,A61B 6/00 521,,・・遠隔制御
uploaded,新設,,A61B 6/00 530,,・特殊放射線診断用機器
uploaded,新設,,A61B 6/00 530 A,,動態撮影装置
uploaded,新設,,A61B 6/00 530 B,,Ｘ線映画装置〔Ｘ線映画のための回路Ｈ０５Ｇ１／６０〕
uploaded,新設,,A61B 6/00 530 Z,,その他のもの
uploaded,新設,,A61B 6/00 533,,・・放射線エネルギ別診断装置
uploaded,新設,,A61B 6/00 535,,・・生体信号との同期診断用機器（被写体の運動の予定された瞬間にＸ線写真を得るための回路装置；Ｈ０５Ｇ１／６２）
uploaded,新設,,A61B 6/00 550,,・放射線診断のための画像処理
uploaded,新設,,A61B 6/00 550 A,,画像処理一般
uploaded,新設,,A61B 6/00 550 B,,・生体容積の測定のためのもの
uploaded,新設,,A61B 6/00 550 C,,・生体運動変化量の測定のための手段
uploaded,新設,,A61B 6/00 550 D,,・輪郭抽出
uploaded,新設,,A61B 6/00 550 M,,画像の強調処理一般
uploaded,新設,,A61B 6/00 550 N,,・周波数強調処理
uploaded,新設,,A61B 6/00 550 P,,・複数画像の重ね合わせによる強調処理
uploaded,新設,,A61B 6/00 550 S,,・サブトラクション
uploaded,新設,,A61B 6/00 550 Z,,その他のもの
uploaded,新設,,A61B 6/00 560,,・データベース
uploaded,新設,,A61B 6/00 570,,・放射線治療と結合している装置（放射線治療Ａ６１Ｎ５）
uploaded,新設,,A61B 6/00 590,,・付属装置
uploaded,新設,,A61B 6/00 590 B,,放射線診断のための体格測定具
uploaded,新設,,A61B 6/00 590 C,,放射線診断のための位置の測定具
uploaded,新設,,A61B 6/00 590 E,,放射線診断室〔レントゲン室〕
uploaded,新設,,A61B 6/00 590 M,,レントゲン車
uploaded,新設,,A61B 6/00 590 Z,,その他のもの
uploaded,新設,,A61B 6/02 500,,・・異なる平面内を連続的に診断するための装置
uploaded,新設,,A61B 6/02 500 A,,装置一般，付属具
uploaded,新設,,A61B 6/02 500 B,,・断層位置の決定，深度計
uploaded,新設,,A61B 6/02 500 F,,・制御技術
uploaded,新設,,A61B 6/02 500 Z,,その他のもの
uploaded,新設,,A61B 6/02 501,,・・・体軸縦断層診断装置
uploaded,新設,,A61B 6/02 501 A,,装置一般
uploaded,新設,,A61B 6/02 501 D,,・直線軌道摺動型
uploaded,新設,,A61B 6/02 501 H,,・円弧軌道型
uploaded,新設,,A61B 6/02 501 R,,・・平行四辺形リンク駆動機構を有するもの
uploaded,新設,,A61B 6/02 501 Z,,その他のもの
uploaded,新設,,A61B 6/02 503,,・・・回転横断断層診断装置
uploaded,新設,,A61B 6/02 503 A,,装置一般
uploaded,新設,,A61B 6/02 503 M,,・回転駆動機構
uploaded,新設,,A61B 6/02 503 Z,,その他のもの
uploaded,新設,,A61B 6/02 550,,・・立体放射線写真診断
uploaded,新設,,A61B 6/02 551,,・・・立体放射線写真診断装置
uploaded,新設,,A61B 6/02 551 C,,装置の全体構成に特徴を有するもの
uploaded,新設,,A61B 6/02 551 M,,深度・もしくは立体角を決定するための装置
uploaded,新設,,A61B 6/02 551 Z,,その他のもの
uploaded,新設,,A61B 6/03 501,,・・・Ｘ線を除く放射線源を用いたＣＴスキャナー（エミッションＣＴ，Ｇ０１Ｔ１／１６１）
uploaded,新設,,A61B 6/03 510,,・・・原理・走査型式に特徴を有するもの
uploaded,新設,,A61B 6/03 510 A,,散乱線断層法
uploaded,新設,,A61B 6/03 510 Z,,その他のもの
uploaded,新設,,A61B 6/03 511,,・・・・全角度投影法
uploaded,新設,,A61B 6/03 511 K,,電子ビーム走査Ｘ線管型　静止／静止装置〔Ｓ／Ｓ〔Ｖ〕〕
uploaded,新設,,A61B 6/03 511 Z,,その他のもの
uploaded,新設,,A61B 6/03 513,,・・・・小角度投影法
uploaded,新設,,A61B 6/03 515,,・・・・単一角度投影法
uploaded,新設,,A61B 6/03 520,,・・・データ取得のための装置構成の細部
uploaded,新設,,A61B 6/03 520 A,,細部一般
uploaded,新設,,A61B 6/03 520 Z,,その他のもの
uploaded,新設,,A61B 6/03 521,,・・・・ガントリー構成
uploaded,新設,,A61B 6/03 521 A,,給電機構
uploaded,新設,,A61B 6/03 521 B,,冷却機構
uploaded,新設,,A61B 6/03 521 C,,直線走査機構
uploaded,新設,,A61B 6/03 521 D,,回転走査機構
uploaded,新設,,A61B 6/03 521 F,,安全技術
uploaded,新設,,A61B 6/03 521 G,,・衝突防止
uploaded,新設,,A61B 6/03 521 H,,・放射線防護〔シャッタＡ６１Ｂ６／４０，５３０Ｆ，放射線防護，遮へいそれ自体Ｇ２１Ｆ〕
uploaded,新設,,A61B 6/03 521 J,,光軸合わせ
uploaded,新設,,A61B 6/03 521 K,,傾動機構
uploaded,新設,,A61B 6/03 521 L,,撮影領域切換機構
uploaded,新設,,A61B 6/03 521 N,,高速度撮影技術
uploaded,新設,,A61B 6/03 521 P,,・複数撮像機構
uploaded,新設,,A61B 6/03 521 Q,,・複数断層像同時撮影機構
uploaded,新設,,A61B 6/03 521 Z,,その他のもの
uploaded,新設,,A61B 6/03 523,,・・・・ＣＴスキャナー用被検体載置台
uploaded,新設,,A61B 6/03 523 A,,台の位置決め技術
uploaded,新設,,A61B 6/03 523 B,,台構造
uploaded,新設,,A61B 6/03 523 C,,・材質・構造
uploaded,新設,,A61B 6/03 523 D,,・台の駆動機構
uploaded,新設,,A61B 6/03 523 E,,・・摺動機構
uploaded,新設,,A61B 6/03 523 F,,・・上下動機構
uploaded,新設,,A61B 6/03 523 G,,・・水平回動機構
uploaded,新設,,A61B 6/03 523 H,,・・ローリング機構
uploaded,新設,,A61B 6/03 523 J,,・・身体傾動機構
