改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A41D 31/00 502 W,,衣服における異なる素材の配置又は特殊なパターンの配置
uploaded,新設,,A41D 31/00 502 X,,紙より成るもの
uploaded,新設,,A41D 31/04,,・特別な機能または用途に特徴のあるもの［２０１９．０１］
uploaded,新設,,A41D 31/04 A,,補強に特徴を有するもの
uploaded,新設,,A41D 31/04 B,,耐久性を有するもの
uploaded,新設,,A41D 31/04 C,,・耐水性又は耐せんたく性を有するもの
uploaded,新設,,A41D 31/04 D,,・耐薬品性を有するもの
uploaded,新設,,A41D 31/04 E,,表裏両面が使用可能なもの
uploaded,新設,,A41D 31/04 F,,風合の向上をはかったもの
uploaded,新設,,A41D 31/04 G,,装飾に特徴を有するもの
uploaded,新設,,A41D 31/04 Z,,その他のもの
uploaded,新設,,A41D 31/06,,・・熱防護性，例．断熱性［２０１９．０１］
uploaded,新設,,A41D 31/06 100,,・・・保温性を有するか加温を行うもの
uploaded,新設,,A41D 31/08,,・・耐熱性；難燃性［２０１９．０１］
uploaded,新設,,A41D 31/01,,・・液不透過性，例．防水性；撥液性［２０１９．０１］
uploaded,新設,,A41D 31/102,,・・・防水通気性［２０１９．０１］
uploaded,新設,,A41D 31/12,,・・吸湿性；保水性［２０１９．０１］
uploaded,新設,,A41D 31/14,,・・空気透過性，すなわち気体の浸透が可能なもの（防水通気性Ａ４１Ｄ３１／１０２）［２０１９．０１］
uploaded,新設,,A41D 31/18,,・・弾性［２０１９．０１］
uploaded,新設,,A41D 31/24,,・・機械的ストレスへの耐性，例．穿孔への耐性［２０１９．０１］
uploaded,新設,,A41D 31/24 100,,・・・耐摩耗性を有するもの
uploaded,新設,,A41D 31/26,,・・電気的防護性，例．静電気または電気ショック防止［２０１９．０１］
uploaded,新設,,A41D 31/26 100,,・・・静電気の帯電を防止するもの
uploaded,新設,,A41D 31/28,,・・衝撃吸収性［２０１９．０１］
uploaded,新設,,A41D 31/03,,・・抗微生物性，例．抗細菌性［２０１９．０１］
uploaded,新設,,A41D 31/32,,・・再帰反射性［２０１９．０１］
uploaded,新設,,A61B 3/024,,・・視野を定めるためのもの，例．視野計型［２００６．０１］
uploaded,新設,,A61B 3/028,,・・視力検査のためのもの；目の屈折力測定のためのもの，例．フォロプター［２００６．０１］
uploaded,新設,,A61B 3/028 300,,・・・回転レンズ
uploaded,新設,,A61B 3/032,,・・・検査記号または文字表示装置，例．検査図表投影器（Ａ６１Ｂ３／０３６が優先）［２００６．０１］
uploaded,新設,,A61B 3/036,,・・・乱視検査のためのもの［２００６．０１］
uploaded,新設,,A61B 3/01 100,,・・光干渉断層像検査，例．ＯＣＴ
uploaded,新設,,A61B 3/01 300,,・・レーザ走査型検眼鏡検査，例．ＳＬＯ
uploaded,新設,,A61B 3/01 800,,・・電磁気学的検査
uploaded,新設,,A61B 3/01 900,,・・超音波を使用した検査
uploaded,新設,,A61B 3/103,,・・屈折力測定のためのもの，例．レフラクトメータ，検影器［２００６．０１］
uploaded,新設,,A61B 3/107,,・・角膜の形状の決定または曲率の計測のためのもの［２００６．０１］
uploaded,新設,,A61B 3/11,,・・瞳孔間距離または瞳孔径を計測するためのもの［２００６．０１］
uploaded,新設,,A61B 3/113,,・・眼の動きを測定または記録するためのもの［２００６．０１］
uploaded,新設,,A61B 3/117,,・・前房，前房隅角の検査のためのもの，例．ゴニオスコープ［２００６．０１］
uploaded,新設,,A61B 3/12 300,,・・・眼底血流
uploaded,新設,,A61B 3/125,,・・・コンタクトレンズのあるもの［２００６．０１］
uploaded,新設,,A61B 3/13,,・・眼の顕微鏡［２００６．０１］
uploaded,新設,,A61B 3/13 300,,・・・角膜内皮検査
uploaded,新設,,A61B 3/135,,・・・スリットランプ顕微鏡［２００６．０１］
uploaded,新設,,A61B 3/15,,・・・アライメント，間隔調整，または不要反射除去のための手段があるもの［２００６．０１］
uploaded,新設,,A61B 3/16 300,,・・・非接触眼圧計
uploaded,新設,,A61B 3/18,,・複数の眼科検査装置または試験装置の配置［２００６．０１］
uploaded,新設,,A61K 33/241,,・・鉛；その化合物［２０１９．０１］
uploaded,新設,,A61K 33/242,,・・金；その化合物［２０１９．０１］
uploaded,新設,,A61K 33/243,,・・白金；その化合物［２０１９．０１］
uploaded,新設,,A61K 33/244,,・・ランタニド；その化合物（生体内での治療または検査に用いる放射性ランタニドを含有する医薬品製剤Ａ６１Ｋ５１／００）［２０１９．０１］
uploaded,新設,,A61K 33/245,,・・ビスマス；その化合物［２０１９．０１］
uploaded,新設,,A61K 38/095,,・・・オキシトシン；バソプレシン；関連ペプチド［２０１９．０１］
uploaded,新設,,A61L 9/012,,・・特殊な形態であることに特徴があるもの，例．ゲル，エマルジョン［２００６．０１］
uploaded,新設,,A61L 9/013,,・・動物または植物の抽出物，あるいは植物成分を含有するもの［２００６．０１］
uploaded,新設,,A61L 9/014,,・・吸着物質，例．活性炭素，を含有するもの［２００６．０１］
uploaded,新設,,A61L 9/05,,・・・液体と接触することで解放されるもの，例．トイレ用のもの［２００６．０１］
uploaded,新設,,B29C 48/00,,押出成形，すなわち所定の形状を与えるダイまたはノズルを通して成形材料を押し出すもの；そのための装置（押出ブロー成形Ｂ２９Ｃ４９／０４）［２０１９．０１］
uploaded,新設,,B29C 48/02,,・小型押出機，例．手持ち型，玩具または実験室用押出機［２０１９．０１］
uploaded,新設,,B29C 48/025,,・工場内での一般的な配置またはレイアウト［２０１９．０１］
uploaded,新設,,B29C 48/03,,・押出時の押出された材料の形状に特徴のあるもの［２０１９．０１］
uploaded,新設,,B29C 48/04,,・・粒状のもの（造粒Ｂ２９Ｂ９／００）［２０１９．０１］
uploaded,新設,,B29C 48/05,,・・フィラメント状のもの，例．ストランド［２０１９．０１］
uploaded,新設,,B29C 48/06,,・・棒状のもの［２０１９．０１］
uploaded,新設,,B29C 48/07,,・・平面状のもの，例．パネル［２０１９．０１］
uploaded,新設,,B29C 48/08,,・・・可撓性のもの，例．フィルム［２０１９．０１］
uploaded,新設,,B29C 48/09,,・・部分的または完全に閉鎖した空洞を断面に有するもの，例．パイプまたはチャンネル［２０１９．０１］
uploaded,新設,,B29C 48/01,,・・・可撓性のもの，例．ブロー成形したフォイル［２０１９．０１］
uploaded,新設,,B29C 48/11,,・・・２つ以上の部分的または完全に閉鎖した空洞を含むもの，例．ハニカム形状のもの［２０１９．０１］
uploaded,新設,,B29C 48/12,,・・断面に不規則な外周を有するもの，例．窓のプロファイル［２０１９．０１］
uploaded,新設,,B29C 48/13,,・・長手方向に変化する断面を有するもの，例．波形管［２０１９．０１］
