改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A42B 1/0184,,・・・・取外し可能または移動可能，例．回転可能［２０２１．０１］
uploaded,新設,,A42B 1/0185,,・・・・伸縮可能なもの，例．望遠鏡のようなもの［２０２１．０１］
uploaded,新設,,A42B 1/0186,,・・耳またはえり首を保護する手段を持つもの［２０２１．０１］
uploaded,新設,,A42B 1/0186 C,,えり首の保護
uploaded,新設,,A42B 1/0186 D,,・折り返し可能
uploaded,新設,,A42B 1/0186 E,,耳とえり首の保護
uploaded,新設,,A42B 1/0186 F,,・折り返し可能
uploaded,新設,,A42B 1/0186 Z,,その他のもの
uploaded,新設,,A42B 1/0187,,・・・取外し自在のえり首の保護，例．日よけまたは雨よけ［２０２１．０１］
uploaded,新設,,A42B 1/0188,,・・・耳の保護，例．取外し自在の耳覆い［２０２１．０１］
uploaded,新設,,A42B 1/0188 B,,折り返し可能
uploaded,新設,,A42B 1/0188 Z,,その他のもの
uploaded,新設,,A42B 1/0189,,・・裏地［２０２１．０１］
uploaded,新設,,A42B 1/019,,・材料に特徴のあるもの［２０２１．０１］
uploaded,新設,,A42B 1/019 B,,シート体
uploaded,新設,,A42B 1/019 C,,・毛布地
uploaded,新設,,A42B 1/019 D,,・発泡体
uploaded,新設,,A42B 1/019 F,,・ニット地
uploaded,新設,,A42B 1/019 G,,・網目材料
uploaded,新設,,A42B 1/019 J,,繊維体
uploaded,新設,,A42B 1/019 K,,・融点が異なるもの
uploaded,新設,,A42B 1/019 L,,・活性炭を有するもの
uploaded,新設,,A42B 1/019 M,,層の組合せ
uploaded,新設,,A42B 1/019 N,,・メッシュ層を含むもの
uploaded,新設,,A42B 1/019 Z,,その他のもの
uploaded,新設,,A42B 1/0192,,・・紙；ボール紙［２０２１．０１］
uploaded,新設,,A42B 1/0195,,・・抗菌性または抗細菌性［２０２１．０１］
uploaded,新設,,A42B 1/041,,・・ひさしが無く柔らかい頭を覆うもの，例．ターバン，ベレー帽（Ａ４２Ｂ１／０４５，Ａ４２Ｂ１／０４６が優先）［２０２１．０１］
uploaded,新設,,A42B 1/045,,・・顎の下で固定するもの，例．ボンネット（婦人帽Ａ４２Ｂ１／１６）［２０２１．０１］
uploaded,新設,,A42B 1/046,,・・バラクラバ帽［２０２１．０１］
uploaded,新設,,A42B 1/048,,・・取り外し可能なフード［２０２１．０１］
uploaded,新設,,A42B 1/049,,・・ナイトキャップ（ヘアーネットまたは髪保護キャップＡ４５Ｄ８／４０）［２０２１．０１］
uploaded,新設,,A42B 1/201,,・折り重ねまたは折りたたみ［２０２１．０１］
uploaded,新設,,A42B 1/201 A,,折りたたみ自在
uploaded,新設,,A42B 1/201 B,,・空気入り
uploaded,新設,,A42B 1/201 C,,・・つば部
uploaded,新設,,A42B 1/201 D,,・スリットを有するもの
uploaded,新設,,A42B 1/201 E,,・弾発部材を有するもの
uploaded,新設,,A42B 1/201 F,,・セクターの組み合わせ
uploaded,新設,,A42B 1/201 G,,・・摺動体
uploaded,新設,,A42B 1/201 H,,・自体用収納部を有するもの
uploaded,新設,,A42B 1/201 Z,,その他のもの
uploaded,新設,,A42B 1/203,,・膨脹可能なもの［２０２１．０１］
uploaded,新設,,A42B 1/205,,・分離可能な部分からなるもの［２０２１．０１］
uploaded,新設,,A42B 1/205 K,,つば部とクラウン部
uploaded,新設,,A42B 1/205 Z,,その他のもの
uploaded,新設,,A42B 1/206,,・変形可能，転用可能または両面使用可能（頭当て以外に用いるためのものＡ４２Ｂ１／００６）［２０２１．０１］
uploaded,新設,,A42B 1/208,,・１枚の平らなシートから作られたハット［２０２１．０１］
uploaded,新設,,A42B 1/241,,・・そのためのポケット；ポケット付きの頭を覆うもの［２０２１．０１］
uploaded,新設,,A42B 1/242,,・・検知，信号または照明装置を取付けるための手段［２０２１．０１］
uploaded,新設,,A42B 1/244,,・・・ランプを取付けるための手段［２０２１．０１］
uploaded,新設,,A42B 1/244 B,,照明灯
uploaded,新設,,A42B 1/244 C,,信号灯
uploaded,新設,,A42B 1/244 D,,点滅灯
uploaded,新設,,A42B 1/244 Z,,その他のもの
uploaded,新設,,A42B 1/245,,・・音響または通信システムを取付けるための手段［２０２１．０１］
uploaded,新設,,A42B 1/245 E,,無線装置
uploaded,新設,,A42B 1/245 F,,・送受信
uploaded,新設,,A42B 1/245 G,,・・アンテナ
uploaded,新設,,A42B 1/245 Z,,その他のもの
uploaded,新設,,A42B 1/247,,・・眼鏡を取付けるための手段（頭当てによる保持具　Ｇ０２Ｃ３／０２）［２０２１．０１］
uploaded,新設,,A42B 1/248,,・・記章，ロゴ，紋章または類似のもの［２０２１．０１］
uploaded,新設,,A61B 5/0507,,・・マイクロ波またはテラヘルツ波を用いるもの［２０２１．０１］
uploaded,新設,,A61B 5/0507 100,,・・・イメージング，例．トモグラフィまたはマンモグラフィ
uploaded,新設,,A61B 5/0515,,・・磁気粒子イメージング［２０２１．０１］
uploaded,新設,,A61B 5/0522,,・・磁気誘導トモグラフィ［２０２１．０１］
uploaded,新設,,A61B 5/053,,・・身体の一部分の電気インピーダンスまたはコンダクタンスを測定するもの［２０２１．０１］
uploaded,新設,,A61B 5/0531,,・・・皮膚インピーダンスを測定するもの［２０２１．０１］
uploaded,新設,,A61B 5/0532,,・・・・鍼灸に特に適合したもの［２０２１．０１］
uploaded,新設,,A61B 5/0533,,・・・・ガルヴァニック皮膚反応を測定するもの［２０２１．０１］
uploaded,新設,,A61B 5/0534,,・・・歯のバイタリティテストのためのもの［２０２１．０１］
uploaded,新設,,A61B 5/0535,,・・・インビーダンスプレチスモグラフィ（血流量を測定するためのものＡ６１Ｂ５／０２９５）［２０２１．０１］
uploaded,新設,,A61B 5/0536,,・・・インピーダンスイメージング，例．トモグラフィによるもの［２０２１．０１］
uploaded,新設,,A61B 5/0537,,・・・インピーダンスにより体組成を測定するもの，例．組織の水和または脂肪含有量［２０２１．０１］
uploaded,新設,,A61B 5/0537 100,,・・・・脂肪，筋肉または骨
uploaded,新設,,A61B 5/0537 110,,・・・・・電極に特徴のあるもの
uploaded,新設,,A61B 5/0537 200,,・・・・水分
uploaded,新設,,A61B 5/0537 210,,・・・・・浮腫を評価するもの
uploaded,新設,,A61B 5/0537 220,,・・・・・脱水状態の検出，例．熱中症
uploaded,新設,,A61B 5/0538,,・・・侵襲的，例．カテーテルを用いるもの［２０２１．０１］
uploaded,新設,,A61B 5/24,,・身体またはその部分の生体電気信号または生体磁気信号の検出，測定または記録［２０２１．０１］
uploaded,新設,,A61B 5/242,,・・生体磁場の検出，例．生体電流により生成された磁場［２０２１．０１］
uploaded,新設,,A61B 5/243,,・・・心磁計［ＭＣＧ］の信号に特に適合したもの［２０２１．０１］
uploaded,新設,,A61B 5/245,,・・・脳磁計［ＭＥＧ］の信号に特に適合したもの［２０２１．０１］
uploaded,新設,,A61B 5/246,,・・・・誘発反応を用いるもの［２０２１．０１］
uploaded,新設,,A61B 5/248,,・・・神経磁界計測［ＭＮＧ］の信号に特に適合したもの，例．脊磁計［ＭＳＧ］の信号［２０２１．０１］
uploaded,新設,,A61B 5/25,,・・そのための生体電気用電極［２０２１．０１］
uploaded,新設,,A61B 5/251,,・・・電極と身体との接触を維持するための手段［２０２１．０１］
uploaded,新設,,A61B 5/252,,・・・・吸着によるもの［２０２１．０１］
uploaded,新設,,A61B 5/254,,・・・・クリップによるもの［２０２１．０１］
uploaded,新設,,A61B 5/256,,・・・・ウェアラブル電極，例．ストラップまたはバンドを備えたもの［２０２１．０１］
uploaded,新設,,A61B 5/256 100,,・・・・・頭部に装着するもの
uploaded,新設,,A61B 5/256 110,,・・・・・・ヘッドセット，例．ヘッドギア，ヘルメット，ヘッドバンドまたはヘッドホン型
uploaded,新設,,A61B 5/256 120,,・・・・・・アイウエア，例．眼鏡型，ＨＭＤまたはコンタクトレンズ型
uploaded,新設,,A61B 5/256 130,,・・・・・・耳介または外耳道内に装着するもの，例．イヤホン型（ヘッドホン型Ａ６１Ｂ５／２５６，１１０；眼鏡型Ａ６１Ｂ５／２５６，１２０）
uploaded,新設,,A61B 5/256 200,,・・・・・胴体，首または四肢に装着するもの，例．ペンダント型
uploaded,新設,,A61B 5/256 210,,・・・・・・胴体着衣型，例．上着，下着，肌着，帯，襷またはベルト
uploaded,新設,,A61B 5/256 220,,・・・・・・腕部または手部装着型，例．腕時計型，リストバンド，アームバンド，手袋型または指輪型
uploaded,新設,,A61B 5/256 230,,・・・・・・脚部または足部装着型，例．ズボン型，スパッツ型，靴下型または靴型
uploaded,新設,,A61B 5/257,,・・・・粘着手段を用いるもの，例．粘着パッドまたは粘着テープ［２０２１．０１］
uploaded,新設,,A61B 5/259,,・・・・・導電性粘着手段を用いるもの，例．ゲル［２０２１．０１］
uploaded,新設,,A61B 5/26,,・・・被験者の動作によって身体と電極との接触を維持するもの，例．電極に身体を載置することによるものまたは電極を把持することによるもの［２０２１．０１］
uploaded,新設,,A61B 5/26 100,,・・・・電極に身体を載置することによるもの，例．シートの座面に配設された電極
uploaded,新設,,A61B 5/26 200,,・・・・電極を把持することによるもの
uploaded,新設,,A61B 5/262,,・・・針電極［２０２１．０１］
uploaded,新設,,A61B 5/263,,・・・電極の材料に特徴のあるもの［２０２１．０１］
uploaded,新設,,A61B 5/265,,・・・・銀または塩化銀を含むもの［２０２１．０１］
uploaded,新設,,A61B 5/266,,・・・・電解質，導電性ゲルまたは導電性ペーストを含むもの［２０２１．０１］
uploaded,新設,,A61B 5/268,,・・・・導電性高分子を含むもの，例．ＰＥＤＯＴ：ＰＳＳポリマー［２０２１．０１］
uploaded,新設,,A61B 5/27,,・・・・導電性布または導電性織物［２０２１．０１］
uploaded,新設,,A61B 5/271,,・・・コード，ケーブルまたはリード線を有する電極装置，例．単一のリード線または患者コードアセンブリ［２０２１．０１］
uploaded,新設,,A61B 5/273,,・・・・コード，ケーブルまたはリード線の電極への接続［２０２１．０１］
uploaded,新設,,A61B 5/274,,・・・・・スナップファスナーまたはボタンファスナーを用いるもの［２０２１．０１］
uploaded,新設,,A61B 5/276,,・・・電極不良に対する保護［２０２１．０１］
uploaded,新設,,A61B 5/276 100,,・・・・性能試験，例．電極の接触抵抗の測定
uploaded,新設,,A61B 5/276 200,,・・・・性能維持，例．防水
uploaded,新設,,A61B 5/276 300,,・・・・信号伝送の工夫，例．インピーダンス変換
uploaded,新設,,A61B 5/277,,・・・容量性電極［２０２１．０１］
uploaded,新設,,A61B 5/279,,・・・特定の用途に特に適合したもの［２０２１．０１］
uploaded,新設,,A61B 5/28,,・・・・心電図検査［ＥＣＧ］のためのもの［２０２１．０１］
uploaded,新設,,A61B 5/282,,・・・・・複数電極のためのホルダー（身体内に導入するためのものＡ６１Ｂ５／２８７）［２０２１．０１］
uploaded,新設,,A61B 5/283,,・・・・・侵襲的［２０２１．０１］
uploaded,新設,,A61B 5/285,,・・・・・・気管内，食道または胃のプローブ［２０２１．０１］
uploaded,新設,,A61B 5/287,,・・・・・・複数電極のためのホルダー，例．心臓電気生理学的検査［ＥＰＳ］のための電極カテーテル［２０２１．０１］
uploaded,新設,,A61B 5/287 100,,・・・・・・・先端部を偏向操作可能なもの
uploaded,新設,,A61B 5/287 200,,・・・・・・・拡径可能な複数本のスパインまたはスプラインを有するもの，例．バスケット型
uploaded,新設,,A61B 5/287 300,,・・・・・・・バルーンを備えるもの
uploaded,新設,,A61B 5/288,,・・・・・・胎児心電図検査のためのもの，例．頭皮電極［２０２１．０１］
uploaded,新設,,A61B 5/29,,・・・・・・永久的または長期的な移植のためのもの［２０２１．０１］
