改正時期,改正種別,改正前FI,改正後FI,改正前タイトル,改正後タイトル
uploaded,新設,,A01K 91/03,,・連結具（おもりを釣糸に固定するためまたはおもりを釣糸から取り除くための用具Ａ０１Ｋ９５／０２）［５］
uploaded,新設,,A01K 91/03 K,,釣糸上の止め具（浮子止めはＡ０１Ｋ９３／００，連結具はＡ０１Ｋ９１／０４）
uploaded,新設,,A01K 91/03 Z,,その他のもの
uploaded,新設,,A01K 91/04 E,,釣糸と疑似餌の連結具
uploaded,新設,,A01K 91/047,,・・釣糸を釣糸に結合するためのもの［５］
uploaded,新設,,A01K 91/047 B,,釣糸の連結具
uploaded,新設,,A01K 91/047 C,,・ヨリモドシ（漁携用はＡ０１Ｋ７５／００）
uploaded,新設,,A01K 91/047 Z,,その他のもの
uploaded,新設,,A01K 91/053,,・・テンビン，すなわちハリスを張り出す連結具，例．それらのもつれを避けるためのもの［５］
uploaded,新設,,A01K 91/08,,・・トローリング用具［５］
uploaded,新設,,A01K 91/01,,・・自動あわせ装置［５］
uploaded,新設,,A01K 91/12,,・フライライン［５］
uploaded,新設,,A01K 91/14,,・ハリス［５］
uploaded,新設,,A01K 91/16,,・・フライフィッシング用［５］
uploaded,新設,,A01K 91/18,,・流し釣の釣糸，延縄；そのための付属用具，例．餌をつける用具，持ち上げるものまたは設置されているリーラー［５］
uploaded,新設,,A01K 91/18 A,,延縄；延縄エサ付け装置
uploaded,新設,,A01K 91/18 B,,・延縄の枝縄，例．枝縄巻き上げ装置など
uploaded,新設,,A01K 91/18 K,,・延縄の連結部，連結具，例．連結及び切断装置など
uploaded,新設,,A01K 91/18 L,,・延縄の収納具または整理具，例．ラインワインダ，枝縄または幹縄のからみ防止
uploaded,新設,,A01K 91/18 Z,,その他
uploaded,新設,,A01K 91/02,,・釣糸の長さまたは深さの測定用具［５］
uploaded,新設,,A43D 86/00,,底またはかかとを甲皮に組み立てるための機械で，グループＡ４３Ｄ２５／００～Ａ４３Ｄ８３／００に分類されないもの，例．溶接による［６］
uploaded,新設,,A45C 5/02 P,,材料
uploaded,新設,,A45C 5/02 Q,,・合成樹脂
uploaded,新設,,A45C 5/02 R,,・皮革
uploaded,新設,,A45C 5/02 S,,・金属
uploaded,新設,,A45C 5/02 T,,・布
uploaded,新設,,A45C 5/02 U,,・草，木又は竹
uploaded,新設,,A45C 5/02 V,,・紙
uploaded,新設,,A45C 5/02 W,,積層のもの
uploaded,新設,,A45C 5/03,,・スーツケース［８］
uploaded,新設,,A45C 5/04 100,,・・旅行用バスケット
uploaded,新設,,A45C 5/14 G,,動けなくする手段を有するもの，例．車輪ロック，ブレーキまたは離地を有するもの
uploaded,新設,,A45C 5/14 H,,階段昇降または段差乗り越えのための手段を有するもの
uploaded,新設,,A45C 13/02 E,,膨張式のもの
uploaded,新設,,A45C 13/02 F,,鍵を保持するための手段
uploaded,新設,,A45C 13/02 G,,携帯式コンピュータを保持するためのものまたはそのための付属品
uploaded,新設,,A45C 13/02 H,,挿入物
uploaded,新設,,A45C 13/02 J,,真空の生成により物品を保持または圧縮するためのもの
uploaded,新設,,A45C 13/03,,・・衣服の留め具［８］
uploaded,新設,,A61B 5/02 310 V,,脈波伝播速度を測定するもの
uploaded,新設,,A61B 5/02 500,,・・心臓血管の状態と人体状態の種々の型の両方を同時に評価するもの，例．心臓と呼吸状態
uploaded,新設,,A61B 5/02 600,,・・心臓または血管内の圧力を測定するもの（Ａ６１Ｂ５／０２　５００が優先）
uploaded,新設,,A61B 5/02 610,,・・・人体に挿入された手段によるもの
uploaded,新設,,A61B 5/02 610 A,,血圧計システム
uploaded,新設,,A61B 5/02 610 B,,・血圧計用カテーテル（カテーテルＡ６１Ｍ２５／００）
uploaded,新設,,A61B 5/02 610 C,,・・圧→電変換センサを有するもの
uploaded,新設,,A61B 5/02 610 D,,・・圧→光変換センサを有するもの
uploaded,新設,,A61B 5/02 610 E,,・カテーテルと測定装置の間を接続するもの
uploaded,新設,,A61B 5/02 610 F,,・測定装置（表示，記録Ａ６１Ｂ５／０２　６３５）
uploaded,新設,,A61B 5/02 610 Z,,その他のもの
uploaded,新設,,A61B 5/02 630,,・・・血管をふさぐための圧力を適用するもの，例．皮膚に対するもの；眼底血圧計
uploaded,新設,,A61B 5/02 630 A,,血圧計システム
uploaded,新設,,A61B 5/02 630 B,,・測定部位に特徴を有するもの
uploaded,新設,,A61B 5/02 630 C,,・・指用血圧計
uploaded,新設,,A61B 5/02 630 E,,・血圧計本体（カフと一体のものＡ６１Ｂ５／０２　６３３Ｆ）
uploaded,新設,,A61B 5/02 630 F,,・・電源，電源スイッチに関するもの
uploaded,新設,,A61B 5/02 630 G,,・・収納装置
uploaded,新設,,A61B 5/02 630 H,,・・表示，記録装置（Ａ６１Ｂ５／０２　６３５が優先）
uploaded,新設,,A61B 5/02 630 J,,・血圧計本体とカフ装置等との間を接続するもの
uploaded,新設,,A61B 5/02 630 K,,・・流体を接続するもの
uploaded,新設,,A61B 5/02 630 Z,,その他のもの
