改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2020.05,U,A01G 9/00,A01G 9/00,"Cultivation in receptacles, forcing-frames or greenhouses (of mushrooms A01G18/00; soilless cultivation A01G31/00); Edging for beds, lawn or the like","Cultivation in receptacles, forcing-frames or greenhouses (of mushrooms A01G18/00; soilless cultivation A01G31/00); Edging for beds, lawn or the like",Compilation of Changes
2020.05,,A01G 9/02,A01G 9/02,"Forcing-frames; Lights {, i.e. glass panels covering the forcing-frames}","Forcing-frames; Lights {, i.e. glass panels covering the forcing-frames}",Compilation of Changes
2020.05,U,A01H 6/00,A01H 6/00,"Angiosperms, i.e. flowering plants, characterised by their botanic taxonomy","Angiosperms, i.e. flowering plants, characterised by their botanic taxonomy",Compilation of Changes
2020.05,,A01H 6/05,A01H 6/05,"LaminaceaeLamiaceae, e.g. lavender, mint or chia","LaminaceaeLamiaceae, e.g. lavender, mint or chia",Compilation of Changes
2020.05,M,A01N 65/00,A01N 65/00,"Biocides, pest repellants or attractants, or plant growth regulators containing material from algae, lichens, bryophyta, multi-cellular fungi or plants, or extracts thereof (containing compounds of determined constitution A01N27/00 - A01N59/00)","Biocides, pest repellants or attractants, or plant growth regulators containing material from algae, lichens, bryophyta, multi-cellular fungi or plants, or extracts thereof (containing compounds of determined constitution A01N27/00 - A01N59/00)",Compilation of Changes
2020.05,M,A23L 5/00,A23L 5/00,"Preparation or treatment of foods or foodstuffs, in general; Food or foodstuffs obtained thereby; Materials therefor (preservation thereof in general A23L3/00)","Preparation or treatment of foods or foodstuffs, in general; Food or foodstuffs obtained thereby; Materials therefor (preservation thereof in general A23L3/00)",Compilation of Changes
2020.05,M,A23L 7/00,A23L 7/00,Cereal-derived products; Malt products (malt products of pulses A23L11/20); Preparation or treatment thereof (preparation of malt for brewing C12C),Cereal-derived products; Malt products (malt products of pulses A23L11/20); Preparation or treatment thereof (preparation of malt for brewing C12C),Compilation of Changes
2020.05,M,A23L 9/00,A23L 9/00,Puddings; Cream substitutes; Preparation or treatment thereof,Puddings; Cream substitutes; Preparation or treatment thereof,Compilation of Changes
2020.05,M,A23L 21/00,A23L 21/00,"Marmalades, jams, jellies or the like; Products from apiculture; Preparation or treatment thereof","Marmalades, jams, jellies or the like; Products from apiculture; Preparation or treatment thereof",Compilation of Changes
2020.05,U,A23L 29/00,A23L 29/00,"Foods or foodstuffs containing additives (containing additives for modifying the nutritive qualities A23L33/10; containing substantially indigestive additives, e.g. dietary fibres, A23L33/21); Preparation or treatment thereof","Foods or foodstuffs containing additives (containing additives for modifying the nutritive qualities A23L33/10; containing substantially indigestive additives, e.g. dietary fibres, A23L33/21); Preparation or treatment thereof",Compilation of Changes
2020.05,M,A23L 29/03,A23L 29/03,"containing carbohydrate syrups; containing sugars; containing sugar alcohols, e.g. xylitol; containing starch hydrolysates, e.g. dextrin (A23L21/20 takes precedence; artificial sweetening agents A23L27/30)","containing carbohydrate syrups; containing sugars; containing sugar alcohols, e.g. xylitol; containing starch hydrolysates, e.g. dextrin (A23L21/20 takes precedence; artificial sweetening agents A23L27/30)",Compilation of Changes
2020.05,M,A23L 31/00,A23L 31/00,Edible extracts or preparations of fungi; Preparation or treatment thereof,Edible extracts or preparations of fungi; Preparation or treatment thereof,Compilation of Changes
2020.05,M,A23L 31/01,A23L 31/01,Yeasts or derivatives thereof,Yeasts or derivatives thereof,Compilation of Changes
