改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2023.01,U,H03J 5/02,H03J 5/02,with variable tuning element having a number of predetermined settings and adjustable to a desired one of these settings,with variable tuning element having a number of predetermined settings and adjustable to a desired one of these settings,Compilation of Changes
2023.01,U,H03J 5/04,H03J 5/04,operated by hand,operated by hand,Compilation of Changes
2023.01,M,H03J 5/01,H03J 5/01,"Settings determined by a number of positioning means mounted on a common support, {e.g. turret tuner,} which is adjustable to desired positions, a different positioning means being in operation in each position","Settings determined by a number of positioning means mounted on a common support, {e.g. turret tuner,} which is adjustable to desired positions, a different positioning means being in operation in each position",Compilation of Changes
2023.01,M,H03J 5/24,H03J 5/24,"with a number of separate pretuned tuning circuits or separate tuning elements selectively brought into circuit, e.g. for waveband selection, or for television channel selection (switches in general H01H)","with a number of separate pretuned tuning circuits or separate tuning elements selectively brought into circuit, e.g. for waveband selection, or for television channel selection (switches in general H01H)",Compilation of Changes
2023.01,U,H03J 7/00,H03J 7/00,Automatic frequency control; Automatic scanning over a band of frequencies,Automatic frequency control; Automatic scanning over a band of frequencies,Compilation of Changes
2023.01,M,H03J 7/02,H03J 7/02,Automatic frequency control (H03J7/18 takes precedence; automatic tuning control for television receivers H04N5/50),Automatic frequency control (H03J7/18 takes precedence; automatic tuning control for television receivers H04N5/50),Compilation of Changes
2023.01,U,H04H 60/00,H04H 60/00,Arrangements for broadcast applications with a direct linking to broadcast information or broadcast space-time; Broadcast-related systems,Arrangements for broadcast applications with a direct linking to broadcast information or broadcast space-time; Broadcast-related systems,Compilation of Changes
2023.01,U,H04H 60/56,H04H 60/56,"Arrangements characterised by components specially adapted for monitoring, identification or recognition covered by groups H04H60/29-H04H60/54","Arrangements characterised by components specially adapted for monitoring, identification or recognition covered by groups H04H60/29-H04H60/54",Compilation of Changes
2023.01,,H04H 60/59,H04H 60/59,"of video {(recognising characters or patterns in general G06K9/00recognising characters or patterns in general G06F18/00, G06V20/00)}","of video {(recognising characters or patterns in general G06K9/00recognising characters or patterns in general G06F18/00, G06V20/00)}",Compilation of Changes
2023.01,U,H04J 11/00,H04J 11/00,"Orthogonal multiplex systems, {e.g. using WALSH codes}(H04J13/00 takes precedence)","Orthogonal multiplex systems, {e.g. using WALSH codes}(H04J13/00 takes precedence)",Compilation of Changes
2023.01,,H04J 11/0023,H04J 11/0023,"{Interference mitigation or co-ordination (traffic scheduling H04W72/082, H04W72/1226; power management H04W52/00; direct sequence spread spectrum [DSSS] systems H04B1/7097; frequency hopping H04B1/713; allocation criteria for ingress interference avoidance H04L5/0062; frequency allocation criteria for requirements on out-of-channel emissions H04L5/0066; peak power aspects in multicarrier modulation H04L27/2614; arrangements for removing intersymbol interference or baseband equalisers H04L25/03006; direct sequence spread spectrum [DSSS] systems H04B1/7097; frequency hopping H04B1/713; peak power aspects in multicarrier modulation H04L27/2614; power management H04W52/00; traffic scheduling H04W72/54, H04W72/541)}","{Interference mitigation or co-ordination (traffic scheduling H04W72/082, H04W72/1226; power management H04W52/00; direct sequence spread spectrum [DSSS] systems H04B1/7097; frequency hopping H04B1/713; allocation criteria for ingress interference avoidance H04L5/0062; frequency allocation criteria for requirements on out-of-channel emissions H04L5/0066; peak power aspects in multicarrier modulation H04L27/2614; arrangements for removing intersymbol interference or baseband equalisers H04L25/03006; direct sequence spread spectrum [DSSS] systems H04B1/7097; frequency hopping H04B1/713; peak power aspects in multicarrier modulation H04L27/2614; power management H04W52/00; traffic scheduling H04W72/54, H04W72/541)}",Compilation of Changes
2023.01,U,H04L 1/00,H04L 1/00,Arrangements for detecting or preventing errors in the information received {(correcting synchronisation H04L7/00)},Arrangements for detecting or preventing errors in the information received {(correcting synchronisation H04L7/00)},Compilation of Changes
2023.01,U,H04L 1/12,H04L 1/12,by using return channel,by using return channel,Compilation of Changes
2023.01,U,H04L 1/16,H04L 1/16,"in which the return channel carries supervisory signals, e.g. repetition request signals","in which the return channel carries supervisory signals, e.g. repetition request signals",Compilation of Changes
2023.01,M,H04L 1/1607,H04L 1/1607,{Details of the supervisory signal},{Details of the supervisory signal},Compilation of Changes
2023.01,M,H04L 1/18,H04L 1/18,"Automatic repetition systems, e.g. van Duuren system {Van Duuren systems; ARQ protocols}","Automatic repetition systems, e.g. van Duuren system {Van Duuren systems; ARQ protocols}",Compilation of Changes
2023.01,M,H04L 1/1803,H04L 1/1803,{Stop-and-wait protocols},{Stop-and-wait protocols},Compilation of Changes
2023.01,M,H04L 1/1806,H04L 1/1806,{Go-back-N protocols},{Go-back-N protocols},Compilation of Changes
2023.01,M,H04L 1/1809,H04L 1/1809,{Selective-repeat protocols},{Selective-repeat protocols},Compilation of Changes
2023.01,M,H04L 1/1812,H04L 1/1812,{Hybrid protocols}; Hybrid automatic repeat request [HARQ],{Hybrid protocols}; Hybrid automatic repeat request [HARQ],Compilation of Changes
2023.01,M,H04L 1/1822,H04L 1/1822,{involving configuration of ARQautomatic repeat request [ARQ] with parallel processes},{involving configuration of ARQautomatic repeat request [ARQ] with parallel processes},Compilation of Changes
2023.01,M,H04L 1/1825,H04L 1/1825,{Adaptation of specific ARQ protocol parameters according to transmission conditions},{Adaptation of specific ARQ protocol parameters according to transmission conditions},Compilation of Changes
2023.01,M,H04L 1/1829,H04L 1/1829,{Arrangements specific toArrangements specially adapted for the receiver end},{Arrangements specific toArrangements specially adapted for the receiver end},Compilation of Changes
2023.01,M,H04L 1/1867,H04L 1/1867,{Arrangements specific toArrangements specially adapted for the transmitter end},{Arrangements specific toArrangements specially adapted for the transmitter end},Compilation of Changes
2023.01,U,H04L 5/00,H04L 5/00,Arrangements affording multiple use of the transmission path,Arrangements affording multiple use of the transmission path,Compilation of Changes
2023.01,U,H04L 5/003,H04L 5/003,{Arrangements for allocating sub-channels of the transmission path},{Arrangements for allocating sub-channels of the transmission path},Compilation of Changes
2023.01,U,H04L 5/0058,H04L 5/0058,{Allocation criteria},{Allocation criteria},Compilation of Changes
2023.01,,H04L 5/0069,H04L 5/0069,"{Allocation based on distance or geographical location (allocation based on terminal or device properties in general, H04W72/048H04W72/51)}","{Allocation based on distance or geographical location (allocation based on terminal or device properties in general, H04W72/048H04W72/51)}",Compilation of Changes
2023.01,U,H04N 1/00,H04N 1/00,"Scanning, transmission or reproduction of documents or the like, e.g. facsimile transmission; Details thereof","Scanning, transmission or reproduction of documents or the like, e.g. facsimile transmission; Details thereof",Compilation of Changes
2023.01,U,H04N 1/00127,H04N 1/00127,"{Connection or combination of a still picture apparatus with another apparatus, e.g. for storage, processing or transmission of still picture signals or of information associated with a still picture}","{Connection or combination of a still picture apparatus with another apparatus, e.g. for storage, processing or transmission of still picture signals or of information associated with a still picture}",Compilation of Changes
2023.01,U,H04N 1/00326,H04N 1/00326,"{with a data reading, recognizing or recording apparatus, e.g. with a bar-code apparatus (arrangements for the associated working of recording or reproducing apparatus with related apparatus G11B31/00)}","{with a data reading, recognizing or recording apparatus, e.g. with a bar-code apparatus (arrangements for the associated working of recording or reproducing apparatus with related apparatus G11B31/00)}",Compilation of Changes
2023.01,U,H04N 1/00328,H04N 1/00328,{with an apparatus processing optically-read information},{with an apparatus processing optically-read information},Compilation of Changes
2023.01,,H04N 1/00331,H04N 1/00331,{with an apparatus performing optical character recognition (arrangements for recognising printed or written characters G06K9/00character recognition G06V30/10)},{with an apparatus performing optical character recognition (arrangements for recognising printed or written characters G06K9/00character recognition G06V30/10)},Compilation of Changes
