改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2024.05,M,A61H 1/00,A61H 1/00,"Apparatus for passive exercising (A61H5/00 takes precedence); Vibrating apparatus {(driving means for vibrating A61H23/00)};  Chiropractic devices, e.g. body impacting devices, external devices for briefly extending or aligning unbroken bones","Apparatus for passive exercising (A61H5/00 takes precedence); Vibrating apparatus {(driving means for vibrating A61H23/00)};  Chiropractic devices, e.g. body impacting devices, external devices for briefly extending or aligning unbroken bones",Compilation of Changes
2024.05,M,A61H 1/003,A61H 1/003,{Rocking or oscillating around a horizontal axis transversaltransverse to the body},{Rocking or oscillating around a horizontal axis transversaltransverse to the body},Compilation of Changes
2024.05,M,A61H 1/005,A61H 1/005,"{Moveable platformplatforms, e.g. vibrating or oscillating platformplatforms for standing, sitting, laying, or leaning}","{Moveable platformplatforms, e.g. vibrating or oscillating platformplatforms for standing, sitting, laying, or leaning}",Compilation of Changes
2024.05,U,A61H 1/02,A61H 1/02,Stretching or bending {or torsioning} apparatus for exercising,Stretching or bending {or torsioning} apparatus for exercising,Compilation of Changes
2024.05,M,A61H 1/0218,A61H 1/0218,{Drawing-out devices (suspension devices for supporting the patient in upright walking or standing position A61H3/008; orthopedic devices for non-surgical treatment A61F5/01; stretching fractured limbs A61F5/04)},{Drawing-out devices (suspension devices for supporting the patient in upright walking or standing position A61H3/008; orthopedic devices for non-surgical treatment A61F5/01; stretching fractured limbs A61F5/04)},Compilation of Changes
2024.05,M,A61H 1/0229,A61H 1/0229,"{by reducing gravity forces normally applied to the body, e.g. by lifting or hanging the body or part of it (suspension devices for supporting the patient in upright walking or standing position A61H3/008)}","{by reducing gravity forces normally applied to the body, e.g. by lifting or hanging the body or part of it (suspension devices for supporting the patient in upright walking or standing position A61H3/008)}",Compilation of Changes
2024.05,U,A61H 1/0237,A61H 1/0237,{for the lower limbs},{for the lower limbs},Compilation of Changes
2024.05,M,A61H 1/0255,A61H 1/0255,"{Both knee and hip of a patient, e.g. in supine or sitting position, the feet being moved together in a plane substantially parallel to the body-symmetrical- plane (A61H1/0214 takes precedence)}","{Both knee and hip of a patient, e.g. in supine or sitting position, the feet being moved together in a plane substantially parallel to the body-symmetrical- plane (A61H1/0214 takes precedence)}",Compilation of Changes
2024.05,M,A61H 3/00,A61H 3/00,"Appliances for aiding patients or disabled persons to walk about (apparatus for helping babies to walk A47D13/04 {; {orthopaedic devices for correcting deformities of, or supporting, limbs A61F5/0102}; exercising apparatus for the feet or toes A63B23/10; {stairways or ramps E04F11/00}; applying electrical currents by contact electrodes for stimulating motor muscles, e.g. walking assistance A61N1/36003})","Appliances for aiding patients or disabled persons to walk about (apparatus for helping babies to walk A47D13/04 {; {orthopaedic devices for correcting deformities of, or supporting, limbs A61F5/0102}; exercising apparatus for the feet or toes A63B23/10; {stairways or ramps E04F11/00}; applying electrical currents by contact electrodes for stimulating motor muscles, e.g. walking assistance A61N1/36003})",Compilation of Changes
2024.05,M,A61H 3/008,A61H 3/008,"{Usingusing suspension devices for supporting the body in an upright walking or standing position, e.g. harnesses (drawing-out devices A61H1/0218)}","{Usingusing suspension devices for supporting the body in an upright walking or standing position, e.g. harnesses (drawing-out devices A61H1/0218)}",Compilation of Changes
2024.05,U,A61H 3/02,A61H 3/02,Crutches,Crutches,Compilation of Changes
2024.05,U,A61H 3/0244,A61H 3/0244,{Arrangements for storing or keeping upright when not in use},{Arrangements for storing or keeping upright when not in use},Compilation of Changes
2024.05,M,A61H 2003/0272,A61H 2003/0272,"{on a single crutch allowing it to remain upright when not in use, e.g. retractable tripods (A61H2003/0205 takes precedence)}","{on a single crutch allowing it to remain upright when not in use, e.g. retractable tripods (A61H2003/0205 takes precedence)}",Compilation of Changes
2024.05,M,A61H 3/0288,A61H 3/0288,{Ferrules or tips therefor (for walking sticks or umbrellas A45B9/04)},{Ferrules or tips therefor (for walking sticks or umbrellas A45B9/04)},Compilation of Changes
2024.05,M,A61H 3/04,A61H 3/04,Wheeled walking aids for disabled persons {patients or disabled persons(A61H3/06 takes precedence)},Wheeled walking aids for disabled persons {patients or disabled persons(A61H3/06 takes precedence)},Compilation of Changes
2024.05,U,A61K 36/00,A61K 36/00,"Medicinal preparations of undetermined constitution containing material from algae, lichens, fungi or plants, or derivatives thereof, e.g. traditional herbal medicines {(antigens from pollen A61K39/36)}","Medicinal preparations of undetermined constitution containing material from algae, lichens, fungi or plants, or derivatives thereof, e.g. traditional herbal medicines {(antigens from pollen A61K39/36)}",Compilation of Changes
2024.05,U,A61K 36/06,A61K 36/06,"Fungi, e.g. yeasts","Fungi, e.g. yeasts",Compilation of Changes
2024.05,C,A61K 36/07,A61K 36/07,"Basidiomycota, e.g. Cryptococcus","Basidiomycota, e.g. Cryptococcus",Compilation of Changes
2024.05,N,A61K 36/071,A61K 36/071,{Agaricus},{Agaricus},Compilation of Changes
2024.05,U,A61K 36/074,A61K 36/074,Ganoderma,Ganoderma,Compilation of Changes
2024.05,U,A61K 36/076,A61K 36/076,Poria,Poria,Compilation of Changes
2024.05,N,A61K 36/078,A61K 36/078,{Psilocybe},{Psilocybe},Compilation of Changes
2024.05,M,A61K 36/01,A61K 36/01,Bryophyta (mosses),Bryophyta (mosses),Compilation of Changes
2024.05,C,A61K 36/18,A61K 36/18,Magnoliophyta (angiosperms),Magnoliophyta (angiosperms),Compilation of Changes
2024.05,C,A61K 36/185,A61K 36/185,Magnoliopsida (dicotyledons),Magnoliopsida (dicotyledons),Compilation of Changes
2024.05,U,A61K 36/34,A61K 36/34,Campanulaceae (Bellflower family),Campanulaceae (Bellflower family),Compilation of Changes
2024.05,U,A61K 36/346,A61K 36/346,Platycodon,Platycodon,Compilation of Changes
2024.05,N,A61K 36/348,A61K 36/348,{Cannabaceae},{Cannabaceae},Compilation of Changes
2024.05,N,A61K 36/3482,A61K 36/3482,{Cannabis},{Cannabis},Compilation of Changes
2024.05,N,A61K 36/3486,A61K 36/3486,{Humulus},{Humulus},Compilation of Changes
2024.05,U,A61K 36/35,A61K 36/35,Caprifoliaceae (Honeysuckle family),Caprifoliaceae (Honeysuckle family),Compilation of Changes
2024.05,U,A61K 36/57,A61K 36/57,Magnoliaceae (Magnolia family),Magnoliaceae (Magnolia family),Compilation of Changes
2024.05,U,A61K 36/575,A61K 36/575,Magnolia,Magnolia,Compilation of Changes
2024.05,N,A61K 36/577,A61K 36/577,{Malvaceae (Mallow family)},{Malvaceae (Mallow family)},Compilation of Changes
2024.05,N,A61K 36/5775,A61K 36/5775,{Hibiscus},{Hibiscus},Compilation of Changes
2024.05,N,A61K 36/5777,A61K 36/5777,"{Theobroma, e.g. cocao or cocoa}","{Theobroma, e.g. cocao or cocoa}",Compilation of Changes
2024.05,U,A61K 36/58,A61K 36/58,"Meliaceae (Chinaberry or Mahogany family), e.g. Azadirachta (neem)","Meliaceae (Chinaberry or Mahogany family), e.g. Azadirachta (neem)",Compilation of Changes
2024.05,C,A61K 36/74,A61K 36/74,Rubiaceae (Madder family),Rubiaceae (Madder family),Compilation of Changes
2024.05,N,A61K 36/742,A61K 36/742,"{Coffea, e.g. coffee}","{Coffea, e.g. coffee}",Compilation of Changes
2024.05,U,A61K 36/744,A61K 36/744,Gardenia,Gardenia,Compilation of Changes
2024.05,U,A61M 1/00,A61M 1/00,"Suction or pumping devices for medical purposes; Devices for carrying-off, for treatment of, or for carrying-over, body-liquids; Drainage systems (catheters A61M25/00; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; devices for taking samples of blood A61B5/15; filters implantable into blood vessels A61F2/01)","Suction or pumping devices for medical purposes; Devices for carrying-off, for treatment of, or for carrying-over, body-liquids; Drainage systems (catheters A61M25/00; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; devices for taking samples of blood A61B5/15; filters implantable into blood vessels A61F2/01)",Compilation of Changes
2024.05,M,A61M 1/14,A61M 1/14,"Dialysis systems; Artificial kidneys; Blood oxygenators (semi-permeable membranes characterised by the material, manufacturing processes therefor B01D71/00) {; Reciprocating systems for treatment of body fluids, e.g. single needle systems for hemofiltration or pheresis}","Dialysis systems; Artificial kidneys; Blood oxygenators (semi-permeable membranes characterised by the material, manufacturing processes therefor B01D71/00) {; Reciprocating systems for treatment of body fluids, e.g. single needle systems for hemofiltration or pheresis}",Compilation of Changes
2024.05,M,A61M 1/15,A61M 1/15,"{with a cassette forming partially or totally the flow circuit for the treating fluid, e.g. the dialysate fluid circuit or the treating gas circuit}","{with a cassette forming partially or totally the flow circuit for the treating fluid, e.g. the dialysate fluid circuit or the treating gas circuit}",Compilation of Changes
2024.05,U,A61M 1/156,A61M 1/156,"{Constructional details of the cassette, e.g. specific details on material or shape}","{Constructional details of the cassette, e.g. specific details on material or shape}",Compilation of Changes
2024.05,M,A61M 1/1561,A61M 1/1561,"{at least one cassette surface or portion thereof being flexible, e.g. the cassette having a rigid base portion with preformed channels and being covered with a foil}","{at least one cassette surface or portion thereof being flexible, e.g. the cassette having a rigid base portion with preformed channels and being covered with a foil}",Compilation of Changes
2024.05,U,A61M 1/1562,A61M 1/1562,{Details of incorporated reservoirs},{Details of incorporated reservoirs},Compilation of Changes
2024.05,M,A61M 1/15625,A61M 1/15625,{the reservoirs acting as balance chambers},{the reservoirs acting as balance chambers},Compilation of Changes
2024.05,M,A61M 1/159,A61M 1/159,{specially adapted for peritoneal dialysis},{specially adapted for peritoneal dialysis},Compilation of Changes
2024.05,M,A61M 1/16,A61M 1/16,with membranes,with membranes,Compilation of Changes
2024.05,M,A61M 1/1601,A61M 1/1601,{Control or regulation},{Control or regulation},Compilation of Changes
2024.05,M,A61M 1/1603,A61M 1/1603,{Regulation parameters},{Regulation parameters},Compilation of Changes
2024.05,M,A61M 1/1605,A61M 1/1605,{Physical characteristics of the dialysate fluid},{Physical characteristics of the dialysate fluid},Compilation of Changes
2024.05,M,A61M 1/1607,A61M 1/1607,"{before use, i.e. upstream of dialyser}","{before use, i.e. upstream of dialyser}",Compilation of Changes
2024.05,M,A61M 1/1609,A61M 1/1609,"{after use, i.e. downstream of dialyser}","{after use, i.e. downstream of dialyser}",Compilation of Changes
2024.05,M,A61M 1/1611,A61M 1/1611,{Weight of the patient},{Weight of the patient},Compilation of Changes
2024.05,M,A61M 1/1613,A61M 1/1613,{Profiling or modelling of patient or predicted treatment evolution or outcome},{Profiling or modelling of patient or predicted treatment evolution or outcome},Compilation of Changes
2024.05,M,A61M 1/1615,A61M 1/1615,{using measurements made at different flow rates},{using measurements made at different flow rates},Compilation of Changes
2024.05,M,A61M 1/1617,A61M 1/1617,{using measurements made during a temporary variation of a characteristic of the fresh dialysis fluid},{using measurements made during a temporary variation of a characteristic of the fresh dialysis fluid},Compilation of Changes
2024.05,M,A61M 1/1619,A61M 1/1619,"{Sampled collection of used dialysate, i.e. obviating the need for recovery of whole dialysate quantity for post-dialysis analysis}","{Sampled collection of used dialysate, i.e. obviating the need for recovery of whole dialysate quantity for post-dialysis analysis}",Compilation of Changes
2024.05,M,A61M 1/1621,A61M 1/1621,{Constructional aspects thereof (semi-permeable membranes for separation processes characterised by their properties B01D69/00; semi permeable membranes characterised by their material B01D71/00)},{Constructional aspects thereof (semi-permeable membranes for separation processes characterised by their properties B01D69/00; semi permeable membranes characterised by their material B01D71/00)},Compilation of Changes
2024.05,M,A61M 1/1623,A61M 1/1623,{Disposition or location of membranes relative to fluids},{Disposition or location of membranes relative to fluids},Compilation of Changes
2024.05,M,A61M 1/1625,A61M 1/1625,"{Dialyser of the outside perfusion type, i.e. blood flow outside hollow membrane fibres or tubes}","{Dialyser of the outside perfusion type, i.e. blood flow outside hollow membrane fibres or tubes}",Compilation of Changes
2024.05,M,A61M 1/1627,A61M 1/1627,"{Dialyser of the inside perfusion type, i.e. blood flow inside hollow membrane fibres or tubes}","{Dialyser of the inside perfusion type, i.e. blood flow inside hollow membrane fibres or tubes}",Compilation of Changes
2024.05,M,A61M 1/1629,A61M 1/1629,{with integral heat exchanger},{with integral heat exchanger},Compilation of Changes
2024.05,M,A61M 1/1631,A61M 1/1631,"{having non-tubular membranes, e.g. sheets}","{having non-tubular membranes, e.g. sheets}",Compilation of Changes
2024.05,M,A61M 1/1633,A61M 1/1633,{with more than one dialyser unit},{with more than one dialyser unit},Compilation of Changes
