改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2020.02,U,A42B 3/00,A42B 3/00,Helmets; Helmet covers {; Other protective head coverings}({hoods for welders A61F9/06;} hoods as protection against chemical agents or for use at high altitudes A62B17/00; gas helmets A62B18/04; swimming helmets A63B33/00; defence protection helmets F41H1/04),Helmets; Helmet covers {; Other protective head coverings}({hoods for welders A61F9/06;} hoods as protection against chemical agents or for use at high altitudes A62B17/00; gas helmets A62B18/04; swimming helmets A63B33/00; defence protection helmets F41H1/04),Compilation of Changes
2020.02,U,A42B 3/04,A42B 3/04,"Parts, details or accessories of helmets","Parts, details or accessories of helmets",Compilation of Changes
2020.02,U,A42B 3/0406,A42B 3/0406,{Accessories for helmets},{Accessories for helmets},Compilation of Changes
2020.02,,A42B 3/0413,A42B 3/0413,{Anti-theft arrangements (attaching helmets to cycles B62J11/005; supporting arrangements specially adapted for fastening helmets B62J11/24; locks E05)},{Anti-theft arrangements (attaching helmets to cycles B62J11/005; supporting arrangements specially adapted for fastening helmets B62J11/24; locks E05)},Compilation of Changes
2020.02,M,A63B 35/00,A63B 35/00,"Swimming framework {, i.e. apparatus fixed to or held by the swimmer or diver,} with driving mechanisms operated by the swimmer or by a motor (other vessels or like floating structures for pleasure or sport B63B35/71B63B32/00, B63B35/73B63B34/00; divers' sleds or like craft B63C11/46)","Swimming framework {, i.e. apparatus fixed to or held by the swimmer or diver,} with driving mechanisms operated by the swimmer or by a motor (other vessels or like floating structures for pleasure or sport B63B35/71B63B32/00, B63B35/73B63B34/00; divers' sleds or like craft B63C11/46)",Compilation of Changes
2020.02,U,A63B 69/00,A63B 69/00,Training appliances or apparatus for special sports (training of parachutists B64D23/00),Training appliances or apparatus for special sports (training of parachutists B64D23/00),Compilation of Changes
2020.02,M,A63B 69/0093,A63B 69/0093,"{for surfing, i.e. without a sail; for skate or snow boarding}","{for surfing, i.e. without a sail; for skate or snow boarding}",Compilation of Changes
2020.02,U,A63C 5/00,A63C 5/00,"Skis or snowboards (sledges with runners, e.g. ski-bobs, B62B13/00; runners for sledges B62B17/02; runners for carrying wheeled vehicles to facilitate travel on snow or ice B62B19/00)","Skis or snowboards (sledges with runners, e.g. ski-bobs, B62B13/00; runners for sledges B62B17/02; runners for carrying wheeled vehicles to facilitate travel on snow or ice B62B19/00)",Compilation of Changes
2020.02,C,A63C 5/11,A63C 5/11,combined with sails or the like {; Accessories specially adapted for sail-skiing},combined with sails or the like {; Accessories specially adapted for sail-skiing},Compilation of Changes
2020.02,U,A63H 27/00,A63H 27/00,Toy aircraft; Other flying toys (toys with parachutes A63H33/20 ){; Starting or launching devices therefor},Toy aircraft; Other flying toys (toys with parachutes A63H33/20 ){; Starting or launching devices therefor},Compilation of Changes
