改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2022.02,M,A01G 2/00,A01G 2/00,Vegetative propagation (plant reproduction by tissue culture techniques A01H4/00),Vegetative propagation (plant reproduction by tissue culture techniques A01H4/00),Compilation of Changes
2022.02,M,A01G 2/01,A01G 2/01,by means of cuttings,by means of cuttings,Compilation of Changes
2022.02,M,A01G 2/02,A01G 2/02,Layering,Layering,Compilation of Changes
2022.02,M,A01G 2/03,A01G 2/03,Grafting (grafting-wax  A01N3/04),Grafting (grafting-wax  A01N3/04),Compilation of Changes
2022.02,M,A01G 2/32,A01G 2/32,Automatic apparatus therefor,Automatic apparatus therefor,Compilation of Changes
2022.02,M,A01G 2/35,A01G 2/35,Cutting; Inserting,Cutting; Inserting,Compilation of Changes
2022.02,M,A01G 2/38,A01G 2/38,Holding; Ligating,Holding; Ligating,Compilation of Changes
2022.02,U,A01G 7/00,A01G 7/00,Botany in general,Botany in general,Compilation of Changes
2022.02,U,A01G 7/04,A01G 7/04,Electric or magnetic {or acoustic} treatment of plants for promoting growth,Electric or magnetic {or acoustic} treatment of plants for promoting growth,Compilation of Changes
2022.02,M,A01G 7/045,A01G 7/045,{with electric lighting},{with electric lighting},Compilation of Changes
2022.02,M,A01G 9/00,A01G 9/00,"Cultivation in receptacles, forcing-frames or greenhouses (of mushrooms A01G18/00; soilless cultivation A01G31/00); Edging for beds, lawn or the like","Cultivation in receptacles, forcing-frames or greenhouses (of mushrooms A01G18/00; soilless cultivation A01G31/00); Edging for beds, lawn or the like",Compilation of Changes
2022.02,U,A01G 9/02,A01G 9/02,"Receptacles, e.g. flower-pots or boxes (self-acting watering devices A01G27/00; hanging flower baskets, holders or containers for flower-pots A47G7/00); Glasses for cultivating flowers","Receptacles, e.g. flower-pots or boxes (self-acting watering devices A01G27/00; hanging flower baskets, holders or containers for flower-pots A47G7/00); Glasses for cultivating flowers",Compilation of Changes
2022.02,M,A01G 9/029,A01G 9/029,Receptacles for seedlings (growth substrates in block form A01G24/44),Receptacles for seedlings (growth substrates in block form A01G24/44),Compilation of Changes
2022.02,U,A01G 9/24,A01G 9/24,"Devices {or systems} for heating, ventilating, regulating temperature {, illuminating}, or watering, in greenhouses, forcing-frames, or the like","Devices {or systems} for heating, ventilating, regulating temperature {, illuminating}, or watering, in greenhouses, forcing-frames, or the like",Compilation of Changes
2022.02,M,A01G 9/249,A01G 9/249,{Lighting means (with special arrangements for promoting growth A01G7/045)},{Lighting means (with special arrangements for promoting growth A01G7/045)},Compilation of Changes
2022.02,M,A01G 9/26,A01G 9/26,Electric devices {(A01G9/249 takes precedence)},Electric devices {(A01G9/249 takes precedence)},Compilation of Changes
2022.02,M,A01G 9/28,A01G 9/28,"Raised beds; Planting beds; Edging elements for beds, lawn or the like, e.g. tiles","Raised beds; Planting beds; Edging elements for beds, lawn or the like, e.g. tiles",Compilation of Changes
2022.02,M,A01G 18/00,A01G 18/00,Cultivation of mushrooms,Cultivation of mushrooms,Compilation of Changes
2022.02,M,A01G 18/01,A01G 18/01,Mycorrhiza; Mycorrhizal associations,Mycorrhiza; Mycorrhizal associations,Compilation of Changes
2022.02,M,A01G 18/02,A01G 18/02,"Culture media, e.g. compost","Culture media, e.g. compost",Compilation of Changes
2022.02,M,A01G 18/22,A01G 18/22,"Apparatus for the preparation of culture media, e.g. bottling devices","Apparatus for the preparation of culture media, e.g. bottling devices",Compilation of Changes
2022.02,M,A01G 18/03,A01G 18/03,"Accessories for use before inoculation of spawn, e.g. sterilisers","Accessories for use before inoculation of spawn, e.g. sterilisers",Compilation of Changes
2022.02,M,A01G 18/04,A01G 18/04,Cultivation of spawn,Cultivation of spawn,Compilation of Changes
2022.02,M,A01G 18/05,A01G 18/05,Inoculation of spawn,Inoculation of spawn,Compilation of Changes
2022.02,M,A01G 18/55,A01G 18/55,Forming inoculation holes,Forming inoculation holes,Compilation of Changes
2022.02,M,A01G 18/06,A01G 18/06,Cultivation rooms; Equipment therefor,Cultivation rooms; Equipment therefor,Compilation of Changes
2022.02,M,A01G 18/61,A01G 18/61,"Growth guides for fruiting bodies, e.g. paper rolls","Growth guides for fruiting bodies, e.g. paper rolls",Compilation of Changes
2022.02,M,A01G 18/62,A01G 18/62,Racks; Trays,Racks; Trays,Compilation of Changes
2022.02,M,A01G 18/64,A01G 18/64,Cultivation containers; Lids therefor,Cultivation containers; Lids therefor,Compilation of Changes
2022.02,M,A01G 18/65,A01G 18/65,"characterised by the lids, e.g. lids with filters","characterised by the lids, e.g. lids with filters",Compilation of Changes
2022.02,M,A01G 18/66,A01G 18/66,Cultivation bags,Cultivation bags,Compilation of Changes
2022.02,M,A01G 18/68,A01G 18/68,Cultivation bottles,Cultivation bottles,Compilation of Changes
2022.02,M,A01G 18/69,A01G 18/69,"Arrangements for managing the environment, e.g. sprinklers","Arrangements for managing the environment, e.g. sprinklers",Compilation of Changes
2022.02,M,A01G 18/07,A01G 18/07,Harvesting,Harvesting,Compilation of Changes
2022.02,M,A01G 18/08,A01G 18/08,"Accessories for use after harvesting, e.g. scrapers","Accessories for use after harvesting, e.g. scrapers",Compilation of Changes
2022.02,M,A01G 20/00,A01G 20/00,"Cultivation of turf, lawn or the like; Apparatus or methods therefor (hand-held edge trimmers or shears for lawn A01G3/06; edging for lawn A01G9/28; lawn-mowers A01D34/00)","Cultivation of turf, lawn or the like; Apparatus or methods therefor (hand-held edge trimmers or shears for lawn A01G3/06; edging for lawn A01G9/28; lawn-mowers A01D34/00)",Compilation of Changes
2022.02,M,A01G 20/01,A01G 20/01,Pre-cultivated sod or turf; Apparatus therefor,Pre-cultivated sod or turf; Apparatus therefor,Compilation of Changes
2022.02,M,A01G 20/12,A01G 20/12,Apparatus for cutting sods or turfs,Apparatus for cutting sods or turfs,Compilation of Changes
2022.02,M,A01G 20/15,A01G 20/15,specially adapted for stacking sods or sod rolls,specially adapted for stacking sods or sod rolls,Compilation of Changes
