改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2021.05,U,A23B 4/00,A23B 4/00,"General methods for preserving meat, sausages, fish or fish products","General methods for preserving meat, sausages, fish or fish products",Compilation of Changes
2021.05,U,A23B 4/14,A23B 4/14,Preserving with chemicals not covered by groups A23B4/02 or A23B4/12,Preserving with chemicals not covered by groups A23B4/02 or A23B4/12,Compilation of Changes
2021.05,U,A23B 4/18,A23B 4/18,"in the form of liquids or solids (apparatus therefor A23B4/26, A23B4/32)","in the form of liquids or solids (apparatus therefor A23B4/26, A23B4/32)",Compilation of Changes
2021.05,M,A23B 4/02,A23B 4/02,Organic compounds; Microorganisms; Enzymes (acid fermentation A23B4/12),Organic compounds; Microorganisms; Enzymes (acid fermentation A23B4/12),Compilation of Changes
2021.05,M,A23B 5/00,A23B 5/00,Preservation of eggs or egg products (preserving dough or bakery products A21D),Preservation of eggs or egg products (preserving dough or bakery products A21D),Compilation of Changes
2021.05,U,A23B 7/00,A23B 7/00,Preservation or chemical ripening of fruit or vegetables,Preservation or chemical ripening of fruit or vegetables,Compilation of Changes
2021.05,U,A23B 7/14,A23B 7/14,Preserving or ripening with chemicals not covered by groups A23B7/08 or A23B7/10,Preserving or ripening with chemicals not covered by groups A23B7/08 or A23B7/10,Compilation of Changes
2021.05,M,A23B 7/144,A23B 7/144,"in the form of gases, e.g. fumigation; Compositions or apparatus therefor {(cooling without control of atmosphere composition A23B7/04)}","in the form of gases, e.g. fumigation; Compositions or apparatus therefor {(cooling without control of atmosphere composition A23B7/04)}",Compilation of Changes
2021.05,U,A23B 7/153,A23B 7/153,in the form of liquids or solids,in the form of liquids or solids,Compilation of Changes
2021.05,M,A23B 7/154,A23B 7/154,Organic compounds; Microorganisms; Enzymes (acid fermentation A23B7/10),Organic compounds; Microorganisms; Enzymes (acid fermentation A23B7/10),Compilation of Changes
2021.05,U,A23F 5/00,A23F 5/00,Coffee; Coffee substitutes; Preparations thereof,Coffee; Coffee substitutes; Preparations thereof,Compilation of Changes
2021.05,U,A23F 5/24,A23F 5/24,Extraction of coffee; Coffee extracts (with reduced alkaloid content A23F5/20); Making instant coffee (methods of roasting extracted coffee A23F5/06),Extraction of coffee; Coffee extracts (with reduced alkaloid content A23F5/20); Making instant coffee (methods of roasting extracted coffee A23F5/06),Compilation of Changes
2021.05,M,A23F 5/26,A23F 5/26,Extraction of water-soluble constituents {({A23F5/246 takes precedence}; isolation of coffee flavour or coffee oil A23F5/48)},Extraction of water-soluble constituents {({A23F5/246 takes precedence}; isolation of coffee flavour or coffee oil A23F5/48)},Compilation of Changes
2021.05,M,A23J 1/00,A23J 1/00,Obtaining protein compositions for foodstuffs; Bulk opening of eggs and separation of yolks from whites (preparation of glue C09H),Obtaining protein compositions for foodstuffs; Bulk opening of eggs and separation of yolks from whites (preparation of glue C09H),Compilation of Changes
2021.05,M,A23J 1/04,A23J 1/04,from fish or other sea animals (for animal feeding-stuff A23K10/20),from fish or other sea animals (for animal feeding-stuff A23K10/20),Compilation of Changes
2021.05,M,A23J 1/06,A23J 1/06,from blood (for animal feeding-stuff A23K10/24; plastic materials from blood C08H1/00),from blood (for animal feeding-stuff A23K10/24; plastic materials from blood C08H1/00),Compilation of Changes
2021.05,U,A23L 2/00,A23L 2/00,Non-alcoholic beverages; Dry compositions or concentrates therefor; Their preparation (soup concentrates A23L23/10; preparation of non-alcoholic beverages by removal of alcohol {C12H3/00}),Non-alcoholic beverages; Dry compositions or concentrates therefor; Their preparation (soup concentrates A23L23/10; preparation of non-alcoholic beverages by removal of alcohol {C12H3/00}),Compilation of Changes
2021.05,M,A23L 2/07,A23L 2/07,"Clarifying or fining of non-alcoholic beverages; Removing unwanted matter (purifying water C02F, e.g. by ion-exchange C02F1/42)","Clarifying or fining of non-alcoholic beverages; Removing unwanted matter (purifying water C02F, e.g. by ion-exchange C02F1/42)",Compilation of Changes
2021.05,M,A23L 3/00,A23L 3/00,"Preservation of foods or foodstuffs, in general, e.g. pasteurising, sterilising, specially adapted for foods or foodstuffs (preservation of flour or bread A21D; processes specially adapted for particular foods or foodstuffs, see the relevant groups for the foods or foodstuffs in A23; preserving foods or foodstuffs in association with packaging B65B55/00; preservation of alcoholic beverages C12H)","Preservation of foods or foodstuffs, in general, e.g. pasteurising, sterilising, specially adapted for foods or foodstuffs (preservation of flour or bread A21D; processes specially adapted for particular foods or foodstuffs, see the relevant groups for the foods or foodstuffs in A23; preserving foods or foodstuffs in association with packaging B65B55/00; preservation of alcoholic beverages C12H)",Compilation of Changes
2021.05,U,A61B 17/00,A61B 17/00,"Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)","Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)",Compilation of Changes
2021.05,,A61B 17/00008,A61B 17/00008,{Vein tendon strippers (tube strippers A61M1/0078A61M1/83)},{Vein tendon strippers (tube strippers A61M1/0078A61M1/83)},Compilation of Changes
2021.05,M,A61B 17/32,A61B 17/32,Surgical cutting instruments {(A61B18/042 takes precedence; suture cutters A61B17/0467; instruments for ligaturing or cutting A61B17/128; instruments for rupturing the amniotic membrane A61B17/4208; specially adapted knives for eye surgery A61F9/0133)},Surgical cutting instruments {(A61B18/042 takes precedence; suture cutters A61B17/0467; instruments for ligaturing or cutting A61B17/128; instruments for rupturing the amniotic membrane A61B17/4208; specially adapted knives for eye surgery A61F9/0133)},Compilation of Changes
2021.05,M,A61B 17/56,A61B 17/56,Surgical instruments or methods for treatment of bones or joints; Devices specially adapted therefor {(orthopaedic methods or devices for non-surgical treatment of bones or joints A61F5/00)},Surgical instruments or methods for treatment of bones or joints; Devices specially adapted therefor {(orthopaedic methods or devices for non-surgical treatment of bones or joints A61F5/00)},Compilation of Changes
2021.05,M,A61B 17/58,A61B 17/58,"for osteosynthesis, e.g. bone plates, screws, { {, setting implements} or the like (A61B17/14, A61B17/16 take precedence; {splints A61B5/01; traction bandages A61F13/10})","for osteosynthesis, e.g. bone plates, screws, { {, setting implements} or the like (A61B17/14, A61B17/16 take precedence; {splints A61B5/01; traction bandages A61F13/10})",Compilation of Changes
2021.05,M,A61B 17/68,A61B 17/68,"Internal fixation devices {, including fasteners and spinal fixators, even if a part thereof projects from the skin (bone staples A61B17/0642; dental regeneration membranes A61C8/0006)}","Internal fixation devices {, including fasteners and spinal fixators, even if a part thereof projects from the skin (bone staples A61B17/0642; dental regeneration membranes A61C8/0006)}",Compilation of Changes
2021.05,U,A61B 17/07,A61B 17/07,Spinal positioners or stabilisers {; Bone stabilisers comprising fluid filler in an implant},Spinal positioners or stabilisers {; Bone stabilisers comprising fluid filler in an implant},Compilation of Changes
2021.05,M,A61B 17/7059,A61B 17/7059,"{Cortical plates (A61B17/7007, A61B17/7058 take precedence)}","{Cortical plates (A61B17/7007, A61B17/7058 take precedence)}",Compilation of Changes
2021.05,U,A61B 17/08,A61B 17/08,"Cortical plates {, i.e. bone plates; Instruments for holding or positioning cortical plates, or for compressing bones attached to cortical plates}","Cortical plates {, i.e. bone plates; Instruments for holding or positioning cortical plates, or for compressing bones attached to cortical plates}",Compilation of Changes
2021.05,M,A61B 17/8004,A61B 17/8004,{with means for extendingdistracting or compressing the bone or bones},{with means for extendingdistracting or compressing the bone or bones},Compilation of Changes
2021.05,U,A61B 17/8009,A61B 17/8009,{the plate having a ratchet},{the plate having a ratchet},Compilation of Changes
2021.05,M,A61B 17/8023,A61B 17/8023,{Variable length plates adjustable in both directions},{Variable length plates adjustable in both directions},Compilation of Changes
2021.05,U,A61B 17/8033,A61B 17/8033,"{having indirect contact with screw heads, or having contact with screw heads maintained with the aid of additional components, e.g. nuts, wedges or head covers}","{having indirect contact with screw heads, or having contact with screw heads maintained with the aid of additional components, e.g. nuts, wedges or head covers}",Compilation of Changes
2021.05,M,A61B 17/8047,A61B 17/8047,{wherein the additional element surrounds the screw head in the plate hole (A61B17/8052 takes precedence)},{wherein the additional element surrounds the screw head in the plate hole (A61B17/8052 takes precedence)},Compilation of Changes
2021.05,U,A61B 17/8061,A61B 17/8061,{specially adapted for particular bones (A61B17/70 and A61B17/74 take precedence)},{specially adapted for particular bones (A61B17/70 and A61B17/74 take precedence)},Compilation of Changes
2021.05,M,A61B 17/8071,A61B 17/8071,{for the jaw (prostheses for mandibular reconstruction A61F2/2803)},{for the jaw (prostheses for mandibular reconstruction A61F2/2803)},Compilation of Changes
2021.05,M,A61B 17/8085,A61B 17/8085,"{with pliable or malleable elements or having a mesh-like structure, e.g. small strips for craniofacial surgery (A61B17/8071, A61B17/8076 take precedence; connecting prostheses with the body A61F2/00)}","{with pliable or malleable elements or having a mesh-like structure, e.g. small strips for craniofacial surgery (A61B17/8071, A61B17/8076 take precedence; connecting prostheses with the body A61F2/00)}",Compilation of Changes
2021.05,M,A61B 17/809,A61B 17/809,"{with bone-penetrating elements, e.g. blades or prongs (bone staples A61B17/0642; intramedullary nails with a plate at an end A61B17/7233)}","{with bone-penetrating elements, e.g. blades or prongs (bone staples A61B17/0642; intramedullary nails with a plate at an end A61B17/7233)}",Compilation of Changes
2021.05,U,A61B 17/84,A61B 17/84,Fasteners therefor {or fasteners being internal fixation devices},Fasteners therefor {or fasteners being internal fixation devices},Compilation of Changes
2021.05,U,A61B 17/846,A61B 17/846,"{Nails or pins, i.e. anchors without movable parts, holding by friction only, with or without structured surface (A61B17/72, A61B17/86 take precedence)}","{Nails or pins, i.e. anchors without movable parts, holding by friction only, with or without structured surface (A61B17/72, A61B17/86 take precedence)}",Compilation of Changes
2021.05,M,A61B 17/86,A61B 17/86,"{Threaded wires}, pins or screwsPins or screws {or threaded wires; {Nutsnuts therefor (A61B17/72, A61B17/74, A61F2/4455 take precedence)}","{Threaded wires}, pins or screwsPins or screws {or threaded wires; {Nutsnuts therefor (A61B17/72, A61B17/74, A61F2/4455 take precedence)}",Compilation of Changes
2021.05,M,A61B 17/8625,A61B 17/8625,"{Shanks, i.e. parts contacting bone tissue (screw-in dental implants A61C8/0018)}","{Shanks, i.e. parts contacting bone tissue (screw-in dental implants A61C8/0018)}",Compilation of Changes
2021.05,U,A61B 17/88,A61B 17/88,{Osteosynthesis instruments;} Methods or means for implanting or extracting internal {or external} fixation devices {(A61B17/7074 takes precedence)},{Osteosynthesis instruments;} Methods or means for implanting or extracting internal {or external} fixation devices {(A61B17/7074 takes precedence)},Compilation of Changes
2021.05,M,A61B 17/8802,A61B 17/8802,{Equipment for handling bone cement or other fluid fillers (plugs or restrictors for bone cement A61F2/30723)},{Equipment for handling bone cement or other fluid fillers (plugs or restrictors for bone cement A61F2/30723)},Compilation of Changes
2021.05,M,A61B 17/8805,A61B 17/8805,"{for introducing fluid filler into bone or extracting it (A61B17/7097, A61B17/8833 take precedence; for introducing bone graft A61F2/4601)}","{for introducing fluid filler into bone or extracting it (A61B17/7097, A61B17/8833 take precedence; for introducing bone graft A61F2/4601)}",Compilation of Changes
2021.05,U,A61B 17/8825,A61B 17/8825,"{characterised by syringe details (A61B17/8822, A61B17/8827 take precedence)}","{characterised by syringe details (A61B17/8822, A61B17/8827 take precedence)}",Compilation of Changes
2021.05,M,A61B 17/8833,A61B 17/8833,"{Tools for preparing, e.g. curing, cement or otherOsteosynthesis tools specially adapted for handling bone cement or fluid fillers (B01F takes precedence); Means for supplying bone cement or other fluid fillers to an introducing toolintroducing tools, e.g. cartridge handling means}","{Tools for preparing, e.g. curing, cement or otherOsteosynthesis tools specially adapted for handling bone cement or fluid fillers (B01F takes precedence); Means for supplying bone cement or other fluid fillers to an introducing toolintroducing tools, e.g. cartridge handling means}",Compilation of Changes
2021.05,M,A61B 17/8836,A61B 17/8836,"{for heating, cooling or curing the fillerof bone cement or fluid fillers}","{for heating, cooling or curing the fillerof bone cement or fluid fillers}",Compilation of Changes
2021.05,M,A61B 2017/8838,A61B 2017/8838,"{for mixing, with or without means for supplying the mixed filler to an injecting tool bone cement or fluid fillers}","{for mixing, with or without means for supplying the mixed filler to an injecting tool bone cement or fluid fillers}",Compilation of Changes
2021.05,M,A61B 17/8861,A61B 17/8861,{Apparatus for manipulating flexible wires or straps (devices for inserting Kirschner wires A61B17/1697)},{Apparatus for manipulating flexible wires or straps (devices for inserting Kirschner wires A61B17/1697)},Compilation of Changes
2021.05,M,A61B 17/8863,A61B 17/8863,{Apparatus for shaping or cutting osteosynthetic equipmentosteosynthesis equipment by medical personnel},{Apparatus for shaping or cutting osteosynthetic equipmentosteosynthesis equipment by medical personnel},Compilation of Changes
2021.05,M,A61B 17/8866,A61B 17/8866,"{for gripping or pushing bones, e.g. approximators (joint distractors A61B17/025)}","{for gripping or pushing bones, e.g. approximators (joint distractors A61B17/025)}",Compilation of Changes
