改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2013.09,M,B65F 2220/1066,B65F 2220/1066,,telescopic,Scheme XML差分（推定）
2013.09,M,B65F 2220/108,B65F 2220/108,,connectable,Scheme XML差分（推定）
2013.09,M,B65F 2220/112,B65F 2220/112,,floatable,Scheme XML差分（推定）
2013.09,M,B65F 2220/116,B65F 2220/116,,inflatable,Scheme XML差分（推定）
2013.09,M,B65F 2220/12,B65F 2220/12,,nestable,Scheme XML差分（推定）
2013.09,M,B65F 2220/122,B65F 2220/122,,Poster resistant surface,Scheme XML差分（推定）
2013.09,M,B65F 2220/124,B65F 2220/124,,stackable,Scheme XML差分（推定）
2013.09,M,B65F 2220/128,B65F 2220/128,,transparent,Scheme XML差分（推定）
2013.09,M,B65F 2230/00,B65F 2230/00,,Shapes of refuse receptacles,Scheme XML差分（推定）
2013.09,M,B65F 2230/104,B65F 2230/104,,Amphora,Scheme XML差分（推定）
2013.09,M,B65F 2230/108,B65F 2230/108,,Animal,Scheme XML差分（推定）
2013.09,M,B65F 2230/112,B65F 2230/112,,Bottle,Scheme XML差分（推定）
2013.09,M,B65F 2230/116,B65F 2230/116,,Can,Scheme XML差分（推定）
2013.09,M,B65F 2230/12,B65F 2230/12,,Fence,Scheme XML差分（推定）
2013.09,M,B65F 2230/124,B65F 2230/124,,Golf ball,Scheme XML差分（推定）
2013.09,M,B65F 2230/126,B65F 2230/126,,Hexagonal,Scheme XML差分（推定）
2013.09,M,B65F 2230/127,B65F 2230/127,,House,Scheme XML差分（推定）
2013.09,M,B65F 2230/128,B65F 2230/128,,Human,Scheme XML差分（推定）
2013.09,M,B65F 2230/132,B65F 2230/132,,Mushroom,Scheme XML差分（推定）
2013.09,M,B65F 2230/134,B65F 2230/134,,Oval,Scheme XML差分（推定）
2013.09,M,B65F 2230/135,B65F 2230/135,,Potted plant,Scheme XML差分（推定）
2013.09,M,B65F 2230/136,B65F 2230/136,,Pyramide,Scheme XML差分（推定）
2013.09,M,B65F 2230/14,B65F 2230/14,,Robot,Scheme XML差分（推定）
2013.09,M,B65F 2230/144,B65F 2230/144,,Seat,Scheme XML差分（推定）
2013.09,M,B65F 2230/148,B65F 2230/148,,Sleeve,Scheme XML差分（推定）
2013.09,M,B65F 2230/15,B65F 2230/15,,Sleeve having a disconnectable bottom,Scheme XML差分（推定）
2013.09,M,B65F 2230/152,B65F 2230/152,,Triangular,Scheme XML差分（推定）
2013.09,M,B65F 2230/156,B65F 2230/156,,Wave-like,Scheme XML差分（推定）
2013.09,M,B65F 2240/00,B65F 2240/00,,Types of refuse receptacles,Scheme XML差分（推定）
2013.09,M,B65F 2240/104,B65F 2240/104,,Ashes,Scheme XML差分（推定）
2013.09,M,B65F 2240/108,B65F 2240/108,,Batteries,Scheme XML差分（推定）
2013.09,M,B65F 2240/112,B65F 2240/112,,Bottles,Scheme XML差分（推定）
2013.09,M,B65F 2240/1123,B65F 2240/1123,,Glass,Scheme XML差分（推定）
2013.09,M,B65F 2240/1126,B65F 2240/1126,,Plastics,Scheme XML差分（推定）
2013.09,M,B65F 2240/116,B65F 2240/116,,Broken cutters,Scheme XML差分（推定）
2013.09,M,B65F 2240/118,B65F 2240/118,,Building waste,Scheme XML差分（推定）
2013.09,M,B65F 2240/12,B65F 2240/12,,Cans,Scheme XML差分（推定）
2013.09,M,B65F 2240/121,B65F 2240/121,,Carrions,Scheme XML差分（推定）
2013.09,M,B65F 2240/122,B65F 2240/122,,"CD's, DVD's",Scheme XML差分（推定）
2013.09,M,B65F 2240/124,B65F 2240/124,,Christmas trees,Scheme XML差分（推定）
2013.09,M,B65F 2240/128,B65F 2240/128,,Clothing,Scheme XML差分（推定）
2013.09,M,B65F 2240/132,B65F 2240/132,,Diapers,Scheme XML差分（推定）
2013.09,M,B65F 2240/136,B65F 2240/136,,Dog dirt,Scheme XML差分（推定）
2013.09,M,B65F 2240/137,B65F 2240/137,,Drilling dust,Scheme XML差分（推定）
2013.09,M,B65F 2240/138,B65F 2240/138,,Garden debris,Scheme XML差分（推定）
2013.09,M,B65F 2240/14,B65F 2240/14,,Gum,Scheme XML差分（推定）
2013.09,M,B65F 2240/142,B65F 2240/142,,Grease,Scheme XML差分（推定）
2013.09,M,B65F 2240/143,B65F 2240/143,,Ink cartridges,Scheme XML差分（推定）
2013.09,M,B65F 2240/144,B65F 2240/144,,Leather,Scheme XML差分（推定）
2013.09,M,B65F 2240/145,B65F 2240/145,,Medicine,Scheme XML差分（推定）
2013.09,M,B65F 2240/146,B65F 2240/146,,Nails,Scheme XML差分（推定）
2013.09,M,B65F 2240/148,B65F 2240/148,,Neon tubes,Scheme XML差分（推定）
2013.09,M,B65F 2240/152,B65F 2240/152,,Oil,Scheme XML差分（推定）
2013.09,M,B65F 2240/156,B65F 2240/156,,Paper,Scheme XML差分（推定）
2013.09,M,B65F 2240/1562,B65F 2240/1562,,confidential,Scheme XML差分（推定）
2013.09,M,B65F 2240/1564,B65F 2240/1564,,Carton,Scheme XML差分（推定）
2013.09,M,B65F 2240/1566,B65F 2240/1566,,handkerchiefs,Scheme XML差分（推定）
2013.09,M,B65F 2240/1568,B65F 2240/1568,,Towels,Scheme XML差分（推定）
2013.09,M,B65F 2240/16,B65F 2240/16,,Pizza boxes,Scheme XML差分（推定）
2013.09,M,B65F 2240/162,B65F 2240/162,,Pressurized containers,Scheme XML差分（推定）
2013.09,M,B65F 2240/164,B65F 2240/164,,Sanitary towels,Scheme XML差分（推定）
2013.09,M,B65F 2240/166,B65F 2240/166,,Staples,Scheme XML差分（推定）
2013.09,M,B65F 2240/168,B65F 2240/168,,Telephone cards,Scheme XML差分（推定）
2013.09,M,B65F 2240/172,B65F 2240/172,,Vomit,Scheme XML差分（推定）
2013.09,M,B65F 2250/00,B65F 2250/00,,Materials of refuse receptacles,Scheme XML差分（推定）
2013.09,M,B65F 2250/105,B65F 2250/105,,Biodegradable,Scheme XML差分（推定）
2013.09,M,B65F 2250/106,B65F 2250/106,,Carton,Scheme XML差分（推定）
