改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2014.02,D,A61M 2001/0001,,"Containers for suction drainage, e.g. rigid containers",,Scheme XML差分（推定）
2014.02,D,A61M 2001/0005,,"with means for emptying the suction container, e.g. by interrupting suction",,Scheme XML差分（推定）
2014.02,D,A61M 2001/0007,,Emptying the suction container without interrupting suction,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0015,,Mechanical means for preventing flexible containers from collapsing when vacuum is applied inside,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0017,,"Bag or liner in a rigid container, with suction applied to both",,Scheme XML差分（推定）
2014.02,D,A61M 2001/0023,,Suction drainage systems   containers therefor A61M1/0001 ; suction-irrigation systems A61M1/0058,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0025,,Sensors or indicators,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0027,,Vacuum pressure indicators,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0029,,Flow indicators,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0031,,"Suction control   A61M1/0013 , A61M1/0041 take precedence",,Scheme XML差分（推定）
2014.02,D,A61M 2001/0033,,by changing the size of a vent,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0035,,"by changing the section of the line, e.g. flow regulating valves",,Scheme XML差分（推定）
2014.02,D,A61M 2001/0039,,Handpieces   aspiration tips A61M1/008,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0041,,with means for varying suction manually   suction control A61M1/0031,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0043,,by changing the section of the line,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0045,,by deformation of the the fluid passage,,Scheme XML差分（推定）
2014.02,D,A61M 2001/0049,,Means preventing overflow or contamination of the pumping systems   combined with rigid drainage containers A61M1/0001,,Scheme XML差分（推定）
2014.02,D,A61M 2001/005,,"Valves with moving parts, e.g. float valves",,Scheme XML差分（推定）
2014.02,D,A61M 2001/0052,,"Filtering, sterilising or disinfecting the exhaust air",,Scheme XML差分（推定）
2014.02,D,A61M 2001/0054,,by heat,,Scheme XML差分（推定）
