改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2022.08,M,A47B 97/00,A47B 97/00,"Miscellaneous furniture; MiscellaneousFurniture or accessories for furniture, not provided for in other groups of this subclass","Miscellaneous furniture; MiscellaneousFurniture or accessories for furniture, not provided for in other groups of this subclass",Compilation of Changes
2022.08,M,A47D 1/00,A47D 1/00,Children's chairs (chairs generally A47C; vehicle seats for children B60N2/26),Children's chairs (chairs generally A47C; vehicle seats for children B60N2/26),Compilation of Changes
2022.08,M,A47D 1/008,A47D 1/008,{with trays (combinations of chairs and tables A47B83/02; children's chairs combined with tables A47D3/00)},{with trays (combinations of chairs and tables A47B83/02; children's chairs combined with tables A47D3/00)},Compilation of Changes
2022.08,M,A47D 1/02,A47D 1/02,Foldable chairs {(foldable rocking-chairs A47D13/10A47D13/101)},Foldable chairs {(foldable rocking-chairs A47D13/10A47D13/101)},Compilation of Changes
2022.08,M,A47D 1/01,A47D 1/01,"capable of being suspended from, or attached to, tables or other articles (vehicle seats for children B60N2/26)","capable of being suspended from, or attached to, tables or other articles (vehicle seats for children B60N2/26)",Compilation of Changes
2022.08,U,A47D 7/00,A47D 7/00,Children's beds (beds in general A47C),Children's beds (beds in general A47C),Compilation of Changes
2022.08,C,A47D 7/005,A47D 7/005,{dismountable},{dismountable},Compilation of Changes
2022.08,U,A47D 7/007,A47D 7/007,"{combined with other nursery furniture, e.g. chests of drawers}","{combined with other nursery furniture, e.g. chests of drawers}",Compilation of Changes
2022.08,C,A47D 7/01,A47D 7/01,"with adjustable parts, e.g. for adapting the length to the growth of the children","with adjustable parts, e.g. for adapting the length to the growth of the children",Compilation of Changes
2022.08,C,A47D 7/02,A47D 7/02,with side wall that can be lowered,with side wall that can be lowered,Compilation of Changes
2022.08,C,A47D 7/03,A47D 7/03,with adjustably-mounted mattresses,with adjustably-mounted mattresses,Compilation of Changes
2022.08,C,A47D 7/04,A47D 7/04,"capable of being suspended from, or attached to, window frames or other articles","capable of being suspended from, or attached to, window frames or other articles",Compilation of Changes
2022.08,C,A47D 9/00,A47D 9/00,"{Small beds for newborns or infants, e.g. bassinets or} cradlesCradles {; Bassinets}","{Small beds for newborns or infants, e.g. bassinets or} cradlesCradles {; Bassinets}",Compilation of Changes
2022.08,C,A47D 9/005,A47D 9/005,{foldable},{foldable},Compilation of Changes
2022.08,N,A47D 9/008,A47D 9/008,{dismountable},{dismountable},Compilation of Changes
2022.08,N,A47D 9/012,A47D 9/012,{with adjustable parts},{with adjustable parts},Compilation of Changes
2022.08,N,A47D 9/016,A47D 9/016,"{capable of being suspended from, or attached to, other articles or structures, e.g. adult's bed}","{capable of being suspended from, or attached to, other articles or structures, e.g. adult's bed}",Compilation of Changes
2022.08,C,A47D 9/02,A47D 9/02,with rocking mechanisms (devices for moving perambulators to and from B62B9/22),with rocking mechanisms (devices for moving perambulators to and from B62B9/22),Compilation of Changes
2022.08,C,A47D 9/04,A47D 9/04,with disconnectable rockers,with disconnectable rockers,Compilation of Changes
2022.08,N,A47D 9/053,A47D 9/053,{with curved rocking member},{with curved rocking member},Compilation of Changes
2022.08,N,A47D 9/057,A47D 9/057,{driven by electric motors},{driven by electric motors},Compilation of Changes
2022.08,M,A47D 11/00,A47D 11/00,"Children's furniture convertible into other kinds of furniture, e.g. children's chairs or benches convertible into beds {or constructional play-furniture} (convertible furniture in general A47B85/00); {Constructional play-furniture} (convertible furniture in general A47B85/00)","Children's furniture convertible into other kinds of furniture, e.g. children's chairs or benches convertible into beds {or constructional play-furniture} (convertible furniture in general A47B85/00); {Constructional play-furniture} (convertible furniture in general A47B85/00)",Compilation of Changes
2022.08,U,A47D 13/00,A47D 13/00,Other nursery furniture (auxiliary or portable toilet seats for children A47K13/06),Other nursery furniture (auxiliary or portable toilet seats for children A47K13/06),Compilation of Changes
2022.08,C,A47D 13/02,A47D 13/02,Baby-carriers; Carry-cots,Baby-carriers; Carry-cots,Compilation of Changes
2022.08,C,A47D 13/025,A47D 13/025,{for carrying children in seated position},{for carrying children in seated position},Compilation of Changes
2022.08,N,A47D 13/027,A47D 13/027,{Baby-carriers with rigid frames},{Baby-carriers with rigid frames},Compilation of Changes
2022.08,N,A47D 13/029,A47D 13/029,{Baby-carriers with waist-belt only},{Baby-carriers with waist-belt only},Compilation of Changes
2022.08,C,A47D 13/04,A47D 13/04,Apparatus for helping babies to walk; Baby walkers or strollers (walking aids for the sick A61H3/04wheeled walking aids for patients or disabled persons A61H3/04),Apparatus for helping babies to walk; Baby walkers or strollers (walking aids for the sick A61H3/04wheeled walking aids for patients or disabled persons A61H3/04),Compilation of Changes
2022.08,T,A47D 13/043,A47D 13/043,{Chairs for walkingBaby walkers with a seat},{Chairs for walkingBaby walkers with a seat},Compilation of Changes
2022.08,M,A47D 13/046,A47D 13/046,{Harnesses for helping babies to walk (safety harnesses for already walking children A47D13/086)},{Harnesses for helping babies to walk (safety harnesses for already walking children A47D13/086)},Compilation of Changes
2022.08,M,A47D 13/08,A47D 13/08,"Devices for use in guiding or supporting children, e.g. safety harness {, feeding cushions harnesses(harnesses for helping babies to walk A47D13/046; restraining devices in chairs A47D15/006; restraining devices in beds, playpens or cradles A47D15/008)}","Devices for use in guiding or supporting children, e.g. safety harness {, feeding cushions harnesses(harnesses for helping babies to walk A47D13/046; restraining devices in chairs A47D15/006; restraining devices in beds, playpens or cradles A47D15/008)}",Compilation of Changes
2022.08,C,A47D 13/01,A47D 13/01,Rocking-chairs (in general A47C3/02; rocking horses A63G15/00);  {Indoor} swings (in general A63G9/00) {; {Baby bouncers},Rocking-chairs (in general A47C3/02; rocking horses A63G15/00);  {Indoor} swings (in general A63G9/00) {; {Baby bouncers},Compilation of Changes
2022.08,N,A47D 13/101,A47D 13/101,{Foldable rocking chairs},{Foldable rocking chairs},Compilation of Changes
2022.08,C,A47D 13/102,A47D 13/102,{with curved rocking members resting on the ground},{with curved rocking members resting on the ground},Compilation of Changes
2022.08,C,A47D 13/105,A47D 13/105,{pivotally mounted in a frame},{pivotally mounted in a frame},Compilation of Changes
2022.08,C,A47D 13/107,A47D 13/107,"{resiliently suspended or supported, e.g. baby bouncers}","{resiliently suspended or supported, e.g. baby bouncers}",Compilation of Changes
2022.08,M,A47G 29/00,A47G 29/00,"Miscellaneous supportsSupports, holders, or containers for household use, not provided for in groups A47G1/00-A47G27/00 or A47G33/00  (for fastening kitchen utensils A47J45/00; for drying towels A47K10/04; stands, racks, or the like for airing beds, garments, or the like, clothes, drying devices D06F57/00)","Miscellaneous supportsSupports, holders, or containers for household use, not provided for in groups A47G1/00-A47G27/00 or A47G33/00  (for fastening kitchen utensils A47J45/00; for drying towels A47K10/04; stands, racks, or the like for airing beds, garments, or the like, clothes, drying devices D06F57/00)",Compilation of Changes
2022.08,M,A47L 25/00,A47L 25/00,Miscellaneous cleaning devicesDomestic cleaning devices not provided for in other groups of this subclass  (for cleaning spectacles G02C13/00),Miscellaneous cleaning devicesDomestic cleaning devices not provided for in other groups of this subclass  (for cleaning spectacles G02C13/00),Compilation of Changes
