改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2013.12,D,G06Q 40/103,,Tax preparation or submission,,Scheme XML差分（推定）
2013.12,D,G06Q 40/105,,Finance or payroll,,Scheme XML差分（推定）
2013.12,D,G06Q 40/108,,"Check-book balancing, updating or printing arrangement",,Scheme XML差分（推定）
2013.12,N,,G06Q 40/12,,Accounting,Scheme XML差分（推定）
2013.12,N,,G06Q 40/123,,Tax preparation or submission,Scheme XML差分（推定）
2013.12,N,,G06Q 40/125,,Finance or payroll,Scheme XML差分（推定）
2013.12,N,,G06Q 40/128,,"Check-book balancing, updating or printing arrangements",Scheme XML差分（推定）
