改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2021.01,C,A01H 1/00,A01H 1/00,Processes for modifying genotypes {; Processes for modifying genotypes Plants characterised by associated natural traits} (A01H4/00 takes precedence),Processes for modifying genotypes {; Processes for modifying genotypes Plants characterised by associated natural traits} (A01H4/00 takes precedence),Compilation of Changes
2021.01,C,A01H 1/02,A01H 1/02,Methods or apparatus for hybridisation; Artificial pollination {; Fertility},Methods or apparatus for hybridisation; Artificial pollination {; Fertility},Compilation of Changes
2021.01,N,A01H 1/021,A01H 1/021,"{Methods of breeding using interspecific crosses, i.e. interspecies crosses}","{Methods of breeding using interspecific crosses, i.e. interspecies crosses}",Compilation of Changes
2021.01,N,A01H 1/022,A01H 1/022,"{Genic fertility modification, e.g. apomixis}","{Genic fertility modification, e.g. apomixis}",Compilation of Changes
2021.01,N,A01H 1/023,A01H 1/023,{Male sterility},{Male sterility},Compilation of Changes
2021.01,N,A01H 1/024,A01H 1/024,{Female sterility},{Female sterility},Compilation of Changes
2021.01,D,A01H 1/025,A01H 1/025,{Apparatus for pollination},{Apparatus for pollination},Compilation of Changes
2021.01,N,A01H 1/026,A01H 1/026,{by treatment with chemicals},{by treatment with chemicals},Compilation of Changes
2021.01,N,A01H 1/027,A01H 1/027,{Apparatus for pollination},{Apparatus for pollination},Compilation of Changes
2021.01,C,A01H 1/04,A01H 1/04,Processes of selection {involving genotypic or phenotypic markers; Methods of using phenotypic markers for selection},Processes of selection {involving genotypic or phenotypic markers; Methods of using phenotypic markers for selection},Compilation of Changes
2021.01,N,A01H 1/045,A01H 1/045,{using molecular markers},{using molecular markers},Compilation of Changes
