改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2020.01,U,A01J 7/00,A01J 7/00,Accessories for milking machines or devices,Accessories for milking machines or devices,Compilation of Changes
2020.01,M,A01J 7/02,A01J 7/02,for cleaning or sanitising milking machines or devices (cleaning of pipes or tubes or systems of pipes or tubes B08B9/02),for cleaning or sanitising milking machines or devices (cleaning of pipes or tubes or systems of pipes or tubes B08B9/02),Compilation of Changes
2020.01,M,A01J 9/00,A01J 9/00,Milk receptacles (containers in general B65D; devices for tilting and emptying of containers B65G65/23),Milk receptacles (containers in general B65D; devices for tilting and emptying of containers B65G65/23),Compilation of Changes
2020.01,M,A01J 11/00,A01J 11/00,"Apparatus for treating milk (preserving or sterilising A23Cdairy concentration, evaporation or drying A23C1/00; preservation of milk or milk preparations A23C3/00)","Apparatus for treating milk (preserving or sterilising A23Cdairy concentration, evaporation or drying A23C1/00; preservation of milk or milk preparations A23C3/00)",Compilation of Changes
2020.01,M,A01J 11/02,A01J 11/02,Appliances for preventing or destroying foam (preventing boiling-over of milk in kitchen cooking vessels A47J27/56; preventing foaming in boiling apparatus B01B1/02),Appliances for preventing or destroying foam (preventing boiling-over of milk in kitchen cooking vessels A47J27/56; preventing foaming in boiling apparatus B01B1/02),Compilation of Changes
2020.01,M,A01J 11/04,A01J 11/04,Appliances for aerating or de-aerating milk (milk centrifuges B04B),Appliances for aerating or de-aerating milk (milk centrifuges B04B),Compilation of Changes
2020.01,M,A01J 11/06,A01J 11/06,Strainers or filters for milk (filtering materials B01D),Strainers or filters for milk (filtering materials B01D),Compilation of Changes
2020.01,M,A01J 11/01,A01J 11/01,Separating milk from cream (milk centrifuges B04B),Separating milk from cream (milk centrifuges B04B),Compilation of Changes
2020.01,M,A01J 11/16,A01J 11/16,Homogenising milk (homogenising in general B01F),Homogenising milk (homogenising in general B01F),Compilation of Changes
2020.01,U,A01J 15/00,A01J 15/00,Manufacturing butter,Manufacturing butter,Compilation of Changes
2020.01,U,A01J 15/16,A01J 15/16,Details; Accessories,Details; Accessories,Compilation of Changes
2020.01,M,A01J 15/25,A01J 15/25,Means for removing butter from churns or the like (pumps therefor F04),Means for removing butter from churns or the like (pumps therefor F04),Compilation of Changes
