改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2026.05,C,A41G 3/00,A41G 3/00,Wigs (for dolls only A63H3/44),Wigs (for dolls only A63H3/44),Compilation of Changes
2026.05,D,A41G 3/0066,A41G 3/0066,{Planting hair on bases for wigs},{Planting hair on bases for wigs},Compilation of Changes
2026.05,M,A41G 3/0075,A41G 3/0075,{Methods and machinesProcesses or apparatus for making wigs},{Methods and machinesProcesses or apparatus for making wigs},Compilation of Changes
2026.05,N,A41G 3/0077,A41G 3/0077,{for fixing hair filaments on wig bases},{for fixing hair filaments on wig bases},Compilation of Changes
2026.05,M,A41G 3/0083,A41G 3/0083,{Filaments for making wigs Wigs characterised by their hair filaments}(artificial filaments D01F6/00)},{Filaments for making wigs Wigs characterised by their hair filaments}(artificial filaments D01F6/00)},Compilation of Changes
2026.05,M,A41G 3/0091,A41G 3/0091,{Sweat absorbing means or deodorants for wigs},{Sweat absorbing means or deodorants for wigs},Compilation of Changes
2026.05,N,A41G 3/0095,A41G 3/0095,{Methods for attaching wigs to user's head},{Methods for attaching wigs to user's head},Compilation of Changes
2026.05,C,A41G 5/00,A41G 5/00,"Hair pieces, inserts, rolls, pads, or the like; Toupées","Hair pieces, inserts, rolls, pads, or the like; Toupées",Compilation of Changes
2026.05,M,A41G 5/004,A41G 5/004,"{Hair piecesHairpieces, e.g. hair extensions}","{Hair piecesHairpieces, e.g. hair extensions}",Compilation of Changes
2026.05,M,A41G 5/0086,A41G 5/0086,{Applicators or tools for applying hair extensionshairpieces to the user},{Applicators or tools for applying hair extensionshairpieces to the user},Compilation of Changes
2026.05,M,A41G 5/0093,A41G 5/0093,"{Hair accessories connected to a head coveringhead accessories or to hair accessories, e.g. scarfconnected to scarves}","{Hair accessories connected to a head coveringhead accessories or to hair accessories, e.g. scarfconnected to scarves}",Compilation of Changes
2026.05,N,A41G 5/0095,A41G 5/0095,"{Methods for attaching toupées, hairpieces or hair extensions to the user}","{Methods for attaching toupées, hairpieces or hair extensions to the user}",Compilation of Changes
2026.05,C,A41G 5/02,A41G 5/02,Artificial eyelashes; Artificial eyebrows,Artificial eyelashes; Artificial eyebrows,Compilation of Changes
2026.05,N,A41G 5/026,A41G 5/026,{Applicators or tools for attaching artificial eyelashes or eyebrows to user's head},{Applicators or tools for attaching artificial eyelashes or eyebrows to user's head},Compilation of Changes
2026.05,N,A41G 5/027,A41G 5/027,{Methods for attaching artificial eyelashes or eyebrows to user's head},{Methods for attaching artificial eyelashes or eyebrows to user's head},Compilation of Changes
2026.05,U,A47C 1/00,A47C 1/00,"Chairs adapted for special purposes (chairs or personal conveyances specially adapted for patients or disabled persons, e.g. wheelchairs, A61G5/00; operating chairs or dental chairs A61G15/00)","Chairs adapted for special purposes (chairs or personal conveyances specially adapted for patients or disabled persons, e.g. wheelchairs, A61G5/00; operating chairs or dental chairs A61G15/00)",Compilation of Changes
2026.05,U,A47C 1/02,A47C 1/02,Reclining or easy chairs,Reclining or easy chairs,Compilation of Changes
2026.05,U,A47C 1/022,A47C 1/022,having independently-adjustable supporting parts,having independently-adjustable supporting parts,Compilation of Changes
2026.05,M,A47C 1/023,A47C 1/023,"the parts being horizontally-adjustable seats {; Expandable seats or the like, e.g. seats with horizontally adjustable parts}","the parts being horizontally-adjustable seats {; Expandable seats or the like, e.g. seats with horizontally adjustable parts}",Compilation of Changes
2026.05,M,A47C 1/024,A47C 1/024,"the parts, being the back-rest, or the back-rest and seat unit, having adjustable {and lockable} inclination","the parts, being the back-rest, or the back-rest and seat unit, having adjustable {and lockable} inclination",Compilation of Changes
2026.05,M,A47C 1/025,A47C 1/025,by means of a {rack-and-pinion} or like gearing mechanism,by means of a {rack-and-pinion} or like gearing mechanism,Compilation of Changes
2026.05,M,A47C 1/026,A47C 1/026,by means of a peg-and-notch or {pawl-and-ratchet} mechanism,by means of a peg-and-notch or {pawl-and-ratchet} mechanism,Compilation of Changes
2026.05,U,A47C 1/028,A47C 1/028,"for changing a straight chair into an easy chair {, e.g. by inverting or tilting seat and back-rest in the base frame or by overturning the whole chair}","for changing a straight chair into an easy chair {, e.g. by inverting or tilting seat and back-rest in the base frame or by overturning the whole chair}",Compilation of Changes
2026.05,M,A47C 1/029,A47C 1/029,by changing the length or the inclination of the legs {(varying the height of a seat by inclining the legs A47C3/36)},by changing the length or the inclination of the legs {(varying the height of a seat by inclining the legs A47C3/36)},Compilation of Changes
2026.05,M,A47C 1/03,A47C 1/03,the parts being arm-rests {(conversion into a bed A47C17/12)},the parts being arm-rests {(conversion into a bed A47C17/12)},Compilation of Changes
2026.05,U,A47C 1/031,A47C 1/031,having coupled {concurrently} adjustable supporting parts,having coupled {concurrently} adjustable supporting parts,Compilation of Changes
2026.05,U,A47C 1/034,A47C 1/034,the parts including a leg-rest or foot-rest (A47C1/037 takes precedence),the parts including a leg-rest or foot-rest (A47C1/037 takes precedence),Compilation of Changes
