改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2013.11,N,,A61M 25/10181,,Means for forcing inflation fluid into the balloon,Scheme XML差分（推定）
2013.11,N,,A61M 25/10182,,Injector syringes,Scheme XML差分（推定）
2013.11,N,,A61M 25/10183,,Compressible bulbs,Scheme XML差分（推定）
2013.11,N,,A61M 25/10184,,Means for controlling or monitoring inflation or deflation,Scheme XML差分（推定）
2013.11,N,,A61M 25/10185,,Valves,Scheme XML差分（推定）
2013.11,N,,A61M 25/10186,,One-way valves,Scheme XML差分（推定）
2013.11,N,,A61M 25/10187,,Indicators for the level of inflation or deflation,Scheme XML差分（推定）
2013.11,N,,A61M 25/10188,,Inflation or deflation data displays,Scheme XML差分（推定）
2013.11,M,A01N 25/00,A01N 25/00,"Biocides, pest repellants or attractants, or plant growth regulators, characterised by their forms, or by their non-active ingredients or by their methods of application,  e.g. seed treatment or sequential application;apparatus for the destruction of noxious animals or noxious plants A01M; fungicidal, bactericidal, insecticidal, disinfecting or antiseptic paper D21H Substances for reducing the foxious effect of the active ingredients to organisms other than pests","Biocides, pest repellants or attractants, or plant growth regulators, characterised by their forms, or by their non-active ingredients or by their methods of application,  e.g. seed treatment or sequential application;apparatus for the destruction of noxious animals or noxious plants A01M; fungicidal, bactericidal, insecticidal, disinfecting or antiseptic paper D21H Substances for reducing the noxious effect of the active ingredients to organisms other than pests",Scheme XML差分（推定）
2013.11,M,A01N 43/64,A01N 43/64,having rings with three or more nitrogen atoms as the only ring hetero atoms,having rings with three nitrogen atoms as the only ring hetero atoms,Scheme XML差分（推定）
2013.11,M,A61B 5/1107,A61B 5/1107,"Measuring contraction of parts of the body, e.g. organ, muscle   A61B5/22 takes precedence; apparatus for measuring work or force in general G01L","Measuring contraction of parts of the body, e.g. organ, muscle   apparatus for measuring work or force in general G01L",Scheme XML差分（推定）
2013.11,M,A61B 5/22,A61B 5/22,Ergometry   Measuring muscular strength or the force of a muscular blow    A61B5/1107 takes precedence; exercising apparatus A63B21/00    ; measuring of work or force in general G01L,Ergometry   Measuring muscular strength or the force of a muscular blow   exercising apparatus A63B21/00    ; measuring of work or force in general G01L,Scheme XML差分（推定）
2013.11,M,A61F 9/013,A61F 9/013,"Instruments for compensation of ocular refraction A61F9/008 takes precedence; Instruments for use in cornea removal, for reshaping or performing incisions in the cornea A61F9/01 takes precedence","Instruments for compensation of ocular refractionA61F9/008 takes precedence; Instruments for use in cornea removal, for reshaping or performing incisions in the cornea",Scheme XML差分（推定）
2013.11,M,A61K 8/39,A61K 8/39,"Alkoxylated derivatives, i.e. derivatives containing from 2 to 10 oxyalkylene groups",Derivatives containing from 2 to 10 oxyalkylene groups,Scheme XML差分（推定）
2013.11,M,A61K 8/45,A61K 8/45,"Alkoxylatedderivatives, i.e. derivatives containing from 2 to 10 oxyalkylene groups",Derivatives containing from 2 to 10 oxyalkylene groups,Scheme XML差分（推定）
2013.11,M,A61K 8/4993,A61K 8/4993,"Alkoxylated derivatives, i.e. derivatives containing from 2 to 10 oxyalkylene groups",Derivatives containing from 2 to 10 oxyalkylene groups,Scheme XML差分（推定）
2013.11,M,A61K 8/556,A61K 8/556,"Alkoxylated derivatives, i.e. derivatives containing from 2 to 10 oxyalkylene groups",Derivatives containing from 2 to 10 oxyalkylene groups,Scheme XML差分（推定）
2013.11,M,A61K 8/608,A61K 8/608,"Alkoxylated derivatives, i.e. derivatives containing from 2 to 10 oxyalkylene groups",Derivatives containing from 2 to 10 oxyalkylene groups,Scheme XML差分（推定）
2013.11,M,A61M 25/1018,A61M 25/1018,Balloon inflating or inflation control devices,Balloon inflating or inflation-control devices,Scheme XML差分（推定）
2013.11,M,B02C 21/00,B02C 21/00,"Disintegrating plant with or without drying of the material for grain B02C9/04; combined with devices for sorting the material, provisionally B02C23/00B",Disintegrating plant with or without drying of the material for grain B02C9/04,Scheme XML差分（推定）
2013.11,M,B23K 35/3601,B23K 35/3601,with anorganic compounds as principal constituents,with inorganic compounds as principal constituents,Scheme XML差分（推定）
2013.11,M,B64C 1/24,B64C 1/24,Step mounted on an retractable within fuselages   readily removable B64D9/00,"Steps mounted on, and retractable within, fuselages   readily removable B64D9/00",Scheme XML差分（推定）
2013.11,M,B65D 85/1045,B65D 85/1045,"having a cap-like lid hinged to an
                                                edge",having a cap-like lid hinged to an edge,Scheme XML差分（推定）
2013.11,M,B65D 85/1054,B65D 85/1054,"combined with an outer sleeve
                                                  connected to the lid",combined with an outer sleeve connected to the lid,Scheme XML差分（推定）
2013.11,M,B65F 1/00,B65F 1/00,"Refuse receptacles; 
                        Accessories
                            therefor
                        containers not specially adapted for refuse,
                                features of refuse receptacles of general interest
                                B65D","Refuse receptacles;  Accessories therefor containers not specially adapted for refuse, features of refuse receptacles of general interest B65D",Scheme XML差分（推定）
2013.11,M,B65F 1/0006,B65F 1/0006,"Flexible refuse receptables, e.g.
                                    bags, sacks","Flexible refuse receptables, e.g. bags, sacks",Scheme XML差分（推定）
2013.11,M,B65F 1/0013,B65F 1/0013,"with means for fixing and
                                        mounting of the receptacle to walls,
                                    doors","with means for fixing and mounting of the receptacle to walls, doors",Scheme XML差分（推定）
2013.11,M,B65F 1/002,B65F 1/002,"with means for opening or
                                        closing of the receptacle",with means for opening or closing of the receptacle,Scheme XML差分（推定）
2013.11,M,B65F 1/0026,B65F 1/0026,"with odor controlling
                                        substances",with odor controlling substances,Scheme XML差分（推定）
2013.11,M,B65F 1/0033,B65F 1/0033,"specially adapted for segregated
                                    refuse collecting, e.g. receptacles with several compartments;
                                    Combination of receptacles B65F1/0093 takes
                                        precedence","specially adapted for segregated refuse collecting, e.g. receptacles with several compartments; Combination of receptacles B65F1/0093 takes precedence",Scheme XML差分（推定）
2013.11,M,B65F 1/004,B65F 1/004,"the receptacles being divided
                                        in compartments by partitions",the receptacles being divided in compartments by partitions,Scheme XML差分（推定）
2013.11,M,B65F 1/0046,B65F 1/0046,"the partitions being
                                            movable, e.g. for varying the volume of the
                                            compartments","the partitions being movable, e.g. for varying the volume of the compartments",Scheme XML差分（推定）
2013.11,M,B65F 1/0053,B65F 1/0053,"Combination of several
                                        receptacles",Combination of several receptacles,Scheme XML差分（推定）
2013.11,M,B65F 1/006,B65F 1/006,"Rigid receptacles stored
                                            in an enclosure or forming part of
                                        it",Rigid receptacles stored in an enclosure or forming part of it,Scheme XML差分（推定）
2013.11,M,B65F 1/0066,B65F 1/0066,"Rigid receptacles fixed on
                                            racks or posts",Rigid receptacles fixed on racks or posts,Scheme XML差分（推定）
2013.11,M,B65F 1/0073,B65F 1/0073,"Flexible receptacles fixed
                                            on a frame or in an enclosure sack holders  per se
                                                B65B7/12",Flexible receptacles fixed on a frame or in an enclosure sack holders  per se B65B7/12,Scheme XML差分（推定）
2013.11,M,B65F 1/0093,B65F 1/0093,"specially adapted for collecting
                                    refuse from arrangements in buildings",specially adapted for collecting refuse from arrangements in buildings,Scheme XML差分（推定）
2013.11,M,B65F 1/06,B65F 1/06,"with flexible inserts, e.g. bags or sacks 
                                B65F1/0073 takes
                                            precedence","with flexible inserts, e.g. bags or sacks  B65F1/0073 takes precedence",Scheme XML差分（推定）
2013.11,M,B65F 1/062,B65F 1/062,"having means for storing
                                            or dispensing spare bags",having means for storing or dispensing spare bags,Scheme XML差分（推定）
2013.11,M,B65F 1/065,B65F 1/065,"with means aiding the
                                            insertion of the flexible
                                        insert",with means aiding the insertion of the flexible insert,Scheme XML差分（推定）
2013.11,M,B65F 1/067,B65F 1/067,"with a plurality of
                                            flexible inserts",with a plurality of flexible inserts,Scheme XML差分（推定）
2013.11,M,B65F 1/068,B65F 1/068,"with means aiding the
                                            removal of the flexible
                                        insert",with means aiding the removal of the flexible insert,Scheme XML差分（推定）
