改正前バージョン,改正後バージョン,改正前記号,属性1,改正後記号,属性2
from-version,to-version,from-symbol,modification,to-symbol,modification2
20160101,20170101,A01K0061000000,c,A01K0061000000,c
20160101,20170101,A01K0061000000,c,A01K0061100000,n
20160101,20170101,A01K0061000000,c,A01K0061130000,n
20160101,20170101,A01K0061000000,c,A01K0061170000,n
20160101,20170101,A01K0061000000,c,A01K0061200000,n
20160101,20170101,A01K0061000000,c,A01K0061300000,n
20160101,20170101,A01K0061000000,c,A01K0061400000,n
20160101,20170101,A01K0061000000,c,A01K0061500000,n
20160101,20170101,A01K0061000000,c,A01K0061510000,n
20160101,20170101,A01K0061000000,c,A01K0061530000,n
20160101,20170101,A01K0061000000,c,A01K0061540000,n
20160101,20170101,A01K0061000000,c,A01K0061550000,n
20160101,20170101,A01K0061000000,c,A01K0061560000,n
20160101,20170101,A01K0061000000,c,A01K0061570000,n
20160101,20170101,A01K0061000000,c,A01K0061590000,n
20160101,20170101,A01K0061000000,c,A01K0061600000,n
20160101,20170101,A01K0061000000,c,A01K0061650000,n
20160101,20170101,A01K0061000000,c,A01K0061700000,n
20160101,20170101,A01K0061000000,c,A01K0061720000,n
20160101,20170101,A01K0061000000,c,A01K0061730000,n
20160101,20170101,A01K0061000000,c,A01K0061750000,n
20160101,20170101,A01K0061000000,c,A01K0061770000,n
20160101,20170101,A01K0061000000,c,A01K0061780000,n
20160101,20170101,A01K0061000000,c,A01K0061900000,n
20160101,20170101,A01K0061000000,c,A01K0061950000,n
20160101,20170101,A01K0061020000,d,A01K0061800000,n
20160101,20170101,A01K0061020000,d,A01K0061850000,n
20160101,20170101,A01K0063000000,c,A01K0063000000,c
20160101,20170101,A01K0063000000,c,A01K0063100000,n
20160101,20170101,A21D0013000000,c,A21D0013000000,c
20160101,20170101,A21D0013000000,c,A21D0013100000,n
20160101,20170101,A21D0013000000,c,A21D0013110000,n
20160101,20170101,A21D0013000000,c,A21D0013130000,n
20160101,20170101,A21D0013000000,c,A21D0013140000,n
20160101,20170101,A21D0013000000,c,A21D0013160000,n
20160101,20170101,A21D0013000000,c,A21D0013170000,n
20160101,20170101,A21D0013000000,c,A21D0013190000,n
20160101,20170101,A21D0013000000,c,A21D0013200000,n
20160101,20170101,A21D0013000000,c,A21D0013220000,n
20160101,20170101,A21D0013000000,c,A21D0013240000,n
20160101,20170101,A21D0013000000,c,A21D0013260000,n
20160101,20170101,A21D0013000000,c,A21D0013280000,n
20160101,20170101,A21D0013000000,c,A21D0013300000,n
20160101,20170101,A21D0013000000,c,A21D0013310000,n
20160101,20170101,A21D0013000000,c,A21D0013320000,n
