改正前バージョン,改正後バージョン,改正前記号,属性1,改正後記号,属性2
from-version,to-version,from-symbol,modification,to-symbol,modification2
20220101,20230101,C22C0001050000,c,C22C0001050000,c
20220101,20230101,C22C0001050000,c,C22C0001051000,n
20220101,20230101,C22C0001050000,c,C22C0001053000,n
20220101,20230101,C22C0001050000,c,C22C0001055000,n
20220101,20230101,C22C0001050000,c,C22C0001056000,n
20220101,20230101,C22C0001050000,c,C22C0001057000,n
20220101,20230101,C22C0001050000,c,C22C0001059000,n
20220101,20230101,C22C0001100000,c,C22C0001050000,c
20220101,20230101,C22C0001100000,c,C22C0001051000,n
20220101,20230101,C22C0001100000,c,C22C0001053000,n
20220101,20230101,C22C0001100000,c,C22C0001055000,n
20220101,20230101,C22C0001100000,c,C22C0001056000,n
20220101,20230101,C22C0001100000,c,C22C0001057000,n
20220101,20230101,C22C0001100000,c,C22C0001059000,n
20220101,20230101,C22C0001100000,c,C22C0001100000,c
20220101,20230101,H01S0003080000,c,H01S0003080000,c
20220101,20230101,H01S0003080000,c,H01S0003080180,n
20220101,20230101,H01S0003080000,c,H01S0003080220,n
20220101,20230101,H01S0003080000,c,H01S0003080310,n
20220101,20230101,H01S0003080000,c,H01S0003080360,n
20220101,20230101,H01S0003080000,c,H01S0003080400,n
20220101,20230101,H01S0003080000,c,H01S0003080450,n
20220101,20230101,H01S0003080000,c,H01S0003080500,n
20220101,20230101,H01S0003098000,d,H01S0003080180,n
20220101,20230101,H01S0003098000,d,H01S0003080220,n
20220101,20230101,H01S0003098000,d,H01S0003080310,n
20220101,20230101,H01S0003098000,d,H01S0003080360,n
20220101,20230101,H01S0003098000,d,H01S0003080400,n
20220101,20230101,H01S0003098000,d,H01S0003080450,n
20220101,20230101,H01S0003098000,d,H01S0003080500,n
20220101,20230101,H01S0003098000,d,H01S0003110000,c
20220101,20230101,H01S0003098000,d,H01S0003110600,n
20220101,20230101,H01S0003098000,d,H01S0003110900,n
20220101,20230101,H01S0003098000,d,H01S0003111200,n
20220101,20230101,H01S0003098000,d,H01S0003111500,n
20220101,20230101,H01S0003098000,d,H01S0003111800,n
20220101,20230101,H01S0003098000,d,H01S0003112300,n
20220101,20230101,H01S0003110000,c,H01S0003110000,c
20220101,20230101,H01S0003110000,c,H01S0003110600,n
20220101,20230101,H01S0003110000,c,H01S0003110900,n
20220101,20230101,H01S0003110000,c,H01S0003111200,n
20220101,20230101,H01S0003110000,c,H01S0003111500,n
