改正前バージョン,改正後バージョン,改正前記号,属性1,改正後記号,属性2
from-version,to-version,from-symbol,modification,to-symbol,modification2
20071001,20080101,H04H0001000000,d,H04H0020000000,n
20071001,20080101,H04H0001000000,d,H04H0020020000,n
20071001,20080101,H04H0001000000,d,H04H0020040000,n
20071001,20080101,H04H0001000000,d,H04H0020060000,n
20071001,20080101,H04H0001000000,d,H04H0020080000,n
20071001,20080101,H04H0001000000,d,H04H0020100000,n
20071001,20080101,H04H0001000000,d,H04H0020120000,n
20071001,20080101,H04H0001000000,d,H04H0020140000,n
20071001,20080101,H04H0001000000,d,H04H0020160000,n
20071001,20080101,H04H0001000000,d,H04H0020180000,n
20071001,20080101,H04H0001000000,d,H04H0020200000,n
20071001,20080101,H04H0001000000,d,H04H0020220000,n
20071001,20080101,H04H0001000000,d,H04H0020240000,n
20071001,20080101,H04H0001000000,d,H04H0020260000,n
20071001,20080101,H04H0001000000,d,H04H0020280000,n
20071001,20080101,H04H0001000000,d,H04H0020300000,n
20071001,20080101,H04H0001000000,d,H04H0020310000,n
20071001,20080101,H04H0001000000,d,H04H0020330000,n
20071001,20080101,H04H0001000000,d,H04H0020340000,n
20071001,20080101,H04H0001000000,d,H04H0020360000,n
20071001,20080101,H04H0001000000,d,H04H0020380000,n
20071001,20080101,H04H0001000000,d,H04H0020400000,n
20071001,20080101,H04H0001000000,d,H04H0020420000,n
20071001,20080101,H04H0001000000,d,H04H0020440000,n
20071001,20080101,H04H0001000000,d,H04H0020460000,n
20071001,20080101,H04H0001000000,d,H04H0020470000,n
20071001,20080101,H04H0001000000,d,H04H0020480000,n
20071001,20080101,H04H0001000000,d,H04H0020490000,n
20071001,20080101,H04H0001000000,d,H04H0020510000,n
20071001,20080101,H04H0001000000,d,H04H0020530000,n
20071001,20080101,H04H0001000000,d,H04H0020550000,n
20071001,20080101,H04H0001000000,d,H04H0020570000,n
20071001,20080101,H04H0001000000,d,H04H0020590000,n
20071001,20080101,H04H0001000000,d,H04H0020610000,n
20071001,20080101,H04H0001000000,d,H04H0020620000,n
20071001,20080101,H04H0001000000,d,H04H0020630000,n
20071001,20080101,H04H0001000000,d,H04H0020650000,n
20071001,20080101,H04H0001000000,d,H04H0020670000,n
20071001,20080101,H04H0001000000,d,H04H0020690000,n
20071001,20080101,H04H0001000000,d,H04H0020710000,n
20071001,20080101,H04H0001000000,d,H04H0020720000,n
