改正前バージョン,改正後バージョン,改正前記号,属性1,改正後記号,属性2
from-version,to-version,from-symbol,modification,to-symbol,modification2
20100101,20110101,A01M0029000000,c,A01M0029000000,c
20100101,20110101,A01M0029000000,c,A01M0029060000,n
20100101,20110101,A01M0029000000,c,A01M0029080000,n
20100101,20110101,A01M0029000000,c,A01M0029100000,n
20100101,20110101,A01M0029000000,c,A01M0029120000,n
20100101,20110101,A01M0029000000,c,A01M0029140000,n
20100101,20110101,A01M0029000000,c,A01M0029220000,n
20100101,20110101,A01M0029000000,c,A01M0029240000,n
20100101,20110101,A01M0029000000,c,A01M0029260000,n
20100101,20110101,A01M0029000000,c,A01M0029280000,n
20100101,20110101,A01M0029000000,c,A01M0029300000,n
20100101,20110101,A01M0029000000,c,A01M0029320000,n
20100101,20110101,A01M0029000000,c,A01M0029340000,n
20100101,20110101,A01M0029020000,d,A01M0029160000,n
20100101,20110101,A01M0029020000,d,A01M0029180000,n
20100101,20110101,A01M0029040000,d,A01M0029200000,n
20100101,20110101,B21D0026020000,c,B21D0026020000,c
20100101,20110101,B21D0026020000,c,B21D0026021000,n
20100101,20110101,B21D0026020000,c,B21D0026023000,n
20100101,20110101,B21D0026020000,c,B21D0026025000,n
20100101,20110101,B21D0026020000,c,B21D0026027000,n
20100101,20110101,B21D0026020000,c,B21D0026029000,n
20100101,20110101,B21D0026020000,c,B21D0026031000,n
20100101,20110101,B21D0026020000,c,B21D0026033000,n
20100101,20110101,B21D0026020000,c,B21D0026035000,n
20100101,20110101,B21D0026020000,c,B21D0026037000,n
20100101,20110101,B21D0026020000,c,B21D0026039000,n
20100101,20110101,B21D0026020000,c,B21D0026041000,n
20100101,20110101,B21D0026020000,c,B21D0026043000,n
20100101,20110101,B21D0026020000,c,B21D0026045000,n
20100101,20110101,B21D0026020000,c,B21D0026047000,n
20100101,20110101,B21D0026020000,c,B21D0026049000,n
20100101,20110101,B21D0026020000,c,B21D0026051000,n
20100101,20110101,B21D0026020000,c,B21D0026053000,n
20100101,20110101,B21D0026020000,c,B21D0026055000,n
20100101,20110101,B21D0026020000,c,B21D0026057000,n
20100101,20110101,B21D0026020000,c,B21D0026059000,n
20100101,20110101,B60R0021200000,c,B60R0021200000,c
20100101,20110101,B60R0021200000,c,B60R0021201000,n
20100101,20110101,B60R0021205000,c,B60R0021205000,c
20100101,20110101,B60R0021205000,c,B60R0021206000,n
20100101,20110101,B60R0021210000,c,B60R0021210000,c
20100101,20110101,B60R0021210000,c,B60R0021213000,c
20100101,20110101,B60R0021213000,c,B60R0021213000,c
20100101,20110101,B60R0021213000,c,B60R0021214000,n
20100101,20110101,B60R0021215000,c,B60R0021215000,c
20100101,20110101,B60R0021215000,c,B60R0021215500,n
20100101,20110101,B60R0021215000,c,B60R0021216000,n
20100101,20110101,B60R0021215000,c,B60R0021216500,n
20100101,20110101,B60R0021231000,c,B60R0021231000,c
20100101,20110101,B60R0021231000,c,B60R0021232000,n
20100101,20110101,B60R0021231000,c,B60R0021233400,n
20100101,20110101,B60R0021231000,c,B60R0021233800,n
20100101,20110101,B60R0021231000,c,B60R0021234200,n
20100101,20110101,B60R0021231000,c,B60R0021234600,n
20100101,20110101,B60R0021260000,c,B60R0021260000,c
20100101,20110101,B60R0021260000,c,B60R0021261000,n
