改正前バージョン,改正後バージョン,改正前記号,属性1,改正後記号,属性2
from-version,to-version,from-symbol,modification,to-symbol,modification2
20180101,20190101,B32B0007080000,c,B32B0007060000,t
20180101,20190101,B32B0007080000,c,B32B0007080000,c
20180101,20190101,B32B0007080000,c,B32B0007090000,n
20180101,20190101,B32B0007040000,c,B32B0007040000,c
20180101,20190101,B32B0007040000,c,B32B0007050000,n
20180101,20190101,G01M0013040000,c,G01M0013040000,c
20180101,20190101,G01M0013040000,c,G01M0013045000,n
20180101,20190101,A61K0033240000,c,A61K0033240000,c
20180101,20190101,A61K0033240000,c,A61K0033241000,n
20180101,20190101,A61K0033240000,c,A61K0033242000,n
20180101,20190101,A61K0033240000,c,A61K0033243000,n
20180101,20190101,A61K0033240000,c,A61K0033244000,n
20180101,20190101,A61K0033240000,c,A61K0033245000,n
20180101,20190101,F02M0031020000,c,F02M0031020000,c
20180101,20190101,F02M0031020000,c,F02M0037300000,n
20180101,20190101,B65D0090500000,c,B65D0090500000,c
20180101,20190101,B65D0090500000,c,B65D0090501000,n
20180101,20190101,B65D0090500000,c,B65D0090503000,n
20180101,20190101,B65D0090500000,c,B65D0090505000,n
20180101,20190101,B65D0090500000,c,B65D0090507000,n
20180101,20190101,B65D0090500000,c,B65D0090510000,n
20180101,20190101,B65D0090500000,c,B65D0090511000,n
20180101,20190101,B65D0090500000,c,B65D0090513000,n
20180101,20190101,F15B0021040000,c,F15B0021040000,c
20180101,20190101,F15B0021040000,c,F15B0021041000,n
20180101,20190101,F15B0021040000,c,F15B0021042000,n
20180101,20190101,F15B0021040000,c,F15B0021042300,n
20180101,20190101,F15B0021040000,c,F15B0021042700,n
20180101,20190101,F15B0021040000,c,F15B0021044000,n
20180101,20190101,F15B0021040000,c,F15B0021045000,n
20180101,20190101,F15B0021040000,c,F15B0021047000,n
20180101,20190101,F15B0021040000,c,F15B0021048000,n
20180101,20190101,G10B0003000000,c,G10B0003000000,c
20180101,20190101,G10B0003000000,c,G10B0003240000,n
20180101,20190101,G06F0001320000,c,G06F0001320000,c
20180101,20190101,G06F0001320000,c,G06F0001320300,n
20180101,20190101,G06F0001320000,c,G06F0001320600,n
20180101,20190101,G06F0001320000,c,G06F0001320900,n
20180101,20190101,G06F0001320000,c,G06F0001321200,n
20180101,20190101,G06F0001320000,c,G06F0001321500,n
20180101,20190101,G06F0001320000,c,G06F0001321800,n
20180101,20190101,G06F0001320000,c,G06F0001322100,n
20180101,20190101,G06F0001320000,c,G06F0001322500,n
20180101,20190101,G06F0001320000,c,G06F0001322800,n
20180101,20190101,G06F0001320000,c,G06F0001323100,n
20180101,20190101,G06F0001320000,c,G06F0001323400,n
20180101,20190101,G06F0001320000,c,G06F0001323700,n
20180101,20190101,G06F0001320000,c,G06F0001324000,n
20180101,20190101,G06F0001320000,c,G06F0001324600,n
20180101,20190101,G06F0001320000,c,G06F0001328700,n
20180101,20190101,G06F0001320000,c,G06F0001329000,n
20180101,20190101,G06F0001320000,c,G06F0001329300,n
20180101,20190101,G06F0001320000,c,G06F0001329600,n
20180101,20190101,G06F0017300000,d,G06F0016000000,n
20180101,20190101,G06F0017300000,d,G06F0016100000,n
20180101,20190101,G06F0017300000,d,G06F0016110000,n
20180101,20190101,G06F0017300000,d,G06F0016130000,n
20180101,20190101,G06F0017300000,d,G06F0016140000,n
20180101,20190101,G06F0017300000,d,G06F0016160000,n
20180101,20190101,G06F0017300000,d,G06F0016170000,n
20180101,20190101,G06F0017300000,d,G06F0016172000,n
20180101,20190101,G06F0017300000,d,G06F0016174000,n
20180101,20190101,G06F0017300000,d,G06F0016176000,n
20180101,20190101,G06F0017300000,d,G06F0016178000,n
20180101,20190101,G06F0017300000,d,G06F0016180000,n
20180101,20190101,G06F0017300000,d,G06F0016182000,n
20180101,20190101,G06F0017300000,d,G06F0016185000,n
20180101,20190101,G06F0017300000,d,G06F0016188000,n
20180101,20190101,G06F0017300000,d,G06F0016200000,n
20180101,20190101,G06F0017300000,d,G06F0016210000,n
20180101,20190101,G06F0017300000,d,G06F0016215000,n
20180101,20190101,G06F0017300000,d,G06F0016220000,n
20180101,20190101,G06F0017300000,d,G06F0016230000,n
