改正前バージョン,改正後バージョン,改正前記号,属性1,改正後記号,属性2
from-version,to-version,from-symbol,modification,to-symbol,modification2
20140101,20150101,A61K0035020000,c,A61K0033440000,t
20140101,20150101,A61K0035020000,c,A61K0035020000,c
20140101,20150101,A61K0035020000,c,A61K0035080000,c
20140101,20150101,A61K0035020000,c,A61K0035100000,c
20140101,20150101,A61K0035080000,c,A61K0035080000,c
20140101,20150101,A61K0035100000,c,A61K0035100000,c
20140101,20150101,A61K0035120000,c,A61K0035120000,c
20140101,20150101,A61K0035120000,c,A61K0035130000,n
20140101,20150101,A61K0035120000,c,A61K0035200000,t
20140101,20150101,A61K0035120000,c,A61K0035220000,c
20140101,20150101,A61K0035120000,c,A61K0035240000,c
20140101,20150101,A61K0035120000,c,A61K0035260000,c
20140101,20150101,A61K0035120000,c,A61K0035280000,c
20140101,20150101,A61K0035120000,c,A61K0035300000,c
20140101,20150101,A61K0035120000,c,A61K0035320000,c
20140101,20150101,A61K0035120000,c,A61K0035330000,n
20140101,20150101,A61K0035120000,c,A61K0035340000,c
20140101,20150101,A61K0035120000,c,A61K0035350000,n
20140101,20150101,A61K0035120000,c,A61K0035360000,c
20140101,20150101,A61K0035120000,c,A61K0035420000,c
20140101,20150101,A61K0035120000,c,A61K0035440000,c
20140101,20150101,A61K0035120000,c,A61K0035545000,n
20140101,20150101,A61K0035120000,c,A61K0035570000,n
20140101,20150101,A61K0035120000,c,A61K0039000000,t
20140101,20150101,A61K0035140000,c,A61K0031020000,t
20140101,20150101,A61K0035140000,c,A61K0035140000,c
20140101,20150101,A61K0035140000,c,A61K0035150000,n
20140101,20150101,A61K0035140000,c,A61K0035170000,n
20140101,20150101,A61K0035140000,c,A61K0035190000,n
20140101,20150101,A61K0035140000,c,A61K0035510000,n
20140101,20150101,A61K0035140000,c,A61K0035570000,n
20140101,20150101,A61K0035140000,c,A61K0038420000,t
20140101,20150101,A61K0035160000,c,A61K0035160000,c
20140101,20150101,A61K0035160000,c,A61K0035510000,n
20140101,20150101,A61K0035160000,c,A61K0035570000,n
20140101,20150101,A61K0035180000,c,A61K0035180000,c
20140101,20150101,A61K0035180000,c,A61K0035570000,n
20140101,20150101,A61K0035180000,c,A61K0038420000,t
20140101,20150101,A61K0035220000,c,A61K0035220000,c
20140101,20150101,A61K0035220000,c,A61K0035570000,n
20140101,20150101,A61K0035230000,d,A61K0035220000,c
20140101,20150101,A61K0035230000,d,A61K0035570000,n
20140101,20150101,A61K0035240000,c,A61K0035240000,c
20140101,20150101,A61K0035240000,c,A61K0035380000,c
20140101,20150101,A61K0035240000,c,A61K0035570000,n
20140101,20150101,A61K0035260000,c,A61K0035260000,c
20140101,20150101,A61K0035260000,c,A61K0035570000,n
20140101,20150101,A61K0035280000,c,A61K0035260000,c
20140101,20150101,A61K0035280000,c,A61K0035280000,c
20140101,20150101,A61K0035280000,c,A61K0035570000,n
20140101,20150101,A61K0035300000,c,A61K0035300000,c
20140101,20150101,A61K0035300000,c,A61K0035570000,n
20140101,20150101,A61K0035320000,c,A61K0035320000,c
20140101,20150101,A61K0035320000,c,A61K0035570000,n
20140101,20150101,A61K0035340000,c,A61K0035340000,c
20140101,20150101,A61K0035340000,c,A61K0035440000,c
20140101,20150101,A61K0035340000,c,A61K0035570000,n
20140101,20150101,A61K0035360000,c,A61K0035360000,c
20140101,20150101,A61K0035360000,c,A61K0035390000,c
20140101,20150101,A61K0035360000,c,A61K0035570000,n
20140101,20150101,A61K0035370000,c,A61K0035360000,c
20140101,20150101,A61K0035370000,c,A61K0035370000,c
20140101,20150101,A61K0035370000,c,A61K0035380000,c
20140101,20150101,A61K0035370000,c,A61K0035390000,c
20140101,20150101,A61K0035370000,c,A61K0035407000,c
20140101,20150101,A61K0035370000,c,A61K0035413000,c
20140101,20150101,A61K0035370000,c,A61K0035570000,n
20140101,20150101,A61K0035380000,c,A61K0035380000,c
20140101,20150101,A61K0035380000,c,A61K0035570000,n
20140101,20150101,A61K0035390000,c,A61K0035390000,c
20140101,20150101,A61K0035390000,c,A61K0035570000,n
20140101,20150101,A61K0035407000,c,A61K0035407000,c
20140101,20150101,A61K0035407000,c,A61K0035570000,n
20140101,20150101,A61K0035413000,c,A61K0035413000,c
20140101,20150101,A61K0035413000,c,A61K0035570000,n
20140101,20150101,A61K0035420000,c,A61K0035420000,c
20140101,20150101,A61K0035420000,c,A61K0035570000,n
20140101,20150101,A61K0035440000,c,A61K0035300000,c
20140101,20150101,A61K0035440000,c,A61K0035440000,c
20140101,20150101,A61K0035440000,c,A61K0035510000,n
20140101,20150101,A61K0035440000,c,A61K0035570000,n
20140101,20150101,A61K0035480000,c,A61K0035480000,c
20140101,20150101,A61K0035480000,c,A61K0035500000,c
20140101,20150101,A61K0035480000,c,A61K0035510000,n
20140101,20150101,A61K0035480000,c,A61K0035520000,c
20140101,20150101,A61K0035480000,c,A61K0035540000,c
20140101,20150101,A61K0035480000,c,A61K0035545000,n
20140101,20150101,A61K0035480000,c,A61K0035570000,n
20140101,20150101,A61K0035500000,c,A61K0035500000,c
20140101,20150101,A61K0035500000,c,A61K0035570000,n
20140101,20150101,A61K0035520000,c,A61K0035520000,c
20140101,20150101,A61K0035520000,c,A61K0035570000,n
20140101,20150101,A61K0035540000,c,A61K0035540000,c
20140101,20150101,A61K0035540000,c,A61K0035570000,n
20140101,20150101,A61K0035550000,c,A61K0035220000,c
20140101,20150101,A61K0035550000,c,A61K0035240000,c
20140101,20150101,A61K0035550000,c,A61K0035260000,c
20140101,20150101,A61K0035550000,c,A61K0035280000,c
20140101,20150101,A61K0035550000,c,A61K0035300000,c
20140101,20150101,A61K0035550000,c,A61K0035320000,c
20140101,20150101,A61K0035550000,c,A61K0035330000,n
20140101,20150101,A61K0035550000,c,A61K0035340000,c
20140101,20150101,A61K0035550000,c,A61K0035350000,n
20140101,20150101,A61K0035550000,c,A61K0035360000,c
20140101,20150101,A61K0035550000,c,A61K0035370000,c
20140101,20150101,A61K0035550000,c,A61K0035380000,c
20140101,20150101,A61K0035550000,c,A61K0035390000,c
20140101,20150101,A61K0035550000,c,A61K0035407000,c
20140101,20150101,A61K0035550000,c,A61K0035413000,c
20140101,20150101,A61K0035550000,c,A61K0035420000,c
20140101,20150101,A61K0035550000,c,A61K0035440000,c
20140101,20150101,A61K0035550000,c,A61K0035480000,c
20140101,20150101,A61K0035550000,c,A61K0035500000,c
20140101,20150101,A61K0035550000,c,A61K0035510000,n
20140101,20150101,A61K0035550000,c,A61K0035520000,c
20140101,20150101,A61K0035550000,c,A61K0035540000,c
20140101,20150101,A61K0035550000,c,A61K0035545000,n
20140101,20150101,A61K0035550000,c,A61K0035550000,c
20140101,20150101,A61K0035550000,c,A61K0035570000,n
20140101,20150101,A61K0035560000,c,A61K0035560000,c
20140101,20150101,A61K0035560000,c,A61K0035570000,n
20140101,20150101,A61K0035560000,c,A61K0035580000,c
20140101,20150101,A61K0035560000,c,A61K0035583000,n
20140101,20150101,A61K0035560000,c,A61K0035586000,n
20140101,20150101,A61K0035560000,c,A61K0035612000,n
20140101,20150101,A61K0035560000,c,A61K0035614000,n
20140101,20150101,A61K0035560000,c,A61K0035616000,n
20140101,20150101,A61K0035560000,c,A61K0035618000,n
20140101,20150101,A61K0035560000,c,A61K0035620000,t
20140101,20150101,A61K0035560000,c,A61K0035630000,n
20140101,20150101,A61K0035560000,c,A61K0035646000,n
20140101,20150101,A61K0035560000,c,A61K0035648000,n
20140101,20150101,A61K0035560000,c,A61K0035650000,n
20140101,20150101,A61K0035560000,c,A61K0035655000,n
20140101,20150101,A61K0035580000,c,A61K0035580000,c
20140101,20150101,A61K0035580000,c,A61K0035583000,n
20140101,20150101,A61K0035640000,c,A61K0035640000,c
20140101,20150101,A61K0035640000,c,A61K0035644000,n
20140101,20150101,A61K0035660000,c,A61K0035660000,c
20140101,20150101,A61K0035660000,c,A61K0035680000,t
20140101,20150101,A61K0035660000,c,A61K0035740000,c
20140101,20150101,A61K0035660000,c,A61K0035741000,n
20140101,20150101,A61K0035660000,c,A61K0035742000,n
20140101,20150101,A61K0035660000,c,A61K0035744000,n
20140101,20150101,A61K0035660000,c,A61K0035745000,n
20140101,20150101,A61K0035660000,c,A61K0035747000,n
20140101,20150101,A61K0035660000,c,A61K0035748000,n
20140101,20150101,A61K0035660000,c,A61K0035760000,c
20140101,20150101,A61K0035660000,c,A61K0035761000,n
20140101,20150101,A61K0035660000,c,A61K0035763000,n
20140101,20150101,A61K0035660000,c,A61K0035765000,n
20140101,20150101,A61K0035660000,c,A61K0035766000,n
20140101,20150101,A61K0035660000,c,A61K0035768000,n
20140101,20150101,A61K0035660000,c,A61K0036060000,t
20140101,20150101,A61K0035740000,c,A61K0035740000,c
20140101,20150101,A61K0035740000,c,A61K0035741000,n
20140101,20150101,A61K0035740000,c,A61K0035742000,n
20140101,20150101,A61K0035740000,c,A61K0035744000,n
20140101,20150101,A61K0035740000,c,A61K0035745000,n
20140101,20150101,A61K0035740000,c,A61K0035747000,n
20140101,20150101,A61K0035740000,c,A61K0035748000,n
20140101,20150101,A61K0035760000,c,A61K0035760000,c
20140101,20150101,A61K0035760000,c,A61K0035761000,n
20140101,20150101,A61K0035760000,c,A61K0035763000,n
20140101,20150101,A61K0035760000,c,A61K0035765000,n
20140101,20150101,A61K0035760000,c,A61K0035766000,n
20140101,20150101,A61K0035760000,c,A61K0035768000,n
20140101,20150101,A61K0035760000,c,A61K0038160000,t
20140101,20150101,A63B0049000000,c,A63B0049000000,c
20140101,20150101,A63B0049000000,c,A63B0051000000,c
20140101,20150101,A63B0049000000,c,A63B0060000000,n
20140101,20150101,A63B0049000000,c,A63B0060020000,n
20140101,20150101,A63B0049000000,c,A63B0060040000,n
20140101,20150101,A63B0049000000,c,A63B0060060000,n
20140101,20150101,A63B0049000000,c,A63B0060080000,n
20140101,20150101,A63B0049000000,c,A63B0060100000,n
20140101,20150101,A63B0049000000,c,A63B0060120000,n
20140101,20150101,A63B0049000000,c,A63B0060140000,n
20140101,20150101,A63B0049000000,c,A63B0060160000,n
20140101,20150101,A63B0049000000,c,A63B0060180000,n
20140101,20150101,A63B0049000000,c,A63B0060200000,n
20140101,20150101,A63B0049000000,c,A63B0060220000,n
20140101,20150101,A63B0049000000,c,A63B0060240000,n
20140101,20150101,A63B0049000000,c,A63B0060260000,n
20140101,20150101,A63B0049000000,c,A63B0060280000,n
20140101,20150101,A63B0049000000,c,A63B0060300000,n
20140101,20150101,A63B0049000000,c,A63B0060320000,n
20140101,20150101,A63B0049000000,c,A63B0060340000,n
