改正前バージョン,改正後バージョン,改正前記号,属性1,改正後記号,属性2
from-version,to-version,from-symbol,modification,to-symbol,modification2
20230101,20240101,B64F0001220000,c,B64F0001220000,c
20230101,20240101,B64F0001220000,c,B64F0001221000,n
20230101,20240101,B64F0001220000,c,B64F0001222000,n
20230101,20240101,B64F0001220000,c,B64F0001223000,n
20230101,20240101,B64F0001220000,c,B64F0001225000,n
20230101,20240101,B64F0001220000,c,B64F0001227000,n
20230101,20240101,B64F0001220000,c,B64F0001228000,n
20230101,20240101,B64F0001360000,c,B64F0001350000,n
20230101,20240101,B64F0001360000,c,B64F0001360000,c
20230101,20240101,A61F0013000000,c,A61F0013000000,c
20230101,20240101,A61F0013000000,c,A61F0013010000,n
20230101,20240101,A61F0013000000,c,A61F0013050000,n
20230101,20240101,A61F0013020000,c,A61F0013020000,c
20230101,20240101,A61F0013020000,c,A61F0013020300,n
20230101,20240101,A61F0013020000,c,A61F0013020600,n
20230101,20240101,A61F0013020000,c,A61F0013024600,n
20230101,20240101,B01J0035020000,d,B01J0035000000,c
20230101,20240101,B01J0035120000,d,B01J0035270000,n
20230101,20240101,B01J0035000000,c,B01J0035000000,c
20230101,20240101,B01J0035000000,c,B01J0035200000,n
20230101,20240101,B01J0035000000,c,B01J0035230000,n
20230101,20240101,B01J0035000000,c,B01J0035270000,n
20230101,20240101,B01J0035000000,c,B01J0035300000,n
20230101,20240101,B01J0035000000,c,B01J0035310000,n
20230101,20240101,B01J0035000000,c,B01J0035320000,n
20230101,20240101,B01J0035000000,c,B01J0035330000,n
20230101,20240101,B01J0035000000,c,B01J0035340000,n
20230101,20240101,B01J0035000000,c,B01J0035360000,n
20230101,20240101,B01J0035000000,c,B01J0035370000,n
20230101,20240101,B01J0035000000,c,B01J0035380000,n
20230101,20240101,B01J0035000000,c,B01J0035390000,n
20230101,20240101,B01J0035000000,c,B01J0035400000,n
20230101,20240101,B01J0035000000,c,B01J0035450000,n
20230101,20240101,B01J0035000000,c,B01J0035500000,n
20230101,20240101,B01J0035000000,c,B01J0035510000,n
20230101,20240101,B01J0035000000,c,B01J0035520000,n
20230101,20240101,B01J0035000000,c,B01J0035530000,n
20230101,20240101,B01J0035000000,c,B01J0035540000,n
20230101,20240101,B01J0035000000,c,B01J0035550000,n
20230101,20240101,B01J0035000000,c,B01J0035560000,n
20230101,20240101,B01J0035000000,c,B01J0035570000,n
20230101,20240101,B01J0035000000,c,B01J0035580000,n
20230101,20240101,B01J0035000000,c,B01J0035590000,n
20230101,20240101,B01J0035000000,c,B01J0035600000,n
20230101,20240101,B01J0035000000,c,B01J0035610000,n
20230101,20240101,B01J0035000000,c,B01J0035630000,n
20230101,20240101,B01J0035000000,c,B01J0035640000,n
20230101,20240101,B01J0035000000,c,B01J0035660000,n
20230101,20240101,B01J0035000000,c,B01J0035670000,n
20230101,20240101,B01J0035000000,c,B01J0035690000,n
20230101,20240101,B01J0035000000,c,B01J0035700000,n
20230101,20240101,B01J0035000000,c,B01J0035730000,n
20230101,20240101,B01J0035000000,c,B01J0035770000,n
20230101,20240101,B01J0035000000,c,B01J0035800000,n
20230101,20240101,B01J0035040000,d,B01J0035560000,n
