改正前バージョン,改正後バージョン,改正前記号,属性1,改正後記号,属性2
from-version,to-version,from-symbol,modification,to-symbol,modification2
20150101,20160101,A23K0001000000,d,A23K0010000000,n
20150101,20160101,A23K0001000000,d,A23K0010100000,n
20150101,20160101,A23K0001000000,d,A23K0010120000,n
20150101,20160101,A23K0001000000,d,A23K0010140000,n
20150101,20160101,A23K0001000000,d,A23K0010160000,n
20150101,20160101,A23K0001000000,d,A23K0010180000,n
20150101,20160101,A23K0001000000,d,A23K0010200000,n
20150101,20160101,A23K0001000000,d,A23K0030150000,n
20150101,20160101,A23K0001000000,d,A23K0030180000,n
20150101,20160101,A23K0001000000,d,A23K0040000000,n
20150101,20160101,A23K0001000000,d,A23K0040100000,n
20150101,20160101,A23K0001000000,d,A23K0040200000,n
20150101,20160101,A23K0001000000,d,A23K0040250000,n
20150101,20160101,A23K0001000000,d,A23K0040300000,n
20150101,20160101,A23K0001000000,d,A23K0040350000,n
20150101,20160101,A23K0001020000,d,A23K0010330000,n
20150101,20160101,A23K0001040000,d,A23K0010240000,n
20150101,20160101,A23K0001060000,d,A23K0010380000,n
20150101,20160101,A23K0001080000,d,A23K0010280000,n
20150101,20160101,A23K0001100000,d,A23K0010100000,n
20150101,20160101,A23K0001100000,d,A23K0010120000,n
20150101,20160101,A23K0001100000,d,A23K0010140000,n
20150101,20160101,A23K0001100000,d,A23K0010160000,n
20150101,20160101,A23K0001100000,d,A23K0010180000,n
20150101,20160101,A23K0001100000,d,A23K0010200000,n
20150101,20160101,A23K0001100000,d,A23K0010220000,n
20150101,20160101,A23K0001100000,d,A23K0010260000,n
20150101,20160101,A23K0001100000,d,A23K0010370000,n
20150101,20160101,A23K0001100000,d,A23K0030150000,n
20150101,20160101,A23K0001100000,d,A23K0030180000,n
20150101,20160101,A23K0001120000,d,A23K0010320000,n
20150101,20160101,A23K0001140000,d,A23K0010100000,n
20150101,20160101,A23K0001140000,d,A23K0010120000,n
20150101,20160101,A23K0001140000,d,A23K0010140000,n
20150101,20160101,A23K0001140000,d,A23K0010160000,n
20150101,20160101,A23K0001140000,d,A23K0010180000,n
20150101,20160101,A23K0001140000,d,A23K0010300000,n
20150101,20160101,A23K0001140000,d,A23K0010350000,n
20150101,20160101,A23K0001140000,d,A23K0010370000,n
20150101,20160101,A23K0001160000,d,A23K0010400000,n
20150101,20160101,A23K0001160000,d,A23K0020000000,n
20150101,20160101,A23K0001160000,d,A23K0020100000,n
20150101,20160101,A23K0001160000,d,A23K0020105000,n
20150101,20160101,A23K0001160000,d,A23K0020111000,n
20150101,20160101,A23K0001160000,d,A23K0020116000,n
20150101,20160101,A23K0001160000,d,A23K0020121000,n
20150101,20160101,A23K0001160000,d,A23K0020126000,n
20150101,20160101,A23K0001160000,d,A23K0020132000,n
20150101,20160101,A23K0001160000,d,A23K0020137000,n
20150101,20160101,A23K0001160000,d,A23K0020142000,n
20150101,20160101,A23K0001160000,d,A23K0020147000,n
20150101,20160101,A23K0001160000,d,A23K0020153000,n
20150101,20160101,A23K0001160000,d,A23K0020158000,n
20150101,20160101,A23K0001160000,d,A23K0020163000,n
20150101,20160101,A23K0001160000,d,A23K0020174000,n
20150101,20160101,A23K0001160000,d,A23K0020179000,n
20150101,20160101,A23K0001165000,d,A23K0020168000,n
20150101,20160101,A23K0001165000,d,A23K0020184000,n
20150101,20160101,A23K0001165000,d,A23K0020189000,n
20150101,20160101,A23K0001170000,d,A23K0020195000,n
20150101,20160101,A23K0001175000,d,A23K0010400000,n
20150101,20160101,A23K0001175000,d,A23K0020200000,n
20150101,20160101,A23K0001175000,d,A23K0020220000,n
20150101,20160101,A23K0001175000,d,A23K0020240000,n
20150101,20160101,A23K0001175000,d,A23K0020260000,n
20150101,20160101,A23K0001175000,d,A23K0020280000,n
20150101,20160101,A23K0001180000,d,A23K0050000000,n
20150101,20160101,A23K0001180000,d,A23K0050100000,n
20150101,20160101,A23K0001180000,d,A23K0050150000,n
20150101,20160101,A23K0001180000,d,A23K0050200000,n
20150101,20160101,A23K0001180000,d,A23K0050300000,n
20150101,20160101,A23K0001180000,d,A23K0050400000,n
20150101,20160101,A23K0001180000,d,A23K0050420000,n
20150101,20160101,A23K0001180000,d,A23K0050450000,n
20150101,20160101,A23K0001180000,d,A23K0050480000,n
20150101,20160101,A23K0001180000,d,A23K0050500000,n
20150101,20160101,A23K0001180000,d,A23K0050600000,n
20150101,20160101,A23K0001180000,d,A23K0050700000,n
