from-version,to-version,from-symbol,modification,to-symbol,modification2
20190101,20200101,G10D0001000000,c,G10D0001000000,c
20190101,20200101,G10D0001000000,c,G10D0001140000,n
20190101,20200101,G10D0003080000,c,G10D0003080000,c
20190101,20200101,G10D0003080000,c,G10D0003090000,n
20190101,20200101,G10D0003120000,c,G10D0003120000,c
20190101,20200101,G10D0003120000,c,G10D0003130000,n
20190101,20200101,H05B0037020000,d,H05B0045000000,n
20190101,20200101,H05B0037020000,d,H05B0045100000,n
20190101,20200101,H05B0037020000,d,H05B0045120000,n
20190101,20200101,H05B0037020000,d,H05B0045140000,n
20190101,20200101,H05B0037020000,d,H05B0045180000,n
20190101,20200101,H05B0037020000,d,H05B0045200000,n
20190101,20200101,H05B0037020000,d,H05B0045220000,n
20190101,20200101,H05B0037020000,d,H05B0045240000,n
20190101,20200101,H05B0037020000,d,H05B0045280000,n
20190101,20200101,H05B0037020000,d,H05B0045300000,n
20190101,20200101,H05B0037020000,d,H05B0045305000,n
20190101,20200101,H05B0037020000,d,H05B0045310000,n
20190101,20200101,H05B0037020000,d,H05B0045315000,n
20190101,20200101,H05B0037020000,d,H05B0045320000,n
20190101,20200101,H05B0037020000,d,H05B0045325000,n
20190101,20200101,H05B0037020000,d,H05B0045327000,n
20190101,20200101,H05B0037020000,d,H05B0045330000,n
20190101,20200101,H05B0037020000,d,H05B0045335000,n
20190101,20200101,H05B0037020000,d,H05B0045340000,n
20190101,20200101,H05B0037020000,d,H05B0045345000,n
20190101,20200101,H05B0037020000,d,H05B0045347000,n
20190101,20200101,H05B0037020000,d,H05B0045350000,n
20190101,20200101,H05B0037020000,d,H05B0045355000,n
20190101,20200101,H05B0037020000,d,H05B0045357000,n
20190101,20200101,H05B0037020000,d,H05B0045357400,n
20190101,20200101,H05B0037020000,d,H05B0045357500,n
20190101,20200101,H05B0037020000,d,H05B0045357700,n
20190101,20200101,H05B0037020000,d,H05B0045357800,n
20190101,20200101,H05B0037020000,d,H05B0045360000,n
