from-version,to-version,from-symbol,modification,to-symbol,modification2
20080101,20080401,G05G0001140000,d,G05G0001300000,n
20080101,20080401,G05G0001140000,d,G05G0001320000,n
20080101,20080401,G05G0001140000,d,G05G0001323000,n
20080101,20080401,G05G0001140000,d,G05G0001327000,n
20080101,20080401,G05G0001140000,d,G05G0001340000,n
20080101,20080401,G05G0001140000,d,G05G0001360000,n
20080101,20080401,G05G0001140000,d,G05G0001380000,n
20080101,20080401,G05G0001140000,d,G05G0001400000,n
20080101,20080401,G05G0001140000,d,G05G0001405000,n
20080101,20080401,G05G0001140000,d,G05G0001420000,n
20080101,20080401,G05G0001140000,d,G05G0001440000,n
20080101,20080401,G05G0001140000,d,G05G0001445000,n
20080101,20080401,G05G0001140000,d,G05G0001460000,n
20080101,20080401,G05G0001140000,d,G05G0001500000,n
20080101,20080401,G05G0001140000,d,G05G0001600000,n
20080101,20080401,G05G0001160000,d,G05G0001480000,n
20080101,20080401,G05G0001160000,d,G05G0001483000,n
20080101,20080401,G05G0001160000,d,G05G0001487000,n
20080101,20080401,G05G0001180000,d,G05G0001600000,n
20080101,20080401,G05G0001200000,d,G05G0001520000,n
20080101,20080401,G05G0001210000,d,G05G0001540000,n
20080101,20080401,G05G0001220000,d,G05G0001560000,n
20080101,20080401,G05G0001240000,d,G05G0001010000,n
20080101,20080401,G05G0001260000,d,G05G0001580000,n
20080101,20080401,G05G0001260000,d,G05G0001620000,n
20080101,20080401,G05G0001280000,d,G05G0001015000,n
