from-version,to-version,from-symbol,modification,to-symbol,modification2
20080401,20090101,A01N0065000000,c,A01N0065000000,c
20080401,20090101,A01N0065000000,c,A01N0065030000,n
20080401,20090101,A01N0065000000,c,A01N0065040000,n
20080401,20090101,A01N0065000000,c,A01N0065060000,n
20080401,20090101,A01N0065000000,c,A01N0065080000,n
20080401,20090101,A01N0065000000,c,A01N0065100000,n
20080401,20090101,A01N0065000000,c,A01N0065120000,n
20080401,20090101,A01N0065000000,c,A01N0065140000,n
20080401,20090101,A01N0065000000,c,A01N0065160000,n
20080401,20090101,A01N0065000000,c,A01N0065180000,n
20080401,20090101,A01N0065000000,c,A01N0065200000,n
20080401,20090101,A01N0065000000,c,A01N0065220000,n
20080401,20090101,A01N0065000000,c,A01N0065240000,n
20080401,20090101,A01N0065000000,c,A01N0065260000,n
20080401,20090101,A01N0065000000,c,A01N0065280000,n
20080401,20090101,A01N0065000000,c,A01N0065300000,n
20080401,20090101,A01N0065000000,c,A01N0065320000,n
20080401,20090101,A01N0065000000,c,A01N0065340000,n
20080401,20090101,A01N0065000000,c,A01N0065360000,n
20080401,20090101,A01N0065000000,c,A01N0065380000,n
20080401,20090101,A01N0065000000,c,A01N0065400000,n
20080401,20090101,A01N0065000000,c,A01N0065420000,n
20080401,20090101,A01N0065000000,c,A01N0065440000,n
20080401,20090101,A01N0065000000,c,A01N0065460000,n
20080401,20090101,A01N0065000000,c,A01N0065480000,n
20080401,20090101,A01N0065020000,d,A01N0065380000,n
20080401,20090101,A47H0033000000,d,A47H0099000000,n
20080401,20090101,A61Q0099000000,d,A61Q0090000000,n
20080401,20090101,A62B0037000000,d,A62B0099000000,n
20080401,20090101,A63J0023000000,d,A63J0099000000,n
20080401,20090101,A63J0023020000,d,A63J0025000000,n
20080401,20090101,B07C0009000000,d,B07C0099000000,n
20080401,20090101,B21F0021000000,d,B21F0099000000,n
20080401,20090101,B21L0017000000,d,B21L0099000000,n
20080401,20090101,B31C0013000000,d,B31C0099000000,n
20080401,20090101,B41F0017060000,d,B41F0017130000,n
20080401,20090101,B60D0007000000,d,B60D0099000000,n
20080401,20090101,B60R0027000000,d,B60R0099000000,n
20080401,20090101,B62J0039000000,d,B62J0099000000,n
20080401,20090101,B63J0005000000,d,B63J0099000000,n
20080401,20090101,B64G0009000000,d,B64G0099000000,n
20080401,20090101,C07G0017000000,d,C07G0099000000,n
20080401,20090101,F02K0011000000,d,F02K0099000000,n
20080401,20090101,F03H0005000000,d,F03H0099000000,n
20080401,20090101,F04F0011000000,d,F04F0099000000,n
20080401,20090101,F04F0011020000,d,F04F0013000000,n
20080401,20090101,F41J0001120000,d,F41J0013000000,n
20080401,20090101,F41J0001140000,d,F41J0013020000,n
20080401,20090101,F41J0001180000,d,F41J0011000000,n
20080401,20090101,F41J0001200000,d,F41J0011020000,n
20080401,20090101,F42D0007000000,d,F42D0099000000,n
20080401,20090101,H03F0021000000,d,H03F0099000000,n
20080401,20090101,H04J0015000000,d,H04J0099000000,n
20080401,20090101,H04Q0007000000,d,H04W0004000000,n
20080401,20090101,H04Q0007000000,d,H04W0004020000,n
20080401,20090101,H04Q0007000000,d,H04W0004040000,n
20080401,20090101,H04Q0007000000,d,H04W0004060000,n
20080401,20090101,H04Q0007000000,d,H04W0004080000,n
20080401,20090101,H04Q0007000000,d,H04W0004100000,n
20080401,20090101,H04Q0007000000,d,H04W0004120000,n
20080401,20090101,H04Q0007000000,d,H04W0004140000,n
20080401,20090101,H04Q0007000000,d,H04W0004160000,n
20080401,20090101,H04Q0007000000,d,H04W0004180000,n
20080401,20090101,H04Q0007000000,d,H04W0004200000,n
20080401,20090101,H04Q0007000000,d,H04W0004220000,n
20080401,20090101,H04Q0007000000,d,H04W0004240000,n
20080401,20090101,H04Q0007000000,d,H04W0004260000,n
20080401,20090101,H04Q0007000000,d,H04W0008000000,n
20080401,20090101,H04Q0007000000,d,H04W0008020000,n
20080401,20090101,H04Q0007000000,d,H04W0008040000,n
20080401,20090101,H04Q0007000000,d,H04W0008060000,n
20080401,20090101,H04Q0007000000,d,H04W0008080000,n
20080401,20090101,H04Q0007000000,d,H04W0008100000,n
20080401,20090101,H04Q0007000000,d,H04W0008120000,n
20080401,20090101,H04Q0007000000,d,H04W0008140000,n
20080401,20090101,H04Q0007000000,d,H04W0008160000,n
20080401,20090101,H04Q0007000000,d,H04W0008180000,n
20080401,20090101,H04Q0007000000,d,H04W0008200000,n
20080401,20090101,H04Q0007000000,d,H04W0008220000,n
20080401,20090101,H04Q0007000000,d,H04W0008240000,n
20080401,20090101,H04Q0007000000,d,H04W0008260000,n
20080401,20090101,H04Q0007000000,d,H04W0008280000,n
20080401,20090101,H04Q0007000000,d,H04W0008300000,n
20080401,20090101,H04Q0007000000,d,H04W0012000000,n
20080401,20090101,H04Q0007000000,d,H04W0012020000,n
20080401,20090101,H04Q0007000000,d,H04W0012040000,n
20080401,20090101,H04Q0007000000,d,H04W0012060000,n
20080401,20090101,H04Q0007000000,d,H04W0012080000,n
20080401,20090101,H04Q0007000000,d,H04W0012100000,n
20080401,20090101,H04Q0007000000,d,H04W0012120000,n
20080401,20090101,H04Q0007000000,d,H04W0016000000,n
20080401,20090101,H04Q0007000000,d,H04W0016020000,n
20080401,20090101,H04Q0007000000,d,H04W0016040000,n
20080401,20090101,H04Q0007000000,d,H04W0016060000,n
20080401,20090101,H04Q0007000000,d,H04W0016080000,n
20080401,20090101,H04Q0007000000,d,H04W0016100000,n
20080401,20090101,H04Q0007000000,d,H04W0016120000,n
20080401,20090101,H04Q0007000000,d,H04W0016140000,n
