from-version,to-version,from-symbol,modification,to-symbol,modification2
20210101,20220101,H02K0001270000,c,H02K0001270000,c
20210101,20220101,H02K0001270000,c,H02K0001270600,n
20210101,20220101,H02K0001270000,c,H02K0001271300,n
20210101,20220101,H02K0001270000,c,H02K0001272000,n
20210101,20220101,H02K0001270000,c,H02K0001272600,n
20210101,20220101,H02K0001270000,c,H02K0001273300,n
20210101,20220101,H02K0001270000,c,H02K0001274000,n
20210101,20220101,H02K0001270000,c,H02K0001274600,n
20210101,20220101,H02K0001270000,c,H02K0001275300,n
20210101,20220101,H02K0001270000,c,H02K0001276000,n
20210101,20220101,H02K0001270000,c,H02K0001278000,n
20210101,20220101,H02K0001270000,c,H02K0001278100,n
20210101,20220101,H02K0001270000,c,H02K0001278300,n
20210101,20220101,H02K0001270000,c,H02K0001278600,n
20210101,20220101,H02K0001270000,c,H02K0001278700,n
20210101,20220101,H02K0001270000,c,H02K0001278800,n
20210101,20220101,H02K0001270000,c,H02K0001278900,n
20210101,20220101,H02K0001270000,c,H02K0001279000,n
20210101,20220101,H02K0001270000,c,H02K0001279100,n
20210101,20220101,H02K0001270000,c,H02K0001279150,n
20210101,20220101,H02K0001270000,c,H02K0001279200,n
20210101,20220101,H02K0001270000,c,H02K0001279300,n
20210101,20220101,H02K0001270000,c,H02K0001279500,n
20210101,20220101,H02K0001270000,c,H02K0001279600,n
20210101,20220101,H02K0001270000,c,H02K0001279800,n
20210101,20220101,F24H0001100000,c,F24H0001100000,c
20210101,20220101,F24H0001100000,c,F24H0015000000,n
20210101,20220101,F24H0001100000,c,F24H0015100000,n
20210101,20220101,F24H0001100000,c,F24H0015104000,n
20210101,20220101,F24H0001100000,c,F24H0015108000,n
20210101,20220101,F24H0001100000,c,F24H0015112000,n
20210101,20220101,F24H0001100000,c,F24H0015116000,n
20210101,20220101,F24H0001100000,c,F24H0015120000,n
20210101,20220101,F24H0001100000,c,F24H0015124000,n
20210101,20220101,F24H0001100000,c,F24H0015128000,n
20210101,20220101,F24H0001100000,c,F24H0015132000,n
20210101,20220101,F24H0001100000,c,F24H0015136000,n
20210101,20220101,F24H0001100000,c,F24H0015140000,n
20210101,20220101,F24H0001100000,c,F24H0015144000,n
20210101,20220101,F24H0001100000,c,F24H0015148000,n
20210101,20220101,F24H0001100000,c,F24H0015152000,n
20210101,20220101,F24H0001100000,c,F24H0015156000,n
20210101,20220101,F24H0001100000,c,F24H0015160000,n
20210101,20220101,F24H0001100000,c,F24H0015164000,n
20210101,20220101,F24H0001100000,c,F24H0015168000,n
20210101,20220101,F24H0001100000,c,F24H0015172000,n
20210101,20220101,F24H0001100000,c,F24H0015174000,n
20210101,20220101,F24H0001100000,c,F24H0015175000,n
20210101,20220101,F24H0001100000,c,F24H0015176000,n
20210101,20220101,F24H0001100000,c,F24H0015180000,n
20210101,20220101,F24H0001100000,c,F24H0015184000,n
20210101,20220101,F24H0001100000,c,F24H0015196000,n
20210101,20220101,F24H0001100000,c,F24H0015200000,n
20210101,20220101,F24H0001100000,c,F24H0015204000,n
20210101,20220101,F24H0001100000,c,F24H0015208000,n
20210101,20220101,F24H0001100000,c,F24H0015212000,n
20210101,20220101,F24H0001100000,c,F24H0015215000,n
20210101,20220101,F24H0001100000,c,F24H0015219000,n
20210101,20220101,F24H0001100000,c,F24H0015223000,n
20210101,20220101,F24H0001100000,c,F24H0015225000,n
20210101,20220101,F24H0001100000,c,F24H0015227000,n
20210101,20220101,F24H0001100000,c,F24H0015231000,n
20210101,20220101,F24H0001100000,c,F24H0015232000,n
20210101,20220101,F24H0001100000,c,F24H0015235000,n
20210101,20220101,F24H0001100000,c,F24H0015238000,n
20210101,20220101,F24H0001100000,c,F24H0015242000,n
20210101,20220101,F24H0001100000,c,F24H0015246000,n
